pid,name,bbrid,pct_adjusted,gp_all,ft_pct_all,swg_made_per_game
100634,Penny Taylor,taylope01w,-6.46,405,0.8711656441717791,0.0161538271604938
100639,Deanna Nolan,nolande01w,4.56,341,0.8254288597376388,0.0391281524926686
100646,Tamika Catchings,catchta01w,5.37,525,0.8419550481626829,0.0410893333333333
100656,Ruth Riley,rileyru01w,-13.67,439,0.7755417956656346,0.0119874715261959
100666,Katie Douglas,douglka01w,-5.55,468,0.8044096728307255,0.0176760683760683
100682,Lauren Jackson,jacksla01w,-7.62,348,0.8414701042238069,0.0204094827586206
100685,Marie Ferdinand-Harris,ferdima01w,-7.62,331,0.7958607714016933,0.0131498489425981
100720,Sue Bird,birdsu01w,-3.37,640,0.8525932666060054,0.0166978125
100721,Swin Cash,cashsw01w,-0.95,535,0.7572481572481572,0.0117095327102803
100723,Asjha Jones,jonesas01w,0.75,411,0.7444314185228605,0.0132520681265206
100729,Michelle Snow,snowmi01w,0.26,422,0.7065317387304508,0.0168367298578199
100812,Erika de Souza,desouer01w,-10.16,367,0.6411042944785276,0.0065403269754768
100843,Cheryl Ford,fordch01w,-6.8,234,0.6073394495412844,0.0174653846153846
100874,Kara Lawson,lawsoka01w,0.38,424,0.8905608755129959,0.0183066037735849
100888,Plenette Pierson,pierspl01w,-5.81,493,0.7403237156931738,0.0070379310344827
100915,Lindsay Whalen,whaleli01w,-0.42,562,0.8078985860555826,0.0255959074733096
100919,Nicole Powell,powelni01w,12.8,393,0.8868940754039497,0.0130921119592875
100937,Shameka Christon,chrissh01w,4.9,338,0.818734793187348,0.0122378698224852
100940,Diana Taurasi,tauradi01w,-6.43,597,0.8719195849546044,0.0263939698492462
100949,Alana Beard,beardal01w,2.5,462,0.7657580919931857,0.0145017316017316
100952,Jia Perkins,perkiji01w,10.39,440,0.8333333333333334,0.025450909090909
101019,Janel McCarville,mccarja01w,-1.85,313,0.7600671140939598,0.0183507987220447
101020,Tan White,whiteta01w,-5.82,346,0.808300395256917,0.0129632947976878
101023,Sancho Lyttle,lyttlsa01w,4.01,423,0.7085852478839177,0.0089007092198581
101024,Temeka Johnson,johnste01w,-15.63,363,0.8191126279863481,0.0072137741046831
101030,Tanisha Wright,wrighta01w,-3.09,493,0.8283433133732535,0.0116602434077079
1627668,Breanna Stewart,stewabr01w,-3.21,235,0.8365384615384616,0.0259710638297872
1627675,Courtney Williams,willico01w,-0.52,261,0.7278481012658228,0.0161842911877394
1628932,A'ja Wilson,wilsoa01w,-10.13,207,0.8044649730561971,0.022715458937198
1629477,Sabrina Ionescu,ionessa01w,-9.6,101,0.9120521172638436,0.0287970297029703
1629481,Arike Ogunbowale,ogunbar01w,0.87,149,0.8381924198250729,0.0299322147651006
200665,Cappie Pondexter,pondeca01w,4.94,454,0.8476090383604834,0.0393667400881057
200671,Seimone Augustus,augusse01w,8.37,449,0.848512173128945,0.0269701559020044
200673,Monique Currie,currimo01w,-0.69,434,0.8192546583850931,0.012234331797235
200674,Sophia Young-Malcolm,youngso01w,-1.8,327,0.7191919191919192,0.0194522935779816
200676,Candice Dupree,dupreca01w,7.89,525,0.8231748158070998,0.0185939047619047
201046,Lindsey Harding,hardili01w,-8.34,295,0.7529976019184652,0.0145399999999999
201056,Ivory Latta,lattaiv01w,-7.35,346,0.8451443569553806,0.0121014450867052
201067,Camille Little,littlca01w,0.99,468,0.7189873417721518,0.0122929487179487
201477,Tamera Young,youngta01w,4.16,396,0.6797468354430379,0.007220202020202
201480,Sylvia Fowles,fowlesy01w,14.32,449,0.7268656716417911,0.0185122494432071
201492,Matee Ajavon,ajavoma01w,-4.58,334,0.7827130852340937,0.0119655688622754
201496,Candace Parker,parkeca01w,-8.65,476,0.7685325264750378,0.0208523109243697
201502,Essence Carson,carsoes01w,10.26,414,0.7848605577689243,0.0074816425120772
201507,Leilani Mitchell,mitchle01w,-10.06,432,0.8414376321353065,0.0050090277777777
201516,Allie Quigley,quiglal01w,4.08,388,0.8955223880597015,0.0134943298969072
201518,Crystal Langhorne,langhcr01w,10.0,426,0.70147954743255,0.0089171361502347
201881,Angel McCoughtry,mccouan01w,-3.86,352,0.8018475750577367,0.0360883522727272
201886,DeWanna Bonner,bonnede01w,-1.99,525,0.8621621621621621,0.02048
201896,Briann January,januabr01w,-11.73,461,0.8466257668711656,0.0113783080260303
201904,Renee Montgomery,montgre01w,-1.11,401,0.8406139315230224,0.0130900249376558
201911,Kristi Toliver,tolivkr01w,9.27,423,0.8778625954198473,0.0199711583924349
201919,Shavonte Zellous,zellosh01w,2.31,410,0.8017241379310345,0.0102631707317073
202250,Tina Charles,charlti01w,2.87,412,0.7698846387370978,0.027985922330097
202259,Epiphanny Prince,princep01w,0.76,349,0.863169897377423,0.0193962750716332
202632,Maya Moore,moorema01w,5.95,327,0.8569206842923794,0.0261577981651376
202633,Liz Cambage,cambael01w,-3.87,178,0.7623655913978494,0.0135421348314606
202658,Danielle Robinson,robinda01w,-1.62,371,0.860969387755102,0.0109269541778975
202662,Jasmine Thomas,thomaja01w,3.14,413,0.7874818049490538,0.0133089588377723
202664,Courtney Vandersloot,vandeco01w,-2.82,428,0.8287037037037037,0.0163268691588785
203014,Nneka Ogwumike,ogwumnn01w,11.22,384,0.8324324324324325,0.020946875
203017,Glory Johnson,johnsgl01w,-9.62,224,0.7282229965156795,0.0160040178571428
203026,Tiffany Hayes,hayesti01w,0.03,327,0.7972413793103448,0.0172761467889908
203029,Riquna Williams,williri01w,6.29,189,0.7417721518987341,0.0146703703703703
203398,Brittney Griner,grinebr01w,6.59,323,0.8046666666666666,0.0143030959752321
203399,Elena Delle Donne,delleel01w,6.17,271,0.9397865853658536,0.0264778597785977
203400,Skylar Diggins-Smith,diggisk01w,-10.06,267,0.8470926058865758,0.0225580524344569
203406,Layshia Clarendon,clarela01w,-6.88,277,0.7920792079207921,0.0092407942238267
203411,Sugar Rodgers,rodgesu01w,-14.6,273,0.8153846153846154,0.0059981684981684
203416,Emma Meesseman,meessem01w,3.94,269,0.8470588235294118,0.014607063197026
203824,Odyssey Sims,simsod01w,2.19,288,0.8274285714285714,0.0163576388888888
203825,Kayla McBride,mcbrika01w,-5.08,302,0.8969072164948454,0.017696357615894
203826,Alyssa Thomas,thomaal01w,-4.24,303,0.6499227202472952,0.0158475247524752
203828,Stefanie Dolson,dolsost01w,18.98,305,0.8683602771362586,0.0176498360655737
203829,Bria Hartley,hartlbr01w,-1.04,221,0.772609819121447,0.0093493212669683
203833,Chelsea Gray,graych01w,22.85,327,0.86608442503639,0.0217795107033639
204319,Jewell Loyd,loydje01w,6.79,305,0.8835672997522709,0.0261629508196721
204365,Erica Wheeler,wheeler01w,4.18,253,0.8175355450236966,0.0150217391304347
