pid,name,bbrid,pct_adjusted,gp_all,ft_pct_all,swg_made_per_game
100003,Lisa Leslie,leslili01w,-3.49,415,0.696969696969697,0.0271638554216867
100008,Tamecka Dixon,dixonta01w,7.17,406,0.814489571899012,0.0177362068965517
100012,Mwadi Mabika,mabikmw01w,-8.64,378,0.7962347729789591,0.0169441798941798
100016,Ruthie Bolton,boltoru01w,-14.97,238,0.7568134171907757,0.007613025210084
100030,Jennifer Gillom,gilloje01w,4.94,231,0.7587768969422424,0.0279255411255411
100046,Wendy Palmer,palmewe01w,-13.0,326,0.7055214723926381,0.0059585889570552
100059,Andrea Stinson,stinsan01w,-4.07,291,0.7428571428571429,0.0117333333333333
100072,Sheryl Swoopes,swoopsh01w,6.32,359,0.8287250384024577,0.0259994428969359
100073,Cynthia Cooper,coopecy01w,6.97,143,0.8673765730880929,0.0396342657342657
100075,Janeth Arcain,arcaija01w,22.0,286,0.8655692729766804,0.0222430069930069
100076,Tina Thompson,thompti01w,-2.38,543,0.832381940840685,0.0161445672191528
100092,Merlakia Jones,jonesme01w,1.07,269,0.7567567567567568,0.0141397769516728
100101,Teresa Weatherspoon,weathte01w,6.07,285,0.6653696498054474,0.0134880701754385
100103,Vickie Johnson,johnsvi01w,2.37,463,0.8161764705882353,0.0139246220302375
100105,Sophia Witherspoon,witheso01w,-4.24,226,0.7996820349761526,0.0147995575221238
100234,Ticha Penicheiro,penicti01w,-10.91,497,0.7318352059925094,0.0087106639839034
100236,Tangela Smith,smithta01w,-3.37,515,0.7743229689067201,0.0095460194174757
100247,Sandy Brondello,brondsa01w,16.27,159,0.8537234042553191,0.0324125786163522
100342,Becky Hammon,hammobe01w,6.06,510,0.8959891230455472,0.0243103921568627
100345,Crystal Robinson,robincr01w,5.27,281,0.8571428571428571,0.0177345195729537
100347,Tamika Whitmore,whitmta01w,-3.0,393,0.7347670250896058,0.0104335877862595
100356,Chamique Holdsclaw,holdsch01w,-2.17,292,0.7919254658385093,0.0229934931506849
100363,Adrienne Goodson,goodsad01w,-10.96,228,0.7406451612903225,0.0135438596491228
100384,Dominique Canty,cantydo01w,-9.85,391,0.6976917349218168,0.0148158567774936
100396,DeLisha Milton-Jones,miltode01w,1.17,549,0.7859025032938076,0.0116808743169398
100404,Katie Smith,smithka01w,3.67,525,0.853496115427303,0.0221171428571428
100410,Shannon Johnson,johnssh01w,-10.43,373,0.762217359591539,0.0177042895442359
100412,Taj McWilliams-Franklin,mcwilta01w,8.38,504,0.7426470588235294,0.0224797619047619
100415,Nykesha Sales,salesny01w,13.28,309,0.775599128540305,0.0226702265372168
100416,Sheri Sam,samsh01w,-8.16,354,0.6973995271867612,0.0148723163841807
100419,Yolanda Griffith,griffyo01w,-0.69,353,0.7217125382262997,0.0132107648725212
100433,Chasity Melvin,melvich01w,-3.52,414,0.6812373907195696,0.0112451690821256
100484,Betty Lennox,lennobe01w,10.96,345,0.8416763678696159,0.0201402898550724
100493,Anna DeForge,deforan01w,-1.69,245,0.8288100208768268,0.0115783673469387
100533,DeMya Walker,walkede01w,-6.41,367,0.6335195530726258,0.0108193460490463
100627,Kelly Miller,milleke01w,9.91,387,0.814748201438849,0.0117403100775193
100628,Tammy Sutton-Brown,suttota01w,-13.21,435,0.6997518610421837,0.0075880459770114
