artist,tote,group,genre_fake,year,genre,id
The Beatles,46,high,rap,2008,Classic Rock,1
Fugazi,43,high,rap,2008,Punk,2
The Rolling Stones,40,high,rap,2008,Classic Rock,3
David Bowie,39,high,rap,2008,Classic Rock,4
Black Sabbath,36,high,rap,2008,Metal,5
Sol,35,high,rap,2008,Electronic,6
Jimi Hendrix,33,high,rap,2008,Classic Rock,7
Devo,30,high,rap,2008,Punk,8
CKY,29,high,rap,2008,Metal,9
Gang Starr,28,high,rap,2008,Hip Hop,10
The Black Keys,28,high,rap,2008,Indie/Alternative,11
The Doors,28,high,rap,2008,Classic Rock,12
Odd Nosdam,26,high,rap,2008,Electronic,13
Pink Floyd,26,high,rap,2008,Classic Rock,14
AC/DC,24,medium,rock,2009,Classic Rock,15
Joy Division,24,medium,rock,2009,Punk,16
The Kinks,24,medium,rock,2009,Classic Rock,17
Iron Maiden,22,medium,rock,2009,Metal,18
Sonic Youth,22,medium,rock,2009,Punk,19
Led Zeppelin,21,medium,rock,2009,Classic Rock,20
Metallica,21,medium,rock,2009,Metal,21
Slayer,21,medium,rock,2009,Metal,22
Tommy Guerrero,21,medium,rock,2009,Jazz/Soul,23
Baron,20,medium,rock,2009,Electronic,24
Arcade Fire,19,medium,rock,2009,Indie/Alternative,25
Bad Religion,19,medium,rock,2009,Punk,26
DJ Krush,19,medium,rock,2009,Hip Hop,27
Mobb Deep,19,medium,rock,2009,Hip Hop,28
Bad Brains,18,medium,rock,2009,Punk,29
Bad Shit,18,medium,rock,2009,Metal,30
Beastie Boys,18,medium,rock,2009,Indie/Alternative,31
Creedence Clearwater Revival,18,medium,rock,2009,Classic Rock,32
Curtis Mayfield,18,medium,rock,2009,Jazz/Soul,33
Mr. E,18,medium,rock,2009,Hip Hop,34
Nina Simone,18,medium,rock,2009,Jazz/Soul,35
Dinosaur Jr.,17,medium,rock,2009,Punk,36
Minor Threat,17,medium,rock,2009,Punk,37
Nas,16,medium,rock,2009,Hip Hop,38
Public Enemy,16,medium,rock,2009,Hip Hop,39
?,15,medium,rock,2009,Other,40
Andre Nickatina,15,medium,rock,2009,Hip Hop,41
Bob Dylan,15,medium,rock,2009,Classic Rock,42
Misfits,15,medium,rock,2009,Punk,43
New Order,15,medium,rock,2009,Indie/Alternative,44
Spoon,15,medium,rock,2009,Indie/Alternative,45
Vast,15,medium,rock,2009,Metal,46
Electric Light Orchestra,14,medium,rock,2009,Classic Rock,47
M83,14,medium,rock,2009,Electronic,48
Modest Mouse,14,medium,rock,2009,Indie/Alternative,49
Notorious B.I.G.,14,medium,rock,2009,Hip Hop,50
Radiohead,14,medium,rock,2009,Indie/Alternative,51
Ramones,14,medium,rock,2009,Punk,52
The Animals,14,medium,rock,2009,Classic Rock,53
DJ Shadow,13,medium,rock,2009,Hip Hop,54
Enoch,13,medium,rock,2009,Electronic,55
Iggy Pop,13,medium,rock,2009,Punk,56
Jon Kennedy,13,medium,rock,2009,Jazz/Soul,57
Motorhead,13,medium,rock,2009,Metal,58
Mr. Dibbs,13,medium,rock,2009,Hip Hop,59
Pixies,13,medium,rock,2009,Indie/Alternative,60
RJD2,13,medium,rock,2009,Hip Hop,61
The Brian Jonestown Massacre,13,medium,rock,2009,Indie/Alternative,62
The Cure,13,medium,rock,2009,Indie/Alternative,63
Yeah Yeah Yeahs,13,medium,rock,2009,Indie/Alternative,64
Atiba,12,medium,rock,2009,Hip Hop,65
Blondie,12,medium,rock,2009,Classic Rock,66
Guru,12,medium,rock,2009,Hip Hop,67
Judas Priest,12,medium,rock,2009,Metal,68
Marvin Gaye,12,medium,rock,2009,Jazz/Soul,69
Ozzy Osbourne,12,medium,rock,2009,Metal,70
Ray Barbee,12,medium,rock,2009,Jazz/Soul,71
Stevie Wonder,12,medium,rock,2009,Jazz/Soul,72
The Budos Band,12,medium,rock,2009,Jazz/Soul,73
The Shins,12,medium,rock,2009,Indie/Alternative,74
Trans Am,12,medium,rock,2009,Indie/Alternative,75
Van Morrison,12,medium,rock,2009,Classic Rock,76
Wolfmother,12,medium,rock,2009,Indie/Alternative,77
Adeodat Warfield,11,medium,rock,2009,Electronic,78
Beck,11,medium,rock,2009,Indie/Alternative,79
Belle & Sebastian,11,medium,rock,2009,Indie/Alternative,80
Big L,11,medium,rock,2009,Hip Hop,81
Bob Marley,11,medium,rock,2009,Jazz/Soul,82
Bonobo,11,medium,rock,2009,Jazz/Soul,83
De La Soul,11,medium,rock,2009,Hip Hop,84
Janis Joplin,11,medium,rock,2009,Classic Rock,85
John Maus,11,medium,rock,2009,Electronic,86
SRKP,11,medium,rock,2009,Other,87
The Pharcyde,11,medium,rock,2009,Hip Hop,88
TV On The Radio,11,medium,rock,2009,Indie/Alternative,89
Al Green,10,medium,rock,2009,Jazz/Soul,90
Black Flag,10,medium,rock,2009,Punk,91
Brian Jonestown Massacre,10,medium,rock,2009,Classic Rock,92
Butthole Surfers,10,medium,rock,2009,Punk,93
Cymande,10,medium,rock,2009,Jazz/Soul,94
