id,age,toss,roll,spot
145,32,001011100101,1442150352,2175386047
146,59,010101000110,5342541230,0486421478
147,39,110100011010,4221354030,4310526748
148,35,000000000000,0000000000,4444444444
149,73,010101001010,5430154301,6421036784
150,28,001011101000,3325124032,0431765821
151,34,000101101100,0100341524,4441576663
152,28,001111101111,1542222304,0425476388
153,32,000101111000,1214522510,0414105267
154,26,001010011010,1051124123,0513104562
155,30,011101011100,1455014432,0132441006
156,33,100010101101,4402155301,0048742366
157,23,100101100011,5134340512,5462104375
158,28,001010110011,2550311203,4621754658
159,59,000110101001,4132501235,0324617854
160,35,000101110010,5134103520,8641752037
161,37,100010111010,5154300015,1347082857
162,59,000101111011,0453124055,5423760141
163,21,001011110001,1322410554,1723144605
164,30,010101011001,0231042513,7534067281
165,30,001011000011,1325401320,4153746820
166,29,011101001100,1410452513,4631423814
167,72,010100110001,5134204150,2157476342
168,26,111010000101,4143542204,2315248187
169,24,001101001110,2450134021,0413755268
170,20,000011000001,0425125300,1333700774
171,23,110110001011,1322401325,4103125768
172,29,011101010000,0125430124,1348763452
173,34,011000010110,4155234005,0118743322
174,44,000011111011,4125454301,0143157856
175,24,001011110100,2315541031,0517632840
176,24,111001011100,1300245555,4745231866
177,34,100101110100,1312005242,1460332748
178,47,001001110101,1322041543,3852250441
179,51,111111110001,1543204125,1432560421
180,31,110100111001,1450200143,2730586421
181,68,001011101101,4221300513,0741236874
182,60,100100111001,1124352002,3147885652
183,29,011111010010,1340211510,2368108540
184,40,110110001110,1354204513,3145784512
185,30,000110110110,0241503142,0073554822
186,39,010001011010,0413024105,8470254553
187,40,001010010110,5121403553,0485241514
188,19,001010111010,4223154042,2314271546
189,37,001001110010,0400025134,5555111444
190,35,000111010001,2321502123,2325010231
191,24,001000110110,2451130145,0824105560
192,26,000100001011,1333043325,0143007288
193,35,111010011010,3314120304,0305276144
194,30,000011011100,1422125400,5254836442
195,33,000010110111,1445532554,0431178547
196,28,010010111000,1403113025,0531444762
197,44,001011100101,1502431024,4203178062
198,30,110100000111,0354152300,2101458726
199,28,010001100110,0145214301,0752544621
200,25,000001001011,2443032114,2245145632
201,22,000111010001,2415230152,5687345726
202,33,001001111011,0143021413,0487651440
203,49,001010111010,0121351402,3841240741
204,25,110101100001,2441501332,5412673145
205,26,110001100100,5504355000,0438150032
206,30,001011100111,0544231155,0712145571
207,53,010010101100,1354031251,0546387143
208,36,111110001100,0343315201,0005064822
209,39,100001011100,1425431344,1447745882
210,29,000111011001,5124230500,2154854430
211,31,001010110100,0421411251,1485424553
212,35,001110100011,0043225044,0822545776
213,44,110000110100,5021223405,0431375461
214,33,101010101010,3133540001,3341685232
215,28,010001101010,5130430024,0485763125
216,26,000101110100,4520031433,0042157301
217,33,000001011101,0043225514,0103177248
218,41,100101010101,2051254514,1634444358
219,34,100011010101,0123455432,4048125436
220,25,001011001111,0013421503,0132750468
221,41,001111101001,4032405430,5132206583
222,32,001001011100,0410025345,0441854342
223,32,110100010011,1344010533,0544670563
224,36,001010110100,0455023154,0824513678
225,25,001101100100,1104325011,4001782253
226,31,000001111001,0421354441,7630142865
227,28,001011000001,0443115024,0341874021
228,41,001101001101,2150314023,2046104010
229,32,001001011001,1350024314,0327051627
230,30,111100011011,0310430551,0481470108
231,48,011100100001,1340145525,6361303745
232,32,011110101001,1435041514,2477685327
233,34,001000000011,3103335240,7444433247
234,58,110100110101,2501413101,2418543601
235,29,001000111010,5310021432,0721600584
236,22,110111010011,2435140325,2748170548
237,38,001110110101,0410243140,0462544104
238,38,011001110100,0320410351,5714652034
239,22,011110111000,1225014521,1144355858
240,46,010111010111,1053410253,4502678357
241,20,001011001101,4015013241,4258462102
242,27,011001011101,0541030145,0166324210
243,32,000111111100,1135011123,4122877531
244,31,010111011000,4341225424,0414038624
245,31,011101001100,1134325143,3785257481
246,28,001011110010,4151433022,6537704678
247,29,011100100010,2451321405,4254071826
248,14,000101101110,4121340214,0571234681
249,20,110100100101,3512402131,8234023421
250,40,011111110010,0140115324,0241538521
251,38,000110101110,0054232215,0011053236
252,54,110100111000,4500211340,5542117386
253,45,011100111010,4405322145,0487231336
254,43,111011000100,3143200412,8673665124
255,35,011110110001,3105024043,7517342471
256,35,000100110111,0441405303,0452637330
257,31,110011101010,4115233105,3215877706
258,34,010000101110,0414512011,7040857231
259,33,000101001000,1210113255,0545522463
260,43,001001100010,1311254004,5216740445
261,55,111001000100,1541230452,0336481547
262,33,001011101010,0001254214,1110458754
263,39,110111000100,2520104133,2164710884
264,37,011010010101,0422412542,1342337503
265,39,111001011001,1310425031,1486871311
266,45,010001011011,4034205142,7583614037
267,25,010110000100,2445033111,4676856825
268,38,001101110010,2411503415,0456117341
269,25,110100000110,5421300134,2174365804
271,28,011001000010,4415050032,3083526714
272,25,001011010010,1421340231,6432771082
273,34,010010111011,0341251400,0413852764
274,11,111111101110,5355522215,1435142252
275,44,000101111010,4031140111,8133477002
276,45,010000101110,2413134025,3241101853
277,40,001001111010,5013204013,0316408752
278,29,110100000100,3044211052,0461048274
279,26,001000011011,3144201553,3825046343
280,25,000001011101,1444230511,2421831675
281,53,000101101011,0552132344,5804061677
282,45,100110111001,3100432255,4085721334
283,35,001010111010,1034121403,4176352087
284,36,001011101110,0224105243,7523632440
285,22,111110110111,4405134412,3362218474
286,34,011000011010,2100431504,1340066527
287,51,001101010001,1430514223,0142638170
288,46,000110001010,5155204121,2151683244
289,37,001011010110,0425214312,3437521453
290,25,110101000010,4421035412,4440387516
291,31,111011000001,0004343302,4667742006
292,39,011011000101,5353535000,5653565335
293,44,001110101001,4213304152,2306415537
294,36,100100001110,3325112503,5354478740
295,24,011011010111,1323143154,4045243671
296,31,100100010010,4201544315,5484461482
297,35,000001100101,5423554112,5475306782
298,23,001001100101,4140342125,0554271360
299,52,111010011100,1552222413,3546433211
300,33,001001011001,0514310425,0146832574
301,29,000011011100,5225550341,0685427445
302,27,001110110100,1433524305,5472560438
303,21,011000101110,0422501340,0402745614
304,28,101010101010,1423041425,0411474255
305,30,000110110110,0441225550,0674321054
306,36,000101001101,1344251200,0417652318
307,23,100000100100,5043155521,0123000187
308,28,000101101110,5244103255,0317126847
309,25,110110010001,0414503215,3258073140
310,41,101111111111,0133444441,1452144444
311,47,111000110000,0130002513,1066426813
312,52,011111100111,1121041111,2418724810
313,25,000000100000,2224133333,4441625525
314,47,010110100010,0432150412,0355143624
315,30,000000000000,5555555555,0000000000
316,31,111010011101,0301120505,8354705021
317,22,000101101110,4251444115,3855742610
318,39,001000101110,1520031524,0411875314
319,45,001001011000,5314403052,0463551122
320,36,011101001011,0423015041,2645875105
321,40,011010001011,0014205314,0418652421
322,31,111110100110,1324410332,5534173306
323,30,100011101011,5202231541,2281530844
324,39,001010011110,1340325140,4023514670
325,39,011101001000,0521145014,2410874512
326,15,010010001111,0532145021,0845231673
327,41,000000001001,4240424014,2538670411
328,27,010001100011,4211235001,3720653417
329,25,001000101110,0452304431,1560854165
330,25,001011101110,4043554123,0453462405
331,38,011101000110,5401334513,0463872531
332,31,000101001101,1215452001,5625047335
333,42,011100100111,0234150235,3516468752
334,35,000110110010,3005442153,5185523046
335,30,011010100110,1045130411,0743218576
336,35,000100111011,5524134524,0421173542
337,19,111100101000,5334422550,4477223108
338,25,111000111011,4125304412,7430254441
339,31,010110100010,1342145013,2243674158
340,30,010100010111,4011235013,0456774521
341,34,000010110101,1105423154,0368572144
342,50,010001011000,1345024134,8657243527
343,28,110100011011,3144053140,0542765381
344,28,000001001110,5434120315,3346453174
345,29,110100101111,4215043242,1450724861
346,41,001011100100,0422113540,3257640385
347,34,001011101001,1430152412,4217430584
348,24,000111011111,0544315524,4462056138
349,31,000001101001,5543441102,1344527480
350,30,011010010100,0421521034,0415321173
351,33,101011010101,4231524014,4312457485
352,25,110100000110,4132144501,2531064378
353,32,110011101011,4131520453,0467258134
354,35,000110011100,0143514305,0476843525
355,30,001011100110,5234415052,2561431056
356,47,001001100101,4105433121,1507482074
357,35,011011100101,4120145331,0146258731
358,26,110111000010,5314520100,8401367435
359,38,001110100110,1432333013,1234875610
360,30,011000110111,0422451301,0452814113
361,37,011101100010,0312141503,0564124537
362,24,011101001101,0414542300,5112643258
363,28,000101000111,3514235324,0175375426
364,49,011101001101,1442034132,0573434215
365,39,001100111010,5421045231,4544884875
366,38,001011111010,1422354510,0463650727
367,29,010011000101,3004251023,4412587332
368,28,110111110010,4010344201,5238032441
369,22,111111100111,0453241053,3287165458
370,45,000110100110,1144352005,8667150344
371,28,011011110010,1014425113,4548513146
372,26,011011001111,4234501421,6571074331
373,44,011101011001,3215041234,0328715062
374,32,001011101000,0412525530,0321875453
375,30,011010001000,1435254112,6473521804
376,34,000101101101,1445124025,2752541371
377,39,001010111001,0024153214,8314267445
378,35,100101110011,2453150412,5725413204
379,57,001011101001,1322415401,0041324758
380,62,001011011000,0204515032,0424186701
381,18,011101000110,5023411033,5607358117
382,30,100101100101,3214054130,4320054183
383,30,001010000111,1324011135,0431447568
384,32,011110011001,5143411024,0241856307
385,39,000110111001,0114352541,0854521640
386,36,001011011110,3214201453,2346158046
387,23,000100010000,0100343221,4142555834
388,56,110001101110,3340552334,3810063348
389,37,011111011010,4345001401,5501485367
390,22,101111000101,5120421342,2507162834
391,33,001011010001,0423515450,0437628175
392,46,001011010100,0430513241,0425638170
393,20,000110100110,0411355241,0543817746
394,30,000011001110,4441150311,0352143012
395,38,001001010101,1342053142,8027453208
396,29,011011110111,2415541204,0435774144
397,23,100101110101,0310452310,0426154117
398,32,010101101010,1205340351,0134356204
399,32,110100100011,5502344115,0854371264
400,41,001011101011,1243011505,5245167030
401,26,011000010010,5541452000,0436154221
402,48,000101100001,4423500141,7872531660
403,39,010001111011,4440251211,4401133133
404,30,011000110100,2543014314,2368743012
405,38,011011010000,0432544413,0441377655
406,23,110010100010,0321502240,0264322547
407,29,110111001010,3103522015,3218055671
408,32,010011011101,3215140540,3542273166
409,32,110111001101,4023504314,8548807543
410,43,001011010011,5230421053,0472358016
411,25,010111001100,5101340245,0452314257
412,36,001001110001,1314005214,0658547132
413,35,000101100010,3235340113,3057414238
414,36,011101001011,4353544111,4684588887
415,36,000110000000,4204413455,0743555441
416,34,110100001101,4300425014,4751602344
417,27,001011110101,4311505223,0416523824
418,24,000101111001,5224513350,4247868212
419,45,110100001001,1302035121,5450734818
420,31,000101100111,1242153302,0467325842
421,24,001101011110,1251024445,1452633870
422,25,001011100110,1340155230,1342708600
423,36,000011010011,0014345521,0345767221
424,73,000101111010,2320153240,2541726083
425,34,001001101001,5234521032,6425871375
426,34,010110001011,0145214321,0437623817
427,22,001100010011,4103215420,0412584367
428,27,001101010110,0413225413,0471358446
429,36,101101000110,0313425410,0441258744
430,29,011101100001,1032541003,0333447854
431,24,110100101001,0312411035,7433047854
432,28,001011001110,4251340154,0452467485
433,32,100000101000,1222254022,5542173543
434,71,101111010101,4012153215,0725388754
435,31,110100100101,4231054134,4744123853
436,40,010111101001,5122404531,6245480137
437,29,110100001100,5100322543,0526314780
438,23,000110100011,1125031240,1730064128
439,41,001101001010,0414213245,0432714041
440,32,010001011110,1444452034,1034775501
441,29,110100010001,1402345120,1745625313
442,40,111001110000,5125103421,0154371258
443,29,001011111001,2303052215,2537424511
444,31,001011110110,0524132051,0521442887
445,17,010100110000,1350134205,0462381574
446,40,011010011001,2104514413,0121047338
447,36,000011010010,3053314503,4324032536
448,33,001101100101,1140542420,3107432703
449,39,110111011000,2150314425,4517638210
450,29,010010011010,3102512200,6344314286
451,39,110110011100,0411321104,3252410588
452,33,011001111000,1134301055,2245776477
453,31,001011101101,4421354001,4014375182
454,24,100100011010,0544112305,1464302513
455,30,000110111100,5531024413,0536121480
456,39,110101000010,2312542304,4227402684
458,25,001011100101,1410122534,0103674125
459,29,000000110001,0004315521,0413642830
461,32,000110011010,0435102215,0736158462
462,28,000110110011,5244013214,0564144375
463,45,011000001010,4103524053,0546782346
464,40,011110110001,1111110543,4425800184
465,33,001000110010,4301334312,0415576338
466,40,010101101010,0413541325,0426357431
467,43,001011000011,0413005214,2300171560
468,28,101111111001,0431010245,0431770623
469,26,000101000000,1313454530,4106543643
470,31,000000000010,0000000055,0143000001
471,29,001000110110,0412541403,0433147754
472,14,100001100100,5324201352,7532086144
473,44,000100111001,2412503142,1431572644
474,29,001101000101,0542525143,0314268731
475,28,001001111010,0240455324,0214543304
476,26,110111100000,1421523330,2467888777
477,45,000010100110,1422501152,0472153478
478,27,101000101011,5122152204,4742503442
479,42,011011100001,0043114152,3764648122
480,49,000011001110,1342104152,0642174403
481,32,000110110100,1354500431,0432377085
482,46,110100001011,1321244150,1532344625
483,29,001001001000,2144500004,7187436645
484,50,010000101011,5431144444,2537844455
485,24,101111001111,2544511224,3388547036
486,24,110111001001,0531152433,0583304025
487,34,001011111010,0555432114,0436678854
488,24,001011110010,2340514203,8354167204
489,26,000101110111,5142054133,8485466612
490,25,011000011011,5021405234,0462503416
491,25,101101111010,3142514104,4251503786
492,27,100110011001,1041253140,1452063857
493,37,000101101111,4124333030,7375510824
494,23,001000001110,2045114310,0512732221
495,18,011101010000,2451213401,2435107861
496,33,000101011001,0121524234,2375011262
497,38,001001011011,0230304125,2146201155
498,28,110100110001,2030421542,2030481542
499,37,010001101011,0412451243,0412572462
500,25,011010001101,3154014530,5645208134
501,38,010101010101,0154315403,0430672111
502,35,001011110010,2141505231,0175384261
503,31,001011010001,4250114010,2544444454
504,21,010100000101,0235140201,0586272405
505,49,011101011101,5244530142,8235016745
506,33,111010001001,0051321035,0818230468
507,28,000101101001,0423314510,0347264152
508,44,101011001100,2542513425,2458751473
509,43,001110100001,4211552300,4116457052
510,27,000101110011,0524151105,0834057612
511,23,000100111010,2340122534,0834710327
512,30,000110100010,5140000034,4443170302
513,19,001001011011,0413552414,0735812635
514,27,001011111010,3425501145,5176680435
515,41,011000101100,4123455204,3278860017
516,38,000101101110,4200514312,1086243457
517,36,011100010110,4023514024,4175230648
518,30,110101100000,0254323155,6143204643
519,25,001000101110,5050431440,0058647023
520,24,001001111010,5422153003,3251756174
521,32,000100001100,0435042312,0351644507
522,31,000001011100,3155440330,3274147770
523,52,010010111010,0541012431,0413544034
524,50,011010001011,5232410102,1657460573
525,28,001010000110,4314340251,1542874780
526,29,000000001011,0001405525,3271445027
527,22,010101011010,4251304105,2317458062
528,30,001000101110,4133235400,1272435016
529,42,010001011101,0010420354,0385744421
530,18,000000010000,3030303030,8521476314
531,31,011000011001,0311052341,0643101148
532,53,010001101111,0103415421,1042514378
533,17,000000000000,0123450234,0482463450
534,29,001011101011,4215331042,5317426853
535,36,000010110111,2324145022,5504722583
536,27,111110011110,1444114513,5857774321
537,24,000110100000,2034103041,2347615844
538,36,010001101011,0435241515,0785432743
539,25,001011100101,0433544412,0000043521
540,41,011000010110,1524312214,7415032863
541,42,000100111010,1525104322,2637045147
542,36,001111110010,2445110432,3521410767
543,29,011010100100,1535042431,0843654431
544,32,011110001011,1034245130,3276810222
545,38,111010011011,2251420335,0761032258
546,31,001011010011,1134500421,0576430014
547,34,110101110000,2033415305,7435286663
548,24,110111010001,4253405314,5604233731
549,34,010011010011,0414213044,5747135662
550,18,001000110100,1305411230,4827711035
551,34,010001101111,3500235551,5542686401
552,28,010111001010,2435001305,0243604401
553,42,001011101110,4410402305,2257138246
554,25,001001011011,3012552140,0485478852
555,26,010010110101,0423115420,1387545526
556,29,111010001011,3215042033,0414387426
557,45,011011100101,1320114035,1325744156
558,32,000000001111,0421351420,0835176544
559,30,010110011100,0142314510,2454174145
560,24,001011011111,5155020435,3272468454
561,14,001001100111,4205114320,4425357026
562,28,111010101011,5324034215,8200407621
563,31,011000101101,0423510214,0423568745
564,28,101100101110,2413552100,6320578462
565,35,101000111010,2431540254,0517643847
566,25,001011001101,4314054230,0556471850
567,28,101100111101,5134124305,5047584136
568,38,000111100001,1210001000,0451253271
569,44,000110101101,0214230510,0412750854
570,58,111100100010,0005441322,1436677045
571,39,001011010110,5423415105,8775132468
572,18,001000110001,3201431454,2861054388
573,35,000000000000,4132541432,1347415604
574,33,001011010111,0321240110,3272481046
575,101,111111110111,3333222222,4444444444
576,37,011011100100,0445212552,0543817235
577,38,101001111001,5320421504,8531504042
578,28,001111010110,4240533150,0252637714
579,40,001011101010,2400132451,2451753620
580,40,001011101001,3114235410,0428673415
581,43,001011101010,3100405142,5442074308
582,28,100101101010,1345241503,1340285471
583,23,001100101110,4251304344,2854156034
584,33,011000000100,1311254500,1304436608
585,24,111111111101,2005402544,0055222242
586,77,001000011010,5132205554,1414172680
587,49,110101000011,2242531524,6585531580
588,55,000011010010,4155334114,4514310476
589,34,001101110101,1401512432,2146504187
590,35,101100011101,1120342101,0421314758
591,12,011010110001,4453201502,6802717173
592,38,011110101100,3345124023,0023518477
593,45,011111000101,2415301254,3508712684
594,43,001100001101,1531542042,6414352845
595,21,010000110110,0224110545,2435187053
596,14,000111001110,1542030045,1548764387
597,25,010010110000,1531152042,1465087233
598,32,011100101011,1130504432,1643840106
599,29,110100101110,2401233151,2530764148
600,65,110100101100,1342043510,0235176840
601,29,000011010110,2142112312,4431037644
602,25,000100111101,0411530022,2183444065
603,31,110100001101,4255124513,2523704456
604,33,001101101000,5514300022,7461103102
605,35,000000001011,0003413314,6241112530
606,28,001000110110,0413343211,0574336874
607,27,001001100010,2531253041,4701635375
608,28,001010110100,0413312551,3114062478
609,28,000101101100,3154523041,7133254180
610,27,000001101010,3240133522,3214587430
611,29,001101011110,1324512150,2314780546
613,55,001011001101,0442533100,1568732104
614,34,001010011100,0545134220,8346571138
615,43,000101101000,4103323150,2311570425
616,24,011100101010,1543440142,0464871045
617,29,001111010011,0123452013,1041344444
618,24,011100010001,0012544103,0744656188
619,44,111011000101,3321441000,0554113700
620,27,101110010111,1432010041,1434100225
621,27,011100011010,2435140021,2684713222
622,26,101110100011,3204143355,3702418870
623,23,010011011011,5240134214,0572341580
624,31,100111111000,0142350414,5372083712
625,24,001101001111,3254132500,4256301742
626,39,011101011001,1540314421,4350767815
627,53,110100010110,0245004231,7231540026
628,28,000000000000,1012345012,0482463157
629,29,100101110100,1321455024,2166847280
630,62,001011101001,4214025310,0183675408
631,33,110010101100,2041354220,0482463511
632,46,000110110010,0024413520,0231864055
633,33,000001100001,2404033311,1357341014
634,23,000000001001,0125434530,4021444453
635,45,001001101011,2440125033,3480422746
636,27,001100111101,0522445110,5314021847
637,22,101111000100,2441354122,0145242431
638,54,001000101101,1421305451,8145761440
639,34,010011110101,0544123015,0428764675
640,43,000101110011,4212532420,3225024731
641,32,011000100111,0042551332,8355414762
642,28,000101000011,2415112003,0400287740
643,50,011110001011,2324400521,7577768330
644,27,001011101001,1140120534,2816256338
645,39,000101011101,1435525400,0474321487
646,21,110010111000,1325455104,3415745401
647,34,010001010011,0421210151,3064152480
648,34,000011101001,0235104235,0451362864
649,55,001000101101,0410322140,0104527341
650,27,001100011011,3412243541,3572041427
651,32,110110010100,5002413324,3822411832
652,37,000100011011,1344250344,0451267831
653,36,000101100111,2210545453,2122547086
654,31,011000001110,1311433200,3307446223
655,38,001010010001,0024130525,0430288521
656,10,001011010110,1140523041,0318762408
657,29,001101011101,3152401224,1341762540
658,51,011001010001,2154031403,0310452871
659,25,010001011101,4431452443,0170345264
660,34,001011000101,4142531001,0401326485
661,26,111010010110,4052014330,5431260317
662,26,100101101011,0545541231,7673584271
663,38,100101010010,2344104112,1443025416
664,22,011100100010,1410023144,0455638871
665,36,001011001000,0411315042,0417334725
666,46,001010111101,0423503404,5655441862
667,38,001101000100,0000002304,5743634521
668,47,001011100101,1305042134,6214870562
669,22,110111010011,2431314545,2125634777
670,48,011001101001,4053315042,3466280531
671,24,110111001011,4212522300,7480356613
672,24,011001001101,4230542235,3245061328
673,34,111011111001,1135052410,0504386366
674,28,001011000100,3140312543,1304625318
675,27,000110100011,4421010432,1126774773
676,31,001110111000,1532121444,4450611412
677,41,001011101000,4013243502,2301857641
678,33,111111001000,2434511104,6185757300
679,42,000011011110,1340152214,4488855768
680,25,000010110100,3333140552,4260310487
681,34,000000101110,0422133501,0412543674
682,31,001011010111,2354145020,5130427286
683,32,011101001010,0134150412,0251835014
684,35,000110001000,4414540534,5502654356
685,42,001001110010,0423445124,0174563888
686,24,010011010010,2054130413,0362175304
687,33,110000100110,1514121003,6321284704
688,30,110101110010,3103421330,5413601745
689,28,111010000010,0431150234,8815132074
690,35,111101000110,0421103320,0474730821
691,30,000010011110,4320514313,4376125804
692,38,101111100101,3503124033,0656718046
693,50,001011010010,4153012541,0452178634
694,26,000101011111,5130445352,0643182734
695,47,001101110010,5231301344,5751024666
696,32,000101101000,4021454400,0452344668
697,20,001011101000,2400523154,1704235864
698,23,101100010011,1550423102,3168425070
699,22,011011100111,1344504312,2013543205
700,35,110101001011,0024105422,6251442083
701,40,011000100110,5341250120,3226534705
702,25,000101100000,0100423311,0152847634
703,44,001010001101,4250115430,3721638415
704,22,001000110100,1452331004,0853714454
705,29,110101001010,0532415320,0832651745
706,40,000110101100,5413442035,5144067328
707,30,101101000001,1350421154,0413445276
708,24,111100000111,0125430145,4630871524
709,28,010001110010,0412235400,0146785324
710,44,011010010011,3305402435,2786175324
711,24,010010111010,4052451130,3273120246
712,39,000100011101,4013245042,4130675221
713,36,001110111000,1153014105,1418167882
714,52,100010110011,5154123011,3352574416
715,25,110101101100,2243145003,1357026345
716,23,110001000100,2041552441,2041685377
717,29,010110101010,3513335130,3431146576
718,46,000000110100,3121100045,3551404674
719,27,001101011001,2350124141,1486534126
720,35,111101110000,4402222315,0536741835
721,27,111010010001,5530124013,6225047885
722,40,011011010001,1531420043,8346014702
723,27,001011010001,0413405123,3704186403
724,29,001110010101,0421155032,3201444233
725,51,101110010101,0403311125,0413587464
726,37,011011001101,0412254310,0541678543
727,39,001011100100,1524204311,0567661525
728,28,001000101111,0132240115,3146770400
729,19,111001100101,0234150234,0542310856
730,39,111111100000,0000000011,4444111115
731,24,101001111000,1430524134,0452173564
732,32,010001011101,4145243341,5341084885
733,24,111011100010,1124555103,1451385422
734,38,010011001000,3125403112,4425774210
735,30,001101110100,4453240413,4803346702
736,29,001000111010,5125340215,5184442053
737,29,001011100011,1354120444,4887782104
738,26,001000101101,3412504552,1145237660
739,28,001010111011,1443202554,0177625554
740,45,010110110101,0134252310,1856586283
741,75,110100011011,5241512045,2025164287
742,32,001000110100,1452243305,3457357836
743,24,001101110001,5514523045,1654345447
744,36,001111010111,5403353204,4725213580
745,54,111000101011,1452041321,0465317285
746,38,011101000011,0153104144,1766321032
747,48,111000110011,1322033442,0854711125
748,31,111010010011,4011233051,7341544685
749,22,110001000001,1235415032,5355521804
750,46,011001101001,5513450232,1544206438
751,18,001011110101,4035542211,0443474248
752,27,000010100110,4135201425,0354126781
753,34,110010111100,4042553000,2456118540
754,27,111011111001,0220145015,2078520670
755,23,111010100001,1142550311,8887544100
756,42,010101101100,3141250123,7543413584
757,40,100010110101,0043130555,2344658040
758,39,110000011111,1114425300,5622140382
759,31,100111101011,4412304523,5283752046
760,45,000110101011,0412315104,4132587463
761,28,011100101100,0433153024,0572485361
762,28,001011011011,4321045541,0513624017
763,53,011000100111,0112451330,2241008777
764,18,001011010111,1420531104,2537481464
765,52,100010010001,4331500433,1677430142
766,31,001011101100,2513440042,0576328416
767,33,001011011000,4215303412,4562048531
768,34,110100101110,4053215450,6838384575
769,38,110100010011,2532401524,0552184735
770,27,110111111000,1553023335,7611455330
771,40,011101011001,2415413042,1450718164
772,38,000011111011,5154501422,6432874413
773,60,000101001010,1143220144,0013577600
774,29,000101100100,0335132045,0641177822
775,29,101110101001,1204143150,0425358143
776,47,001011000011,2300145420,0435720166
777,33,000000101011,2413051434,0346785301
778,32,000010101100,4533024410,2308846571
779,32,110000101011,4145311250,5314185710
780,33,111010001010,2321542105,0826360582
781,14,001000110110,4302514250,4038547612
782,27,010101010001,0523142514,0146583172
783,34,111111111111,5411253315,2146301764
784,31,010110101101,2441213245,2538412585
785,46,110100001011,5045103014,2748165144
786,31,010010111010,0554124132,4062134142
787,44,000110111110,4454113424,3315376321
788,34,001000011101,1300132415,5723140663
789,38,010010001000,2211432252,5244376810
790,47,101111010001,3431352430,0436034581
791,24,000101011110,4510034454,5743277806
792,52,100010111001,2413504153,1342578016
793,30,000101101001,2431423051,4445381603
794,25,001011101011,0231512414,1023147233
795,46,001011101000,4152044034,2848516340
