id,age,toss,roll,spot
56,35,101100010001,0514231425,0845274341
58,34,011010110110,0423154215,0413768542
59,37,011101010111,1304255544,2713673507
60,36,010110101100,0124513420,1042854631
61,25,100101110101,4031452340,4673850214
62,25,101101001000,0431524130,1340852764
63,35,000111101000,0343554324,0433218407
64,39,101011101110,2154210314,4201645201
65,37,000000000011,4412541001,5555441103
66,29,000101101001,1132530241,0832014364
67,35,001011101000,3154210345,5287314602
68,25,010000111010,4112530144,0431002633
69,23,001011000110,0421153240,0238156774
70,33,111000001000,0044021145,0423217788
71,26,001011010110,1350413524,0462154178
72,25,101101110011,1344020053,4765321204
73,30,010011010011,1311245130,1354681032
74,37,001111010010,3105422514,6436251874
75,32,011011000101,1422150330,1441045743
76,28,010001011110,0413251212,1465284037
77,29,100100011010,4023110434,8461030040
78,27,001101001010,5413205525,4627744350
79,65,001010110100,4234051424,3348201476
80,20,000101001110,1340543241,0465213758
81,25,000010001101,0532115003,0351146288
82,75,001010110111,0314402130,5704213428
83,32,101100100010,3204154144,5086444537
84,28,000110101100,0312033124,0216844371
85,29,110100001001,3121500234,1408252374
86,36,000100000111,0403310352,0465520801
87,50,000101101101,2141003525,0340256470
88,34,011010110010,5243012451,0864515312
89,31,110001001101,1244053331,4521367541
90,45,000101011110,5423104512,2653817411
91,32,010011010001,4442303514,0178263150
92,40,110100010100,4250322150,3184436534
93,33,001010001101,1321440213,0463525314
94,26,111100101000,3403425034,0300185774
95,30,000010011101,1412300012,0012645458
96,41,011110010110,4025344012,0124763425
97,30,011010001001,1425310100,3218747605
98,23,001011010100,0112431415,1343657414
99,32,011001111110,1304444022,2144411100
100,33,001001011100,4401322503,2673441085
101,35,001000101001,1325041325,1628043712
102,28,000101110101,1532041350,5614820734
103,25,001011101100,1325440153,1350067428
104,63,010001100111,3055022453,0708086050
105,28,111010010100,3244053154,3708724453
106,46,001001110110,3512255043,1053351533
107,30,010010100110,4125301455,0452133675
108,51,000101110111,1442231454,3431201756
109,59,001011011011,2143501431,0423648653
110,28,000101101100,3240153240,5304167843
111,36,011100011010,0315241135,2221473800
112,37,001010010100,4105231054,0564318714
113,35,111010010110,0414112534,0141257484
114,39,001011100111,3134120450,0421685374
115,27,010001101110,1531020335,8453063613
116,31,110110110010,2331042311,0534386201
117,33,001010010101,4241131233,0415836254
118,32,111100100011,2400313442,1537460325
119,37,110100001101,0421425130,7528013561
120,35,110001010001,2414300541,2136584701
121,24,010101111110,4125434514,6374187436
122,29,110111100001,0413522214,0403674254
123,28,111010010110,1144551123,4404110804
124,29,010010110010,3105412031,0143284760
125,41,010001101010,0435214351,0345718270
126,29,101110101111,0423502301,7252836047
127,42,010110100111,4215341045,2875410436
128,32,111000110101,0135020000,1046804328
129,31,000101110101,0534125144,0542683417
130,43,111011001011,1522405003,2454832716
131,29,101101000001,4114251440,0745522348
132,32,111010001111,4121053044,0524173680
133,56,110101000100,1524203533,1673250845
134,44,101110011100,1341252040,8450813717
135,30,010001101001,1543254103,0351422178
136,40,111010001110,1531145042,2314258012
137,33,000100001101,0145324142,4316782047
138,36,000010001111,0004441311,0474315784
139,33,001011101001,0443215131,6503432811
140,44,110100111100,5144341033,5433126484
141,41,001011111010,0421250311,4183527604
142,37,001011001001,4234510241,2537456354
143,37,111010011000,1433524501,5621854773
144,25,010010110110,4251201324,5313478073
