name,city,neighborhood,place,views_median,views_sum,name_clean,lat,lng,extract,state
Donald Trump,Bedminster,,Bedminster,53319,140255718,Donald Trump,40.669264,-74.6804,"Donald John Trump is the 45th and current president of the United States. Before entering politics, he was a businessman and television personality.",New Jersey
Donald Trump,New York City,,New York City,53181,140641448,Donald Trump,40.7127753,-74.0059728,"Donald John Trump is the 45th and current president of the United States. Before entering politics, he was a businessman and television personality.",New York
Cardi B,Edgewater,,Edgewater,31791,28729507,Cardi B,40.8270448,-73.975694,"Belcalis Marlenis Almánzar, known professionally as Cardi B, is an American rapper, songwriter and television personality. Born and raised in The Bronx, New York City, she became an Internet...",New Jersey
Cardi B,Bronx,,Bronx,31567,29101434,Cardi B,40.8447819,-73.8648268,"Belcalis Marlenis Almánzar, known professionally as Cardi B, is an American rapper, songwriter and television personality. Born and raised in The Bronx, New York City, she became an Internet...",New York
Dwayne Johnson,Southwest Ranches,,Southwest Ranches,27307,42213949,Dwayne Johnson,26.0587001,-80.3372733,"Dwayne Douglas Johnson, also known by his ring name The Rock, is an American actor, producer, and semi-retired professional wrestler.",Florida
Dwayne Johnson,Hayward,,Hayward,27277,42531025,Dwayne Johnson,37.6688205,-122.0807964,"Dwayne Douglas Johnson, also known by his ring name The Rock, is an American actor, producer, and semi-retired professional wrestler.",California
Dwayne Johnson,Lehigh Valley,,Lehigh Valley,27277,42531025,Dwayne Johnson,40.6309043,-75.4801037,"Dwayne Douglas Johnson, also known by his ring name The Rock, is an American actor, producer, and semi-retired professional wrestler.",Pennsylvania
Elon Musk,Los Angeles,,Los Angeles,27068,45523227,Elon Musk,34.0522342,-118.2436849,"Elon Reeve Musk is a technology entrepreneur, investor, and engineer. He holds South African, Canadian, and U.S. citizenship and is the founder, CEO, and lead designer of SpaceX; co-founder, CEO, and...",California
Barack Obama,Honolulu,,Honolulu,25335,44897089,Barack Obama,21.3069444,-157.8583333,"Barack Hussein Obama II is an American attorney and politician who served as the 44th president of the United States from 2009 to 2017. A member of the Democratic Party, he was the first African...",Hawaii
Barack Obama,Chicago,,Chicago,25320.5,44954292,Barack Obama,41.8781136,-87.6297982,"Barack Hussein Obama II is an American attorney and politician who served as the 44th president of the United States from 2009 to 2017. A member of the Democratic Party, he was the first African...",Illinois
6ix9ine,Brooklyn,Bushwick,Bushwick,21898.5,14650609,6ix9ine,40.6957755,-73.9170604,"Daniel Hernandez, known professionally as 6ix9ine or Tekashi69, is an American rapper. His musical career has been marked by an aggressive style of rapping, while his controversial public persona is...",New York
Michael Jackson,Las Vegas,,Las Vegas,21516,34417229,Michael Jackson,36.1699412,-115.1398296,"Michael Joseph Jackson was an American singer, songwriter, and dancer. Dubbed the ""King of Pop"", he is widely regarded as one of the most significant cultural figures of the 20th century and one of...",Nevada
Eminem,St. Joseph,,St. Joseph,20228,32418384,Eminem,39.7674578,-94.846681,"Marshall Bruce Mathers III, known professionally as Eminem, is an American rapper, songwriter, record producer, record executive, film producer, and actor. He is consistently cited as one of the...",Missouri
Eminem,Warren,,Warren,20228,32418384,Eminem,42.5144566,-83.0146526,"Marshall Bruce Mathers III, known professionally as Eminem, is an American rapper, songwriter, record producer, record executive, film producer, and actor. He is consistently cited as one of the...",Michigan
Eminem,Kansas City,,Kansas City,20195,32593410,Eminem,39.0997265,-94.5785667,"Marshall Bruce Mathers III, known professionally as Eminem, is an American rapper, songwriter, record producer, record executive, film producer, and actor. He is consistently cited as one of the...",Missouri
