"schoolName","stateAbb","locale","totalStudents"
"HICKSVILLE HIGH SCHOOL","NY ","21-Suburb: Large",1754
"RUSK H S","TX ","41-Rural: Fringe",597
"MAY-PORT CG HIGH SCHOOL","ND ","43-Rural: Remote",142
"EAST HIGH","UT ","12-City: Mid-size",1923
"NORTH FORT MYERS HIGH SCHOOL","FL ","21-Suburb: Large",1673
"TOMAHAWK HIGH","WI ","32-Town: Distant",418
"PRIOR LAKE HIGH SCHOOL","MN ","21-Suburb: Large",2562
"OOLOGAH-TALALA HS","OK ","42-Rural: Distant",563
"JUDITH GAP HIGH SCHOOL","MT ","43-Rural: Remote",6
"LA FERIA H S","TX ","22-Suburb: Mid-size",953
"GLASGOW HIGH SCHOOL","MT ","41-Rural: Fringe",246
"OAKDALE HIGH","MD ","22-Suburb: Mid-size",1229
"BARNES COUNTY NORTH HIGH SCHOOL","ND ","43-Rural: Remote",85
"FONDA-FULTONVILLE SENIOR HIGH SCHOOL","NY ","41-Rural: Fringe",404
"MOHONASEN SENIOR HIGH SCHOOL","NY ","21-Suburb: Large",946
"DODGEVILLE HIGH","WI ","32-Town: Distant",412
"TEAGUE H S","TX ","33-Town: Remote",415
"ARCADIA HIGH SCHOOL","NY ","21-Suburb: Large",1144
"RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL","NY ","31-Town: Fringe",582
"NORTHGLENN HIGH SCHOOL","CO ","21-Suburb: Large",1923
"PARK VISTA COMMUNITY HIGH SCHOOL","FL ","21-Suburb: Large",3035
"LATHROP HIGH","CA ","41-Rural: Fringe",1261
"DEL MAR HIGH","CA ","11-City: Large",1167
"ANAMOSA HIGH SCHOOL","IA ","32-Town: Distant",384
"RIO RANCHO HIGH","NM ","21-Suburb: Large",2387
"TACONIC HIGH","MA ","13-City: Small",731
"LATTA HS","OK ","41-Rural: Fringe",213
"BROOKFIELD HIGH","MO ","41-Rural: Fringe",298
"CARMEL HIGH SCHOOL","NY ","21-Suburb: Large",1434
"BREMOND H S","TX ","43-Rural: Remote",151
"JULIAN HIGH","CA ","42-Rural: Distant",157
"RED RIVER HIGH SCHOOL","ND ","13-City: Small",1141
"ROBERTSDALE HIGH SCH","AL ","31-Town: Fringe",1369
"LATHROP HIGH SCHOOL","AK ","13-City: Small",1040
"ATHOL HIGH","MA ","31-Town: Fringe",358
"SAVAGE HIGH SCHOOL","MT ","43-Rural: Remote",36
"BEGGS HS","OK ","42-Rural: Distant",351
"BELTON H S","TX ","23-Suburb: Small",2711
"MILTON HIGH","WI ","23-Suburb: Small",1075
"SOUTHERN COLUMBIA HS","PA ","41-Rural: Fringe",409
"COMO PARK SENIOR HIGH","MN ","11-City: Large",1307
"ELSBERRY HIGH","MO ","42-Rural: Distant",232
"PORT JERVIS SENIOR HIGH SCHOOL","NY ","41-Rural: Fringe",827
"LONGMONT HIGH SCHOOL","CO ","23-Suburb: Small",1188
"ELKO HIGH SCHOOL","NV ","33-Town: Remote",1295
"IRONTON HIGH SCHOOL","OH ","22-Suburb: Mid-size",396
"SOUTH JEFFERSON HIGH SCHOOL","NY ","41-Rural: Fringe",611
"SIMSBURY HIGH SCHOOL","CT ","21-Suburb: Large",1423
"WINDTHORST H S","TX ","42-Rural: Distant",168
