"schoolName","stateAbb","locale","totalStudents"
"NORTHBRIDGE HIGH","MA ","21-Suburb: Large",605
"DEPEW HIGH SCHOOL","NY ","21-Suburb: Large",594
"AMSTERDAM HIGH SCHOOL","NY ","41-Rural: Fringe",1125
"BARBERS HILL H S","TX ","41-Rural: Fringe",1501
"LOUISIANA HIGH","MO ","33-Town: Remote",204
"BUTLER HIGH SCHOOL","OH ","21-Suburb: Large",971
"GATEWAY HIGH SCHOOL","CO ","11-City: Large",1803
"PINE BUSH SENIOR HIGH SCHOOL","NY ","41-Rural: Fringe",1754
"COE-BROWN NORTHWOOD ACADEMY","NH ","42-Rural: Distant",701
"DAWSON HIGH SCHOOL","MT ","33-Town: Remote",389
"ELEANOR ROOSEVELT HIGH SCHOOL","NY ","11-City: Large",555
"HINTON HS","OK ","43-Rural: Remote",162
"GIRARD HS","PA ","22-Suburb: Mid-size",564
"HUNTLEY PROJECT HIGH SCHL","MT ","42-Rural: Distant",262
"FRUITVALE H S","TX ","42-Rural: Distant",127
"DARLINGTON HIGH","WI ","43-Rural: Remote",217
"MOUNDS HS","OK ","41-Rural: Fringe",180
"HOWE HS","OK ","32-Town: Distant",194
"OAK GROVE HIGH","MO ","21-Suburb: Large",649
"MCLOUTH HIGH","KS ","42-Rural: Distant",141
"TATUM H S","TX ","42-Rural: Distant",525
"CEDAR CITY HIGH","UT ","33-Town: Remote",1182
"HANOVER HIGH","KS ","43-Rural: Remote",76
"RICE LAKE HIGH","WI ","33-Town: Remote",687
"DAPHNE HIGH SCH","AL ","13-City: Small",1259
"NEW LONDON HIGH","WI ","41-Rural: Fringe",640
"LAWSON HIGH","MO ","42-Rural: Distant",381
"ELGIN HS","OK ","42-Rural: Distant",673
"AKRON WESTFIELD SENIOR HIGH SCHOOL","IA ","42-Rural: Distant",160
"MARTINSVILLE HIGH","VA ","32-Town: Distant",625
"CHILLICOTHE HIGH","MO ","33-Town: Remote",571
"FLOYD HIGH","NM ","43-Rural: Remote",67
"BERRYVILLE HIGH SCHOOL","AR ","32-Town: Distant",612
"EAST LAURENS HIGH SCHOOL","GA ","41-Rural: Fringe",592
"TURNERS FALL HIGH","MA ","32-Town: Distant",239
"HENRIETTA H S","TX ","41-Rural: Fringe",276
"GRANBURY H S","TX ","32-Town: Distant",1414
"RAINIER SENIOR HIGH SCHOOL","WA ","42-Rural: Distant",286
"NORTH ANDREW HIGH","MO ","42-Rural: Distant",117
"CARROLLTON HIGH SCHOOL","GA ","31-Town: Fringe",1481
"HORN H S","TX ","41-Rural: Fringe",2320
"BANKS COUNTY HIGH SCHOOL","GA ","41-Rural: Fringe",908
"WEATHERFORD H S","TX ","41-Rural: Fringe",2326
"AMITY REGIONAL HIGH SCHOOL","CT ","21-Suburb: Large",1486
"CORNWALL CENTRAL HIGH SCHOOL","NY ","41-Rural: Fringe",1082
"CENTRAL HIGH SCHOOL","IA ","41-Rural: Fringe",516
"WASHINGTON HIGH","MO ","32-Town: Distant",1343
"RANCHO BUENA VISTA HIGH","CA ","21-Suburb: Large",2417
"FREEPORT AREA SHS","PA ","41-Rural: Fringe",599
"LEVERETTS CHAPEL H S","TX ","42-Rural: Distant",61
"WEST STOKES HIGH","NC ","41-Rural: Fringe",932
"NANTUCKET HIGH","MA ","32-Town: Distant",513
"NORTH CARROLL HIGH","MD ","21-Suburb: Large",700
"MIDLAND H S","TX ","12-City: Mid-size",2149
"SPENCER HIGH SCHOOL","IA ","33-Town: Remote",605
"PELLA HIGH SCHOOL","IA ","32-Town: Distant",677
"MCGREGOR H S","TX ","31-Town: Fringe",414
"WESTHILL HIGH SCHOOL","CT ","12-City: Mid-size",2096
"QUINCY HIGH","MA ","21-Suburb: Large",1465
"CURRITUCK COUNTY HIGH","NC ","42-Rural: Distant",1030
"NEVADA HIGH SCHOOL","IA ","31-Town: Fringe",462
"ADM SENIOR HIGH SCHOOL","IA ","31-Town: Fringe",479
"WAUSAUKEE HIGH","WI ","43-Rural: Remote",163
"PLEASANT GROVE H S","TX ","13-City: Small",658
"BASTROP H S","TX ","32-Town: Distant",1348
"TGU-GRANVILLE HIGH SCHOOL","ND ","43-Rural: Remote",35
"MARINETTE HIGH","WI ","32-Town: Distant",644
"PORTSMOUTH HIGH SCHOOL","NH ","23-Suburb: Small",1108
"BORGER H S","TX ","32-Town: Distant",777
"CABOOL HIGH","MO ","42-Rural: Distant",236
"SYMMES VALLEY HIGH SCHOOL","OH ","42-Rural: Distant",202
"WELDON VALLEY HIGH SCHOOL","CO ","42-Rural: Distant",70
"SHADOW HILLS HIGH","CA ","41-Rural: Fringe",2006
"LAINGSBURG HIGH SCHOOL","MI ","42-Rural: Distant",377
"COLUMBIA HIGH SCHOOL","NY ","41-Rural: Fringe",1239
"TWIN VALLEY HIGH SCHOOL","VT ","42-Rural: Distant",139
"SHAWANO HIGH","WI ","32-Town: Distant",804
"HALLSVILLE H S","TX ","41-Rural: Fringe",1434
"LAUREL HIGH SCHOOL","MT ","31-Town: Fringe",661
"G.F.W. HIGH SCHOOL","MN ","43-Rural: Remote",251
"WAYZATA HIGH","MN ","13-City: Small",3237
"HART HIGH SCHOOL","MI ","32-Town: Distant",387
"DOVER HS","OK ","42-Rural: Distant",51
"SCOTIA-GLENVILLE SENIOR HIGH SCHOOL","NY ","21-Suburb: Large",792
"POWDER RIVER CO DIST HIGH","MT ","43-Rural: Remote",98
"PLYMOUTH-WHITEMARSH SHS","PA ","21-Suburb: Large",1465
"CENTRAL HIGH SCHOOL","GA ","31-Town: Fringe",1162
"JERICHO SENIOR HIGH SCHOOL","NY ","21-Suburb: Large",1110
"SALIDA HIGH SCHOOL","CO ","33-Town: Remote",325
"THOMAS JEFFERSON HIGH SCHOOL","CO ","11-City: Large",1069
"SHERIDAN HIGH SCHOOL","WY ","33-Town: Remote",973
"NELSON COUNTY HIGH","VA ","42-Rural: Distant",643
"CREEKVIEW H S","TX ","21-Suburb: Large",1974
"HUDSON HIGH","WI ","31-Town: Fringe",1793
"MORENCI HIGH SCHOOL","AZ ","33-Town: Remote",397
"WEST SENECA EAST SENIOR HIGH SCHOOL","NY ","21-Suburb: Large",955
"WESTON RANCH HIGH","CA ","11-City: Large",1232
"NEX GEN ACADEMY","NM ","11-City: Large",307
"LANDER VALLEY HIGH SCHOOL","WY ","33-Town: Remote",439
"SKIATOOK HS","OK ","31-Town: Fringe",750
"HORLICK HIGH","WI ","13-City: Small",1848
"WEST DELAWARE HIGH SCHOOL","IA ","32-Town: Distant",468
"EAST COWETA HIGH SCHOOL","GA ","21-Suburb: Large",2882
"NISKAYUNA HIGH SCHOOL","NY ","21-Suburb: Large",1392
"EMPORIA HIGH","KS ","33-Town: Remote",1460
"NEWPORT MIDDLE HIGH SCHOOL (HIGH)","NH ","41-Rural: Fringe",338
"SOUTH CENTRAL CALHOUN HIGH SCHOOL","IA ","43-Rural: Remote",305
"JACKSON HOLE HIGH SCHOOL","WY ","41-Rural: Fringe",638
"IRAAN H S","TX ","43-Rural: Remote",128
"HORIZON HIGH SCHOOL","AZ ","11-City: Large",2242
"LINCOLN SENIOR HIGH SCHOOL","MI ","41-Rural: Fringe",1157
"TURPIN HS","OK ","43-Rural: Remote",123
"BELLPORT SENIOR HIGH SCHOOL","NY ","21-Suburb: Large",1325
"PLATTE CANYON HIGH SCHOOL","CO ","43-Rural: Remote",317
"ROSEMONT HIGH","CA ","21-Suburb: Large",1355
"BOWLEGS HS","OK ","42-Rural: Distant",81
"SPENCERPORT HIGH SCHOOL","NY ","21-Suburb: Large",1209
"PIEDMONT HS","OK ","41-Rural: Fringe",936
"RIVERDALE HIGH SCHOOL","FL ","41-Rural: Fringe",2058
"PITTSFIELD HIGH SCHOOL","NH ","42-Rural: Distant",158
"WEST ISLIP SENIOR HIGH SCHOOL","NY ","21-Suburb: Large",1515
"KENYON-WANAMINGO SENIOR HIGH","MN ","43-Rural: Remote",262
"CRATER ACADEMY OF HEALTH AND PUBLIC SERVICES","OR ","22-Suburb: Mid-size",467
"GRAND LEDGE HIGH SCHOOL","MI ","21-Suburb: Large",1710
"DAVID PROUTY HIGH","MA ","21-Suburb: Large",396
"TARKINGTON H S","TX ","42-Rural: Distant",526
"SOUTH GLENS FALLS SENIOR HIGH SCHOOL","NY ","23-Suburb: Small",996
"AFFTON HIGH","MO ","21-Suburb: Large",773
"AZLE H S","TX ","21-Suburb: Large",1761
"LURAY HIGH","VA ","32-Town: Distant",514
"LEBANON SR. HIGH","MO ","33-Town: Remote",1463
"HIGLEY HIGH SCHOOL","AZ ","21-Suburb: Large",1670
"APPOQUINIMINK HIGH SCHOOL","DE ","41-Rural: Fringe",1589
"QUANAH H S","TX ","43-Rural: Remote",151
"RHAM HIGH SCHOOL","CT ","41-Rural: Fringe",1023
"LYNNVILLE-SULLY HIGH SCHOOL","IA ","43-Rural: Remote",146
"GRANDVIEW SR. HIGH","MO ","21-Suburb: Large",1230
"FONTANA HIGH","CA ","21-Suburb: Large",2509
"WHITMAN HANSON REGIONAL","MA ","21-Suburb: Large",1191
"HARLOWTON HIGH SCHOOL","MT ","43-Rural: Remote",71
"OAK CREEK HIGH","WI ","21-Suburb: Large",2088
"MARATHON HIGH","WI ","41-Rural: Fringe",237
"AKRON EARLY COLLEGE HIGH SCHOOL","OH ","12-City: Mid-size",343
"BONNEY LAKE HIGH SCHOOL","WA ","21-Suburb: Large",1335
"ROGERS H S","TX ","42-Rural: Distant",300
"ATHENS HIGH","WI ","42-Rural: Distant",191
"EXCELSIOR SPRINGS HIGH","MO ","31-Town: Fringe",791
"BYRON NELSON H S","TX ","41-Rural: Fringe",2557
"CELINA H S","TX ","41-Rural: Fringe",697
"FRONTENAC SR. HIGH SCHOOL","KS ","32-Town: Distant",268
"QUEEN CITY H S","TX ","32-Town: Distant",299
"MACON SR. HIGH","MO ","33-Town: Remote",427
"UNION HIGH SCHOOL","IA ","42-Rural: Distant",391
"SEDRO WOOLLEY SENIOR HIGH SCHOOL","WA ","23-Suburb: Small",1207
"ATASCADERO HIGH","CA ","23-Suburb: Small",1331
"AGWSR HIGH SCHOOL","IA ","42-Rural: Distant",157
"KEYSTONE HIGH SCHOOL","OH ","41-Rural: Fringe",468
"CUBA HIGH","MO ","33-Town: Remote",417
"ONTARIO HIGH SCHOOL","OR ","32-Town: Distant",693
"GOSHEN CENTRAL HIGH SCHOOL","NY ","41-Rural: Fringe",966
"BATESVILLE HIGH SCHOOL","AR ","41-Rural: Fringe",626
"ALAMO HEIGHTS H S","TX ","21-Suburb: Large",1553
"RANCHO VERDE HIGH","CA ","21-Suburb: Large",3303
"SOUTH SENIOR HIGH","MN ","11-City: Large",1847
"SINTON H S","TX ","32-Town: Distant",639
"LOMPOC HIGH","CA ","23-Suburb: Small",1398
"EASTERN HIGH SCHOOL","MI ","41-Rural: Fringe",809
"SHELBY CO HIGH SCH","AL ","31-Town: Fringe",629
"CALHOUN HIGH SCHOOL","GA ","32-Town: Distant",1084
"ALONSO HIGH SCHOOL","FL ","21-Suburb: Large",2698
"MIRA MESA HIGH","CA ","11-City: Large",2426
"INDEPENDENCE HIGH SCHOOL","MS ","42-Rural: Distant",404
"SOMERSET HIGH","WI ","31-Town: Fringe",488
"BLUE RIDGE H S","TX ","42-Rural: Distant",195
"KALKASKA HIGH SCHOOL","MI ","33-Town: Remote",473
"LA JOLLA HIGH","CA ","11-City: Large",1581
"WEST GRAND HIGH SCHOOL","CO ","43-Rural: Remote",132
"PARK HILL HIGH","MO ","11-City: Large",1877
"NORTH HS","OK ","21-Suburb: Large",2644
"THUNDER RIDGE HIGH SCHOOL","KS ","43-Rural: Remote",69
"CALERA HIGH SCH","AL ","41-Rural: Fringe",745
"PEKIN COMMUNITY HIGH SCHOOL","IA ","43-Rural: Remote",205
"BRINDLEE MT HIGH SCH","AL ","41-Rural: Fringe",358
"WESTON HIGH","MA ","21-Suburb: Large",726
"SOROCO HIGH SCHOOL","CO ","43-Rural: Remote",101
"WACONIA SENIOR HIGH","MN ","31-Town: Fringe",1156
"SAN JON HIGH","NM ","43-Rural: Remote",28
"JOSEPH CASE HIGH","MA ","21-Suburb: Large",511
"WHARTON H S","TX ","32-Town: Distant",587
"LEAVENWORTH SR HIGH","KS ","31-Town: Fringe",1315
"ILLINOIS VALLEY HIGH SCHOOL","OR ","42-Rural: Distant",356
"GRIFFIN HIGH SCHOOL","GA ","21-Suburb: Large",1395
"COLCHESTER HIGH SCHOOL","VT ","41-Rural: Fringe",731
"WEST HEMPSTEAD HIGH SCHOOL","NY ","21-Suburb: Large",765
"MONTE VISTA HIGH","CA ","21-Suburb: Large",2348
"CENTURY HIGH","MD ","41-Rural: Fringe",1094
"OLTON H S","TX ","43-Rural: Remote",173
"LITTLE MIAMI HIGH SCHOOL","OH ","21-Suburb: Large",1112
"JEFFERSON HIGH","WI ","32-Town: Distant",658
"CEDAR GROVE-BELGIUM HIGH","WI ","42-Rural: Distant",355
"HOMINY HS","OK ","32-Town: Distant",163
"GLEN ROSE H S","TX ","42-Rural: Distant",508
"MONROE-WOODBURY HIGH SCHOOL","NY ","21-Suburb: Large",2332
"LOVELL HIGH SCHOOL","WY ","43-Rural: Remote",211
"SAUK PRAIRIE HIGH","WI ","32-Town: Distant",822
"BARABOO HIGH","WI ","32-Town: Distant",992
"DEXTER HIGH","MO ","33-Town: Remote",633
"PERRY CENTRAL HIGH SCHOOL","MS ","42-Rural: Distant",315
"KETCHUM HS","OK ","43-Rural: Remote",202
"LEOMINSTER HIGH SCHOOL","MA ","22-Suburb: Mid-size",1771
"MADRAS HIGH SCHOOL","OR ","32-Town: Distant",821
"CHRISTIANSBURG HIGH","VA ","13-City: Small",1082
"LEBANON HIGH SCHOOL","OR ","31-Town: Fringe",1264
"MILLER PLACE HIGH SCHOOL","NY ","21-Suburb: Large",900
"LEHIGH SENIOR HIGH SCHOOL","FL ","21-Suburb: Large",1810
"SUTTON HIGH SCHOOL","MA ","41-Rural: Fringe",440
"SPAULDING UHSD #41","VT ","32-Town: Distant",661
"TIPTON HIGH SCHOOL","IA ","32-Town: Distant",271
"BIG PINEY HIGH SCHOOL","WY ","43-Rural: Remote",192
"IRONDEQUOIT HIGH SCHOOL","NY ","21-Suburb: Large",1209
"CLEARWATER HIGH","MO ","43-Rural: Remote",311
"HILLDALE HS","OK ","32-Town: Distant",525
"ALVARADO H S","TX ","31-Town: Fringe",1046
"SAYRE HS","OK ","33-Town: Remote",197
"CHASE HIGH","KS ","42-Rural: Distant",59
"PLAINWELL HIGH SCHOOL","MI ","31-Town: Fringe",799
"CIMARRON HS","OK ","42-Rural: Distant",71
"CENTRALIA HIGH","MO ","32-Town: Distant",405
"GUYMON HS","OK ","33-Town: Remote",848
"HAMILTON HIGH SCHOOL","AZ ","21-Suburb: Large",3840
"BATTLE CREEK-IDA GROVE SENIOR HIGH SCHOOL","IA ","43-Rural: Remote",238
"PALACIOS H S","TX ","41-Rural: Fringe",439
"LYONS SENIOR HIGH SCHOOL","NY ","32-Town: Distant",254
"PENTUCKET REGIONAL SR HIGH","MA ","21-Suburb: Large",707
"GRANTSBURG HIGH","WI ","43-Rural: Remote",258
"UNIONVILLE-SEBEWAING HIGH SCHOOL","MI ","42-Rural: Distant",261
"DANVERS HIGH","MA ","21-Suburb: Large",1020
"IGNACIO HIGH SCHOOL","CO ","42-Rural: Distant",249
"BINGHAMTON HIGH SCHOOL","NY ","13-City: Small",1649
"GEORGE MASON HIGH","VA ","21-Suburb: Large",786
"OMRO HIGH","WI ","41-Rural: Fringe",401
"NASHOBA REGIONAL","MA ","41-Rural: Fringe",1065
"PIERCE COUNTY HIGH SCHOOL","GA ","41-Rural: Fringe",1068
"SOUTH ALBANY HIGH SCHOOL","OR ","13-City: Small",1352
"CONNALLY HIGH SCHOOL","TX ","22-Suburb: Mid-size",661
"MIDDLE CREEK HIGH","NC ","21-Suburb: Large",2283
"MOUNTAIN VIEW HIGH SCHOOL","WY ","43-Rural: Remote",238
"FONTANA A. B. MILLER HIGH","CA ","21-Suburb: Large",2355
"TEXAS H S","TX ","13-City: Small",1824
"MOORE HS","OK ","21-Suburb: Large",2463
"CHANHASSEN HIGH SCHOOL","MN ","21-Suburb: Large",1678
"CLEAR BROOK H S","TX ","21-Suburb: Large",2220
"SLEEPY HOLLOW HIGH SCHOOL","NY ","21-Suburb: Large",853
"DOUGLAS HIGH SCHOOL","MA ","21-Suburb: Large",403
"WALPOLE HIGH","MA ","21-Suburb: Large",1172
"MEMORIAL HS","OK ","21-Suburb: Large",2155
"EAST HAMPTON HIGH SCHOOL","NY ","41-Rural: Fringe",878
"WARRENTON HIGH SCHOOL","OR ","41-Rural: Fringe",265
"IRVINE HIGH","CA ","12-City: Mid-size",2031
"HILLIARD BRADLEY HIGH SCHOOL","OH ","41-Rural: Fringe",1611
"APS ONLINE SCHOOL","CO ","11-City: Large",143
"MEDFORD HIGH","MA ","21-Suburb: Large",1195
"SENIOR HS","OK ","43-Rural: Remote",145
"ONTEORA HIGH SCHOOL","NY ","42-Rural: Distant",417
"MONROE CITY R-I HIGH","MO ","43-Rural: Remote",244
"TEMPLE H S","TX ","13-City: Small",1946
"RIPLEY HIGH SCHOOL","MS ","33-Town: Remote",509
"HAVERLING SENIOR HIGH SCHOOL","NY ","32-Town: Distant",469
"WHITE RIVER HIGH SCHOOL","WA ","21-Suburb: Large",1203
"NEWTON SENIOR HIGH SCHOOL","IA ","32-Town: Distant",819
"ASTORIA SENIOR HIGH SCHOOL","OR ","33-Town: Remote",595
"CARTER COUNTY HIGH SCHOOL","MT ","43-Rural: Remote",34
"HOBBS HIGH","NM ","33-Town: Remote",1791
"HIAWATHA SR HIGH","KS ","32-Town: Distant",245
"PITTSFIELD HIGH","MA ","13-City: Small",896
"HUNTINGTON HIGH SCHOOL","NY ","21-Suburb: Large",1397
"SOCIAL CIRCLE HIGH SCHOOL","GA ","31-Town: Fringe",525
"LOMIRA HIGH","WI ","42-Rural: Distant",365
"EAST HAVEN HIGH SCHOOL","CT ","21-Suburb: Large",889
"SARATOGA SPRINGS HIGH SCHOOL","NY ","23-Suburb: Small",2168
"SKYVIEW HIGH SCHOOL","WA ","21-Suburb: Large",2009
"KELSO HIGH SCHOOL","WA ","23-Suburb: Small",1578
"CHIRENO H S","TX ","43-Rural: Remote",105
"EDISON SENIOR HIGH","MN ","11-City: Large",876
"RUSSELL HIGH","KS ","33-Town: Remote",236
"NETTLETON HIGH SCHOOL","MS ","42-Rural: Distant",391
"SALLISAW HS","OK ","32-Town: Distant",630
"LAKER HIGH SCHOOL","MI ","43-Rural: Remote",269
"GRAND RAPIDS SENIOR HIGH","MN ","41-Rural: Fringe",1160
"PLYMOUTH HIGH","WI ","31-Town: Fringe",794
"BROADVIEW HIGH SCHOOL","MT ","42-Rural: Distant",46
"ASHER HS","OK ","43-Rural: Remote",71
"LODI HIGH","WI ","31-Town: Fringe",508
"BLACK HAWK HIGH","WI ","43-Rural: Remote",115
"MORRISON HS","OK ","42-Rural: Distant",150
"OKAY HS","OK ","42-Rural: Distant",125
"CALIFORNIA HIGH","MO ","32-Town: Distant",415
"ALISO NIGUEL HIGH","CA ","21-Suburb: Large",3068
"ANDREWS H S","TX ","32-Town: Distant",1017
"BUFFALO HIGH SCHOOL","WY ","41-Rural: Fringe",322
"RUTLAND SENIOR HIGH SCHOOL","VT ","32-Town: Distant",853
"TAFT UNION HIGH","CA ","32-Town: Distant",980
"GRAHAM HS","OK ","42-Rural: Distant",64
"FRANKLIN HIGH","MA ","21-Suburb: Large",1729
"SWEETWATER H S","TX ","32-Town: Distant",503
"GEORGE WASHINGTON HIGH SCHOOL","IA ","12-City: Mid-size",1366
"GLEN ULLIN HIGH SCHOOL","ND ","43-Rural: Remote",56
"TONASKET HIGH SCHOOL","WA ","43-Rural: Remote",308
"QUARTZ HILL HIGH","CA ","21-Suburb: Large",3063
"WRAY HIGH SCHOOL","CO ","43-Rural: Remote",162
"PONCA CITY HS","OK ","33-Town: Remote",1476
"HILTON HIGH SCHOOL","NY ","21-Suburb: Large",1428
"NORTH DOUGLAS HIGH SCHOOL","OR ","43-Rural: Remote",85
"EAST SAC COUNTY HIGH SCHOOL","IA ","43-Rural: Remote",294
"COLBY SENIOR HIGH","KS ","33-Town: Remote",297
"SCOTTS VALLEY HIGH","CA ","22-Suburb: Mid-size",841
"AUBURN SENIOR HIGH","MA ","21-Suburb: Large",769
"AUBURN HIGH","VA ","41-Rural: Fringe",417
"HICKORY RIDGE HIGH","NC ","22-Suburb: Mid-size",1669
"DEWITT HIGH SCHOOL","AR ","41-Rural: Fringe",393
"MARION L STEELE HIGH SCHOOL","OH ","22-Suburb: Mid-size",1249
"CAMERON HIGH","MO ","32-Town: Distant",548
"BAY SHORE SENIOR HIGH SCHOOL","NY ","21-Suburb: Large",1892
"SAINT HELENA HIGH","CA ","31-Town: Fringe",475
"REEDS SPRING HIGH","MO ","42-Rural: Distant",621
"CONNETQUOT HIGH SCHOOL","NY ","21-Suburb: Large",2044
"RONDOUT VALLEY HIGH SCHOOL","NY ","42-Rural: Distant",618
"PORUM HS","OK ","42-Rural: Distant",140
"BONDUEL HIGH","WI ","42-Rural: Distant",304
"FARMINGTON HIGH","NM ","13-City: Small",1376
"MOUNT PLEASANT HIGH","NC ","41-Rural: Fringe",849
"FOUNTAIN HILLS HIGH SCHOOL","AZ ","21-Suburb: Large",557
"POTTSTOWN SHS","PA ","22-Suburb: Mid-size",819
"MENCHVILLE HIGH","VA ","12-City: Mid-size",1578
"WHEELER HIGH SCHOOL","CT ","41-Rural: Fringe",189
"MARSHALLTOWN HIGH SCHOOL","IA ","32-Town: Distant",1408
"WEST PLAINS SR. HIGH","MO ","41-Rural: Fringe",1091
"MERRILL HIGH","WI ","32-Town: Distant",855
"NORTHWEST CABARRUS HIGH","NC ","22-Suburb: Mid-size",1202
"ELKHORN AREA HIGH","WI ","32-Town: Distant",894
"ALMONT HIGH SCHOOL","MI ","41-Rural: Fringe",500
"BOURNE HIGH SCHOOL","MA ","22-Suburb: Mid-size",450
"EASTERN YORK HS","PA ","41-Rural: Fringe",671
"WASHINGTON HS","OK ","42-Rural: Distant",271
"NORWOOD HIGH","MA ","21-Suburb: Large",967
"WASHBURN RURAL HIGH","KS ","41-Rural: Fringe",1879
"TALIHINA HS","OK ","43-Rural: Remote",202
"LAMPHERE HIGH SCHOOL","MI ","21-Suburb: Large",797
"LAKE REGION UHSD #24","VT ","42-Rural: Distant",359
"NEWBERG SENIOR HIGH SCHOOL","OR ","31-Town: Fringe",1593
"EDGEWOOD H S","TX ","42-Rural: Distant",291
"BLAIR OAKS HIGH","MO ","41-Rural: Fringe",430
"NICOLET HIGH","WI ","21-Suburb: Large",1115
"MILTON SENIOR HIGH SCHOOL","VT ","31-Town: Fringe",492
"HOLLAND PATENT CENTRAL HIGH SCHOOL","NY ","42-Rural: Distant",477
"DICKINSON H S","TX ","22-Suburb: Mid-size",2832
"VINTON-SHELLSBURG HIGH SCHOOL","IA ","41-Rural: Fringe",488
"ATLANTA H S","TX ","32-Town: Distant",545
"SEQUOYAH HS","OK ","42-Rural: Distant",450
"BRAVE CENTER ACADEMY","ND ","23-Suburb: Small",35
"NEW PRAGUE SENIOR HIGH","MN ","32-Town: Distant",1276
"MENOMONIE HIGH","WI ","41-Rural: Fringe",962
"HARDIN-JEFFERSON H S","TX ","42-Rural: Distant",639
"MARLIN H S","TX ","32-Town: Distant",220
"LOOKEBA-SICKLES HS","OK ","43-Rural: Remote",86
"KNOXVILLE HIGH SCHOOL","IA ","32-Town: Distant",531
"VAN HORN HIGH","MO ","21-Suburb: Large",999
"HUDSON'S BAY HIGH SCHOOL","WA ","12-City: Mid-size",1228
"SHELBY HIGH SCHOOL","MT ","33-Town: Remote",123
"WEST SENECA WEST SENIOR HIGH SCHOOL","NY ","21-Suburb: Large",1202
"PEABODY VETERANS MEMORIAL HIGH","MA ","21-Suburb: Large",1627
"RED HOOK SENIOR HIGH SCHOOL","NY ","31-Town: Fringe",647
"HENDERSON H S","TX ","32-Town: Distant",950
"NATHAN HALE HIGH","WI ","13-City: Small",1571
"UNIVERSITY CITY HIGH","CA ","11-City: Large",1813
"SIUSLAW HIGH SCHOOL","OR ","33-Town: Remote",437
"PLEVNA HIGH SCHOOL","MT ","43-Rural: Remote",16
"NORTH EUGENE HIGH SCHOOL","OR ","12-City: Mid-size",911
"LITTLETON HIGH SCHOOL","MA ","21-Suburb: Large",448
"WEST SPRINGFIELD HIGH","MA ","21-Suburb: Large",1222
