callback,level,group,end,timeStart,totalStop,index,topicEnd
,1,0-intro,,28,49,0,49
,1,6-getting older,,49,62,1,410
,2,10-jealousy,,62,85,2,230
,3,16-metabolism,,85,96,3,96
,3,19-inner thigh clearance,,96,111,4,111
,3,23-sleep,,114,148,5,230
,4,32-hpv,,154,174,6,230
,5,39-men and hpv,,176,190,7,190
,5,43-doctor and hpv,,197,230,8,230
,2,50-self-help,,233,273,9,396
,3,59-hoarding,,274,283,10,396
,4,62-blaming mom,,286,312,11,396
,5,70-San Fransisco,,317,350,12,396
,6,80-calculator,,350,379,13,379
,5,70-San Fransisco,,383,396,14,396
,1,6-getting older,,398,410,15,410
,1,96-marriage,,415,442,16,2255
,2,104-lucky,,442,445,17,471
,3,105-skaters,,445,471,18,471
,2,111-met husband,,472,516,19,621
,3,124-trap men,,516,548,20,621
,4,129-homeless,,551,554,21,621
,5,130-hipsters,,554,569,22,569
,4,129-homeless,,574,621,23,621
,2,150-Asian husband,,627,632,24,1083
,3,152-white guys,,632,676,25,711
,4,166-hooking up,,676,711,26,711
,3,176-racist,,721,745,27,788
,4,182-korean,,745,767,28,767
,4,187-cuban,,773,788,29,788
,3,191-sexiest,,794,802,30,865
,4,194-hair,,802,826,31,846
,5,199-jewish,,826,846,32,846
,4,204-odor,,851,865,33,865
,3,207-racial bond,,871,909,34,909
,3,219-growing up,,910,923,35,1083
,4,223-Vietnamese,,923,950,36,985
,5,230-restaurant,,950,985,37,985
,4,239-hippies,,990,1012,38,1041
,5,248-gluten,,1012,1041,39,1041
,4,255-white people,,1045,1083,40,1083
,2,265-engagement,,1088,1113,41,1225
,3,271-proposing,,1114,1168,42,1197
,4,287-pinterest,,1169,1197,43,1197
,3,293-dress,,1203,1225,44,1225
,2,300-not working,,1229,1237,45,1744
,3,302-dependent,,1237,1292,46,1292
,3,316-feminism,,1292,1295,47,1691
,4,317-lean in,,1295,1333,48,1333
,4,326-play dumb,,1334,1378,49,1378
,3,316-feminism,,1381,1391,50,1691
,4,344-options,,1395,1418,51,1418
,3,316-feminism,,1421,1425,52,1691
,4,352-housewives,,1433,1459,53,1691
,5,361-office,,1461,1493,54,1691
,6,371-toilet cover,,1493,1513,55,1513
,6,377-toilet paper,,1513,1552,56,1552
,6,389-rushed wipe,,1559,1588,57,1588
,6,401-muffle,,1596,1643,58,1643
,6,414-cowokers,,1650,1691,59,1691
,3,427-father-in-law,,1694,1744,60,1744
,2,446-diet,,1744,1766,61,1766
,1,96-marriage,,1766,1777,62,2255
,2,457-pervert,,1777,1785,63,2191
,3,461-porn,,1785,1805,64,1805
,3,468-anal,,1810,1817,65,1942
,4,470-craigslist,,1818,1843,66,1843
,4,477-scared,,1844,1875,67,1892
,5,489-brag,,1878,1892,68,1892
,4,494-sex experimentation,,1894,1942,69,1942
,3,508-prostate,,1944,1973,70,2040
,4,520-prostate resistance,,1973,2002,71,2002
,4,529-power turn-on,,2008,2040,72,2040
,3,538-rough sex,,2047,2074,73,2191
,4,546-strong women,,2074,2096,74,2191
,5,554-control,,2103,2151,75,2151
,5,570-bossy,,2157,2191,76,2191
,2,580-housewife,,2197,2210,77,2255
,3,584-whole foods,,2210,2239,78,2239
,3,594-sidewalk,,2240,2255,79,2255
,1,599-paintball,,2258,2268,80,2268
,1,601-pregnancy,,2277,2285,81,3437
,2,604-female comics,,2286,2309,82,2309
,2,610-male comics,,2309,2335,83,2347
,3,619-mom,,2335,2346,84,2346
,2,610-male comics, 2,2346,2347,85,2347
,2,624-discouraged,,2352,2365,86,2638
,3,628-stay at home,,2365,2386,87,2386
,3,634-why pregnant,,2388,2411,88,2638
,4,643-asian women,,2412,2440,89,2568
,5,649-bad drivers,,2440,2521,90,2521
,4,643-asian women,,2524,2528,91,2568
,5,667-mom,,2529,2568,92,2568
,4,677-support,,2571,2582,93,2638
,5,681-recycle,,2582,2638,94,2638
,1,601-pregnancy,,2645,2654,95,3437
,2,696-pregnant body,,2654,2658,96,2840
,3,697-wet,,2658,2711,97,2711
,3,711-plan b,,2719,2740,98,2740
,3,718-pills,,2743,2774,99,2840
,4,728-itchy,,2774,2790,100,2840
,5,733-smell fingers,,2790,2840,101,2840
,2,747-making babies,,2846,2860,102,3014
,3,752-clinical sex,,2860,2864,103,3014
,4,753-ovulation,,2864,2882,104,2882
,4,758-sperm,,2882,2900,105,2900
,3,752-clinical sex,,2902,2904,106,3014
,4,764-tired,,2904,2918,107,3014
,5,769-closing eyes,,2918,2955,108,2955
,5,782-orgasm,,2956,2975,109,2990
0:16:35,6,787-hippies,,2983,2990,110,2990
,5,789-conception,,2990,3014,111,3014
,2,795-miscarriage,,3025,3057,112,3149
0:4:46,3,805-mom,,3057,3071,113,3071
,3,809-doctor,,3071,3109,114,3109
,3,818-husband watches,,3111,3126,115,3149
,4,824-relationship leverage,,3126,3149,116,3149
,2,831-childbirth,,3152,3155,117,3230
,3,832-doula,,3155,3174,118,3174
,3,838-poop,,3177,3230,119,3230
,2,853-marriage toll,,3235,3239,120,3350
,3,854-chores,,3239,3265,121,3265
,3,861-double standard,,3268,3315,122,3315
,3,873-berate,,3320,3350,123,3350
,2,881-body,,3353,3357,124,3437
,3,883-nipples,,3358,3382,125,3382
,3,890-exercise,,3384,3407,126,3407
0:44:24,3,896-wet,,3408,3437,127,3437
,1,904-conclusion,,3442,3465,128,3465
,2,912-debt,,3465,3532,129,3532
,1,904-conclusion, 1,3532,3535,130,3535
