date,model,tone,l
1/1/2018,Lupita Nyongo,#402C2C,0.212745098
10/1/2015,Lupita Nyongo,#58342B,0.257422969
3/1/2009,Michelle Obama,#844930,0.354117647
4/1/2015,Serena Williams,#875038,0.375
7/1/2014,Lupita Nyongo,#85524F,0.416666667
10/1/2016,Lupita Nyongo,#8F5347,0.420588235
3/1/2017,Imaan Hammam,#AB542D,0.425490196
2/1/2018,Serena Williams,#935E47,0.430514706
4/1/2009,Beyonce,#91684C,0.433893557
12/1/2002,Halle Berry,#906051,0.44248366
6/1/2012,Serena Williams,#9C5A46,0.443697479
12/1/2016,Michelle Obama,#A37249,0.465277778
5/1/2009,Liya Kebede,#AC7842,0.468736383
12/1/2008,Jennifer Aniston,#95745A,0.470437406
4/1/2016,Rihanna,#9C6A59,0.483333333
3/1/2017,Adwoa Aboah,#BA673E,0.486862745
3/1/2007,Jennifer Hudson,#A67955,0.493382353
6/1/2018,Rihanna,#B47648,0.495938375
8/1/2008,Kate Moss,#A17F5F,0.502614379
9/1/2014,Imaan Hammam,#B1694F,0.503594771
9/1/2018,Beyonce,#B97647,0.504738562
11/1/2008,Reese Witherspoon,#9F8365,0.51124183
2/1/2008,Kate Bosworth,#A67D61,0.515686275
2/1/2009,Blake Lively,#A9835E,0.516470588
4/1/2013,Michelle Obama,#BD6C4A,0.517156863
6/1/2009,Cameron Diaz,#A38764,0.517647059
6/1/2002,Ashley Judd,#AD705B,0.518552036
7/1/2018,Gisele Bundchen,#B87D52,0.52379085
9/1/2014,Joan Smalls,#B77156,0.527818627
8/1/2011,Sarah Jessica Parker,#AF815F,0.529411765
8/1/2016,Gigi Hadid,#BC7353,0.533115468
10/1/2002,Christy Turlington,#A57F6A,0.533936652
5/1/2005,Liya Kebede,#B17E62,0.540056022
8/1/2003,Sarah Jessica Parker,#B08466,0.547058824
1/1/2003,Sandra Bullock,#B08067,0.548627451
3/1/2017,Kendall Jenner,#C87450,0.55
12/1/2007,Penelope Cruz,#AE866B,0.551693405
4/1/2003,Brooke Shields,#B18A67,0.552249135
1/1/2017,Ruth Negga,#B88162,0.553594771
11/1/2009,Penelope Cruz,#B59165,0.554117647
3/1/2017,Ashley Graham,#D0724A,0.554656863
11/1/2009,Kate Hudson,#B49268,0.558039216
1/1/2001,Marion Jones,#C77955,0.558371041
3/1/2017,Liu Wen,#C87955,0.560980392
11/1/2009,Marion Cotillard,#B1946D,0.562745098
3/1/2004,Angelina Jolie,#B87B67,0.565418895
10/1/2000,Charlize Theron,#BD7B63,0.567201426
7/1/2010,Marion Cotillard,#BF7C62,0.567647059
1/1/2004,Jennifer Aniston,#C28361,0.57224736
4/1/2004,Gwen Stefani,#B5826E,0.573333333
10/1/2006,Sandra Bullock,#BB8B6D,0.580784314
3/1/2000,Amber Valletta,#BF9368,0.580926916
6/1/2005,Salma Hayek,#BB8A6F,0.58583878
11/1/2009,Nicole Kidman,#B99A71,0.585947712
8/1/2017,Gigi Hadid,#CC865F,0.586631016
3/1/2002,Gwyneth Paltrow,#C58A66,0.587254902
4/1/2007,Scarlett Johansson,#AD9280,0.591503268
3/1/2017,Gigi Hadid,#D3815A,0.592941176
5/1/2007,Lily Donaldson,#BD8F70,0.593333333
2/1/2003,Debra Messing,#C09070,0.597385621
7/1/2017,Zendaya,#C6876A,0.598039216
10/1/2001,Carolyn Murphy,#BF8873,0.601960784
5/1/2001,Carmen Kass,#CB8B67,0.602058824
6/1/2006,Uma Thurman,#CF9B64,0.602111614
5/1/2003,Cameron Diaz,#AE9284,0.602696078
6/1/2011,Penelope Cruz,#C58C6F,0.604656863
3/1/2010,Tina Fey,#D09466,0.609150327
5/1/2007,Caroline Trentini,#C29774,0.609607843
12/1/2010,Angelina Jolie,#B39684,0.610784314
6/1/2007,Keira Knightley,#C89770,0.613507625
3/1/2013,Beyonce,#CA8870,0.61752451
10/1/2003,Gwyneth Paltrow,#CB956F,0.617647059
2/1/2007,Renee Zellweger,#BC9E7F,0.618954248
2/1/2002,Sarah Jessica Parker,#C59876,0.62120098
3/1/2017,Vittoria Ceretti,#DB8861,0.621746881
4/1/2012,Jennifer Lopez,#C39C7A,0.622689076
4/1/2017,Selena Gomez,#CE966F,0.623227753
10/1/2014,Reese Witherspoon,#DD8162,0.62627451
9/1/2015,Beyonce,#BB9085,0.628571429
6/1/2008,Sarah Jessica Parker,#BBA186,0.630882353
5/1/2007,Hilary Rhoda,#C3967E,0.630952381
6/1/2003,Reese Witherspoon,#B49B8D,0.631045752
5/1/2009,Natalia Vodianova,#D3A46E,0.631808279
8/1/2018,Saoirse Ronan,#CAA378,0.634238311
8/1/2002,Jennifer Aniston,#CD9476,0.634436275
8/1/2009,Christy Turlington,#B89C8B,0.634992459
1/1/2008,Kate Hudson,#CB9978,0.635650624
