bbrID,Date,Tm,Opp,TRB,AST,STL,BLK,PTS,GmSc,Year,Playoffs,GameIndex,GmScMovingZ,GmScMovingZTop2Delta,Date2,GmSc2,GmScMovingZ2
abdifa01w,2014-08-16,LAS,PHO,2,1,1,0,15,9.4,2014,false,33,3.45,1.23,2013-05-26,6.4,2.22
abrahta01w,1997-07-15,SAC,LAS,6,3,0,0,9,9.9,1997,false,9,3.1,0.84,1997-07-21,7.5,2.26
abrossv01w,2010-08-07,SEA,TUL,3,8,3,0,20,19.0,2010,false,245,3.44,0.43,2007-08-16,23.6,3.01
achonna01w,2018-06-12,IND,LVA,15,2,1,1,26,27.0,2018,false,101,2.92,0.34,2015-09-13,14.2,2.58
adairje01w,2011-10-05,MIN,ATL,2,0,0,3,13,13.6,2011,true,38,2.98,0.65,2011-09-11,11.2,2.33
adamsda01w,2013-09-15,SAS,ATL,8,1,2,0,39,33.6,2013,false,95,4.21,1.3,2011-06-11,27.0,2.91
ajavoma01w,2015-07-21,ATL,CHI,1,4,3,0,21,19.8,2015,false,251,3.75,0.4,2015-08-28,17.9,3.35
alaribe01w,2021-07-11,DAL,LVA,6,0,0,1,11,11.3,2021,false,41,2.55,0.59,2020-08-04,8.2,1.96
aldrima01w,2000-08-14,WAS,NYL,4,5,0,0,12,10.5,2000,true,61,3.09,0.07,2000-06-19,9.7,3.02
alexaka01w,2017-08-01,SAS,NYL,6,2,3,3,19,18.4,2017,false,145,3.15,0.26,2020-08-13,9.2,2.89
allemju01w,2020-09-08,IND,LVA,6,8,0,0,19,17.4,2020,false,19,2.29,0.12,2020-08-09,16.8,2.17
allenli01w,2018-06-08,LVA,ATL,0,7,4,0,9,13.1,2018,false,35,3.21,0.55,2020-08-18,12.2,2.66
allenre01w,2016-07-20,NYL,WAS,1,2,1,1,19,16.2,2016,false,13,3.66,0.64,2019-08-13,22.1,3.02
anderch01w,2006-07-18,SAS,HOU,6,2,3,1,17,18.1,2006,false,118,3.66,1.02,2004-07-12,9.5,2.64
anderke01w,2000-07-26,WAS,CHA,3,11,0,1,6,11.8,2000,false,22,3.08,0.17,2000-07-21,11.4,2.91
andrame01w,2002-06-25,CLE,MIA,4,4,1,0,11,12.1,2002,false,114,2.9,0.45,2000-06-19,14.9,2.45
anigwkr01w,2020-09-08,LAS,NYL,6,1,0,1,14,13.1,2020,false,41,3.43,1.16,2020-08-30,9.3,2.27
anosini01w,2010-08-03,MIN,CON,12,2,7,4,15,23.3,2010,false,88,2.83,0.48,2011-06-09,19.5,2.35
appelja01w,2013-08-11,SAS,SEA,16,3,0,6,11,20.8,2013,false,116,3.52,0.5,2010-07-24,13.1,3.02
arcaija01w,2005-07-26,HOU,WAS,3,4,1,0,23,21.0,2005,false,268,3.02,0.12,2000-05-31,18.3,2.9
askamma01w,2002-08-09,LAS,UTA,5,0,2,0,12,11.7,2002,false,175,3.8,0.6,2000-07-10,23.5,3.2
atkinar01w,2018-07-13,WAS,CHI,7,3,1,1,25,25.1,2018,false,18,2.67,0.47,2018-08-12,21.9,2.2
atkinla01w,2006-06-02,IND,MIN,3,4,1,1,15,14.8,2006,false,5,3.55,0.73,2006-08-08,11.4,2.82
atunrmo01w,2008-07-15,SAS,PHO,2,2,2,0,8,10.0,2008,false,22,3.06,0.22,2008-06-11,9.4,2.84
augusse01w,2011-10-05,MIN,ATL,8,3,0,0,36,31.9,2011,true,170,3.14,0.05,2017-09-12,22.6,3.09
