,site,country_of_pub,polarity_base,polarity_women,difference,site_clean,popularity
33,dailysun.co.za,South Africa,0,0.5106,0.5106,dailysun.co.za,1
93,msn.com,USA,0.186156476,0.375640564,0.189484088,msn,1
116,pcadvisor.co.uk,UK,0.181892,0.3612,0.179308,pcadvisor.co.uk,
95,mybroadband.co.za,South Africa,0.18925681,0.366214286,0.176957476,mybroadband.co.za,
2,autoexpress.co.uk,UK,0.105514054,0.279166667,0.173652613,autoexpress.co.uk,
104,news.sky.com,UK,0.271508683,0.428149321,0.156640637,news.sky,
77,ksl.com,USA,0.313635754,0.465765008,0.152129253,ksl,1
115,outlookindia.com,India,0.217594301,0.350099432,0.132505131,outlookindia,1
9,businessinsider.co.za,South Africa,0.2289783,0.355294915,0.126316615,businessinsider.co.za,
117,pcmag.com,USA,0.102921948,0.228774074,0.125852126,pcmag,
182,zululandobserver.co.za,South Africa,0.2472488,0.371664444,0.124415644,zululandobserver.co.za,
157,thesouthafrican.com,South Africa,0.247606387,0.369024224,0.121417836,thesouthafrican,
5,birminghammail.co.uk,UK,0.334063059,0.455194458,0.1211314,birminghammail.co.uk,
105,news.yahoo.com,USA,0.291531517,0.411550565,0.120019048,news.yahoo,
144,techradar.com,UK,0.164341672,0.279383333,0.115041661,techradar,
135,sfgate.com,USA,0.231293167,0.346014853,0.114721687,sfgate,
176,walesonline.co.uk,UK,0.290132109,0.403370956,0.113238847,walesonline.co.uk,
20,chroniclelive.co.uk,UK,0.307497549,0.420041254,0.112543706,chroniclelive.co.uk,
85,manchestereveningnews.co.uk,UK,0.364288225,0.47458796,0.110299735,manchestereveningnews.co.uk,
69,ibtimes.co.uk,UK,0.308187584,0.415513631,0.107326047,ibtimes.co.uk,
19,chron.com,USA,0.269930625,0.377102407,0.107171782,chron,
42,enca.com,South Africa,0.220131335,0.326768817,0.106637482,enca,
45,espn.go.com,USA,0.157207441,0.262181026,0.104973584,espn.go,1
143,swarajyamag.com,India,0.258699838,0.361533663,0.102833825,swarajyamag,1
48,ewn.co.za,South Africa,0.259543323,0.362289947,0.102746624,ewn.co.za,
18,chicagotribune.com,USA,0.253421333,0.355585479,0.102164145,chicagotribune,
63,heraldlive.co.za,South Africa,0.2522991,0.353001709,0.100702609,heraldlive.co.za,
61,greaterkashmir.com,India,0.23878435,0.335652817,0.096868467,greaterkashmir,
82,liverpoolecho.co.uk,UK,0.338696217,0.434424198,0.095727981,liverpoolecho.co.uk,
166,timesnownews.com,India,0.311210993,0.405890427,0.094679433,timesnownews,1
