,site,bias,polarity,country_of_pub,monthly_visits,polarity_base,polarity_delta
0,dailymail.co.uk,0.9999999999999999,0.6788427498790407,UK,603727000,0.5413659640763744,0.2539442723134908
1,mirror.co.uk,0.7825753949258017,0.7825614690960795,UK,55700000,0.5135296516623935,0.5238876013542327
2,telegraph.co.uk,0.6660603159406414,0.5403686350879591,UK,241169000,0.5335537369792578,0.012772655566586757
3,abcnews.go.com,0.6586883676400191,0.593267493347743,USA,159709000,0.5375409144564229,0.1036694647656214
4,nydailynews.com,0.6484442316898037,0.8703034186353246,USA,150664000,0.5231166207898723,0.6636890973206369
5,eonline.com,0.6263283867879368,0.5523086234911784,USA,69221000,0.5397929518573115,0.023186059749026315
6,indiatimes.com,0.62498803255146,0.4772598599174145,India,81500000,0.3580415965124322,0.3329732203359859
7,express.co.uk,0.6174246050741982,0.6615362171644384,UK,61300000,0.6798774949873199,-0.026977327471655016
8,people.com,0.6050741981809478,0.6267879165860718,USA,138510000,0.634553129169956,-0.012237293028625792
9,washingtonpost.com,0.5773097175682145,0.4849222805121175,USA,384776000,0.4902178507304194,-0.010802483447739736
10,usmagazine.com,0.5734801340354236,0.4179581659982735,USA,55327000,0.6129031976358317,-0.3180682241331502
11,metro.co.uk,0.5660124461464815,0.5624012728254933,UK,30300000,0.568020716167029,-0.009893025345017898
12,independent.co.uk,0.5494494973671613,0.6136333248460245,UK,93900000,0.43517443079008206,0.4100858906897194
13,dnaindia.com,0.5403542364767832,0.5341826710628521,India,7181000,0.5392598087845912,-0.009415012279854883
14,dailyrecord.co.uk,0.5342269028243178,0.8867436265072194,UK,10200000,0.6670652504244183,0.3293206713181826
15,nypost.com,0.5336524652943992,0.6709145151410042,USA,102795000,0.53068148871361,0.26425083484129785
16,standard.co.uk,0.5145045476304452,0.6785352003989004,UK,25200000,0.5991423426507472,0.13251084441286598
17,manchestereveningnews.co.uk,0.494590713259933,0.9064039739926203,UK,16100000,0.6625335343062937,0.3680876922579796
18,businessinsider.com,0.4935375777884155,0.47680733057175506,USA,170101000,0.22042344048009954,1.1631425838070184
19,forbes.com,0.4861656294877932,0.38719209861558024,USA,338896000,0.40500386336304434,-0.043979246517699716
20,ndtv.com,0.48578267113451407,0.5675169080417378,India,87830000,0.37508536402188103,0.5130339983317267
21,foxnews.com,0.48271900430828146,0.6739621851286804,USA,844128000,0.4880924830756546,0.38080836828666326
22,yahoo.com,0.4815701292484442,0.5599084530946663,USA,85920000,0.7538440251103642,-0.25726219954758595
23,economictimes.indiatimes.com,0.47563427477261844,0.44965814365749024,India,0,0.4384909649496636,0.02546729488282287
24,india.com,0.47084729535662995,0.6521676166369056,India,38690000,0.414862160028504,0.5720103674726492
25,cbsnews.com,0.4620392532312111,0.6853735036700689,USA,142237000,0.48805165680432033,0.40430524948481605
26,nytimes.com,0.46146481570129244,0.29497284107675437,USA,598855000,0.31224315154631593,-0.055310453997258646
27,usatoday.com,0.4593585447582575,0.5265196561165413,USA,492425000,0.5840318191662532,-0.09847436588611669
28,nbcnews.com,0.4592628051699377,0.575841735564979,USA,264083000,0.5392526041484731,0.06785156183767219
29,npr.org,0.4259454284346577,0.3977089689938049,USA,146079000,0.32674705876188564,0.21717689059179018
30,indianexpress.com,0.41675442795595974,0.48805089505934096,India,28160000,0.5374346343014038,-0.09188789871396247
31,cnn.com,0.4072762087123025,0.46293383413879063,UK,932248000,0.42928755692598225,0.07837701482367837
32,theguardian.com,0.40277644806127333,0.5049473448733618,UK,145814000,0.4953907794630316,0.01929096343030206
33,firstpost.com,0.3906175203446625,0.5720848591031441,India,5144000,0.5376171517497224,0.06411199352781727
34,thesun.co.uk,0.38506462422211585,0.7448420402839077,UK,46200000,0.7129179562237573,0.04477946414654566
35,chicagotribune.com,0.3735758736237434,0.624120656815264,USA,57529000,0.4297085135220106,0.45242795331141406
36,thetimes.co.uk,0.3581617999042604,0.49238931588102286,UK,19200000,0.45660101860455365,0.07837980166107385
37,deccanchronicle.com,0.3580660603159406,0.4358368253719713,India,2287000,0.40558739179946485,0.07458178973044298
38,chron.com,0.35385351842987073,0.6640739208936126,USA,76238000,0.4861008257046669,0.3661238281810165
39,latimes.com,0.35308760172331255,0.5434217559966038,USA,128166000,0.413298612723557,0.31484050337251496
40,iol.co.za,0.3524174246050742,0.6204523530677637,South Africa,0,0.3838870278125153,0.6162368304114286
41,hindustantimes.com,0.34676878889420776,0.5213787719401496,India,38590000,0.4100686754647646,0.2714425732451475
42,walesonline.co.uk,0.3444710387745332,0.7251024977072914,UK,7500000,0.32420142066691354,1.2365802599374356
43,timesofindia.com,0.3422690282431785,0.5788308405442857,India,52180000,0.5122520295241622,0.1299727618101767
44,thehindu.com,0.33815222594542843,0.3363817148154322,India,16650000,0.2971600197712682,0.13198846558952973
45,news18.com,0.3324078506462422,0.5330864301020033,India,57220000,0.5797738792206071,-0.08052699645828466
46,scroll.in,0.3320248922929631,0.5562290725991649,India,3549000,0.5608521032297731,-0.008242869383899261
47,hollywoodreporter.com,0.3278123504068932,0.3202457424687085,USA,64324000,0.2992877889714051,0.07002608950178646
48,thenewsminute.com,0.32494016275730014,0.6808626268640475,India,3448000,0.5938445335587583,0.14653345848586335
49,news.yahoo.com,0.3224509334609861,0.7246833552971274,USA,158166000,0.553463381307447,0.3093609799174198
50,popsugar.com,0.319578745811393,0.5542824985339971,USA,210727000,,
51,newindianexpress.com,0.3163235998085208,0.4988059347934716,India,3489000,0.3412499912671076,0.4617024104274329
52,Timeslive.co.za,0.3161321206318813,0.6600155582543745,South Africa,19000000,0.5661282984134082,0.16584095884994313
53,News24.com,0.3027285782671134,0.7391319221833823,South Africa,102000000,0.4342426311855075,0.7021173627414458
54,freepressjournal.in,0.2882719004308281,0.6036931074614154,India,1872000,0.42136314335217323,0.43271455272216736
55,liverpoolecho.co.uk,0.284155098133078,0.8190211280426801,UK,11300000,0.46769135513528987,0.7512000575801974
56,rediff.com,0.2786022020105313,0.5787204644034482,India,25630000,0.3691535469515221,0.5676957980833022
57,time.com,0.2696984202967927,0.4100864371539529,USA,63184000,0.47752568343614893,-0.14122642743929711
58,buzzfeed.com,0.2683580660603159,0.5371354079727948,USA,640121000,0.6411958507597342,-0.16229119802263411
59,thedailybeast.com,0.2649114408808042,0.6059593856020501,USA,87993000,0.6024298918221187,0.0058587627005958
60,huffingtonpost.co.uk,0.2544758257539492,0.6167446774240349,UK,23500000,0.5131093812221856,0.20197505638076288
61,refinery29.com,0.24442316898037336,0.3755038297865704,USA,100701000,0.4923384152944383,-0.2373054425135526
62,cosmopolitan.com,0.24327429392053612,0.5144605120180312,USA,2062000,0.4398790581750353,0.1695499079961172
63,news.sky.com,0.23829583532790807,0.809137773695571,UK,32400000,0.5217573461089726,0.550793256155855
64,msn.com,0.23772139779798945,0.6521074583521124,USA,2298251000,0.38516168333587447,0.693074588064493
65,Sowetanlive.co.za,0.23590234561991383,0.6543793618415289,South Africa,10000000,0.6457227166979886,0.013406133808962863
66,digitalspy.com,0.2311153662039253,0.42493394443454746,UK,18300000,0.43700921145476007,-0.027631607535262816
67,vice.com,0.22699856390617518,0.5267509372796234,USA,58977000,0.43205482335105544,0.21917615267918208
68,dailystar.co.uk,0.22661560555289612,0.7703552574639229,UK,17200000,0.7693374616626032,0.0013229510481916774
69,indiatoday.in,0.22498803255146002,0.5838091495206588,India,27860000,0.3508585743029407,0.6639443704077252
70,ibtimes.co.uk,0.22374341790330302,0.7514480960683683,UK,104792000,0.5356791046340221,0.4027952361176385
71,outlookindia.com,0.22230732407850645,0.615694896912278,India,2385000,0.38298644829778455,0.607615359887499
72,timesnownews.com,0.22173288654858783,0.7011408992342295,India,19320000,0.4621605961421576,0.5170936360367753
73,deccanherald.com,0.20593585447582574,0.47808563222128553,India,3892000,0.3733346374452448,0.2805820416044414
74,birminghammail.co.uk,0.19176639540449975,0.8845545804489766,UK,8100000,0.49872652598559414,0.7736264954042714
75,thequint.com,0.18745811393011008,0.48774725226744564,India,2832000,0.3472394454264098,0.4046424122941804
76,thehill.com,0.18659645763523217,0.4457772322418928,USA,53654000,0.31048379349853644,0.43575040493697814
77,sfgate.com,0.1842029679272379,0.612300362661708,USA,147920000,0.38939857444266684,0.572425794157241
78,theladbible.com,0.18314983245572042,0.4673093878402145,UK,10200000,0.445664380977665,0.04856795334432227
79,chroniclelive.co.uk,0.18037338439444708,0.7906824238279005,UK,8600000,0.5705735588981187,0.38576772704794127
80,wsj.com,0.1797032072762087,0.29952823038999477,USA,112374000,0.24694173248270013,0.21295103658098238
81,reuters.com,0.1675442795595979,0.5850737496236834,USA,91884000,0.4194818485455412,0.3947534360599745
82,slate.com,0.16668262326471994,0.3812430162945434,USA,98795000,0.44140884257739116,-0.1363040802072266
83,ew.com,0.16610818573480132,0.35555410082759886,USA,52263000,0.3383489244569889,0.05085039474625878
84,unilad.co.uk,0.16495931067496408,0.5094869647446092,UK,6800000,0.33865872381005585,0.5044259277087635
85,complex.com,0.16112972714217327,0.5219741480611026,USA,109824000,0.41834199927342347,0.24772112044133157
