,country,year,women_polarity_mean,all_polarity_mean,women_polarity_median,all_polarity_median
0,India,2010,0.27752437137330754,0.20862232220609578,0.25,0.0
1,South Africa,2010,0.265853125,0.245969488372093,0.128,0.128
2,UK,2010,0.3244627213420317,0.23980268886043532,0.3182,0.0772
3,USA,2010,0.2829998716302952,0.22079069313951427,0.25,0.0258
4,India,2011,0.2705144303797468,0.22286486420950533,0.1779,0.0
5,South Africa,2011,0.2787790794979079,0.2458554575011612,0.2263,0.128
6,UK,2011,0.31254348171701113,0.2481000117096019,0.30615000000000003,0.128
7,USA,2011,0.27335180095773476,0.22738567436387705,0.2263,0.0772
8,India,2012,0.305973573309921,0.2302509152830992,0.3164,0.0258
9,South Africa,2012,0.3351101408450704,0.2428810854728632,0.3818,0.128
10,UK,2012,0.33336462365591396,0.26275712983593275,0.3182,0.2023
11,USA,2012,0.28200181265206814,0.23981571906354515,0.25,0.128
12,India,2013,0.3092825918762089,0.22769875649591684,0.3182,0.0688
13,South Africa,2013,0.31529950248756217,0.2424127204703367,0.3182,0.1027
14,UK,2013,0.34209909138563693,0.2693483326189456,0.3412,0.2023
15,USA,2013,0.29020651359873867,0.23938510890812623,0.2732,0.128
16,India,2014,0.29865542607428985,0.234097579469233,0.296,0.0772
17,UK,2014,0.3589494507104145,0.27575515899304404,0.3612,0.2263
18,USA,2014,0.30311720742041376,0.24430389837932545,0.296,0.1531
19,India,2015,0.2977541904917497,0.2404440650961648,0.2924,0.1027
20,South Africa,2015,0.3152441379310345,0.0,0.3182,0.0
21,UK,2015,0.3633655558414822,0.27350266482885366,0.3818,0.2263
22,USA,2015,0.30793703680402645,0.25631710414902625,0.296,0.2263
23,India,2016,0.3069297580470944,0.24675897413338024,0.296,0.1531
24,South Africa,2016,0.31182831683168316,0.0,0.296,0.0
25,UK,2016,0.3692285963293346,0.27519921375022854,0.3818,0.2263
26,USA,2016,0.31371072430915375,0.13757982832618026,0.3182,0.0
27,India,2017,0.3136963762720278,0.2555774261262716,0.3182,0.1779
28,UK,2017,0.37286959685914006,0.2784800810567397,0.3818,0.2263
29,USA,2017,0.3194129045246364,0.19037692307692305,0.3182,0.0
30,India,2018,0.32870196150186637,0.2690828628887452,0.34,0.2144
31,UK,2018,0.372802722192176,0.27166721713327313,0.3818,0.224
32,USA,2018,0.32034544235924933,0.22704246575342468,0.3182,0.1027
33,India,2019,0.32493606037631817,0.27206668573880705,0.3182,0.2411
34,South Africa,2019,0.37361060859854833,0.2703872242303378,0.4019,0.2263
35,UK,2019,0.37342130392082795,0.2922646196613596,0.3875,0.2732
36,USA,2019,0.3262898395490026,0.27019920625302957,0.3182,0.2263
37,India,2020,0.3182308383233533,0.27156515820980615,0.3612,0.22715000000000002
38,South Africa,2020,0.743,0.2396471295387635,0.743,0.128
39,UK,2020,0.4342652941176471,0.2795785740948115,0.4939,0.25
40,USA,2020,0.279496,0.2661661867286711,0.1779,0.2263
