,headline_no_site,site,time,country,bias,year
252454,‘Cashed up’ Mother Teresa kept Vatican Bank afloat – journalist,rt.com,2017-11-09 08:00:00+00:00,USA,0.16666666666666666,2017
349953,Half dressed woman videobombs Spanish journalist's broadcast [VIDEO],timesnownews.com,2020-04-29 07:00:00+00:00,India,0.16666666666666666,2020
285795,Over 50 Women Journalists Support Reporter Behind Tamil Nadu Sand Mafia Exposé,thewire.in,2017-03-23 07:00:00+00:00,India,0.16666666666666666,2017
56832,Ramani's acquittal in defamation case vindication of women journalists: IWPC,economictimes.indiatimes.com,2021-02-18 08:00:00+00:00,India,0.16666666666666666,2021
212021,Journalist Told She Was ‘Too Ugly’ For Selfies Refuses To Be Bullied By Trolls,unilad.co.uk,2019-09-10 07:00:00+00:00,UK,0.16666666666666666,2019
242964,What Not to Wear Seeking Frumpy Female Journalists,gawker.com,2010-09-22 07:00:00+00:00,USA,0.16666666666666666,2010
196942,Women journalists in Kerala: Sabarimala just brought the misogyny to the surface,thenewsminute.com,2019-02-09 08:00:00+00:00,India,0.16666666666666666,2019
381074,Watch: Indian American Journalist Zakaria’s Tribute to His Mother,thequint.com,2021-04-12 07:00:00+00:00,India,0.16666666666666666,2021
187962,Kenyan journalists win first pan African award for reportage on female genital mutilation,theguardian.com,2016-02-10 08:00:00+00:00,India,0.16666666666666666,2016
381035,SC Allows Journalist Siddique Kappan to Video Call His Sick Mother,thequint.com,2021-01-22 08:00:00+00:00,India,0.16666666666666666,2021
105832,Women cricketers excited ahead of historic IPL exhibition match,indiatimes.com,2018-05-21 07:00:00+00:00,India,0.16666666666666666,2018
340244,The gender pay gap: Why are Smriti Mandhana and India’s women cricketers afraid of asking for more?,scroll.in,2020-01-23 08:00:00+00:00,India,0.16666666666666666,2020
363840,When Smriti Mandana Called Equal Pay For Women Cricketers ‘Unfair’ & Was Lauded For Clarity,mensxp.com,2021-05-20 07:00:00+00:00,India,0.16666666666666666,2021
371116,South Africa's women cricketers flee Bangladesh before COVID shutdown,Ewn.co.za,2021-04-12 07:00:00+00:00,South Africa,0.16666666666666666,2021
374665,Aahana Kumra Gets Called Out For Offensive Brownface Makeup In Her Tribute To Cricketer Jhulan Goswami,mashable.com,2021-03-22 07:00:00+00:00,UK,0.16666666666666666,2021
82375,"After MS Dhoni, Sachin Tendulkar now a biopic on woman cricketer Jhulan Goswami to be made",freepressjournal.in,2017-09-19 07:00:00+00:00,India,0.3333333333333333,2017
185363,Ben Stokes and his mother to sue The Sun over a story about the cricketer's tragic family past,telegraph.co.uk,2019-10-10 07:00:00+00:00,UK,0.16666666666666666,2019
98920,"Pakistan Cricketer Hasan Ali Clears Air on Twitter About His Wedding With Indian Girl, Says it is Not Yet Con",india.com,2019-07-31 07:00:00+00:00,India,0.0,2019
247310,"In Male Dominated Cricket, Indian PM Narendra Modi Shows How Women Cricketers Should Be Treated",mensxp.com,2017-07-28 07:00:00+00:00,India,0.16666666666666666,2017
102509,"Cricketer Amit Mishra booked for assaulting female friend, has a week to appear before cops",indianexpress.com,2015-10-21 07:00:00+00:00,India,0.16666666666666666,2015
193260,She fulfills her dream,thehindu.com,2018-05-01 07:00:00+00:00,India,0.3333333333333333,2018
308393,Glasgow woman wins dream job as paid theme park tester in Florida,dailyrecord.co.uk,2020-03-04 08:00:00+00:00,UK,0.16666666666666666,2020
371456,Reality TV star Faith Nketsi builds her mom her dream house!,dispatchlive.co.za,2020-12-08 08:00:00+00:00,South Africa,0.3333333333333333,2020
71736,Dream Girl movie review: Ayushmann Khurrana & some excellent co stars are funny despite bumpy writing,firstpost.com,2019-09-13 07:00:00+00:00,India,0.16666666666666666,2019
200716,Nushrat’s Reaction to Ayushmann’s ‘Dream Girl’ Avatar,thequint.com,2019-09-06 07:00:00+00:00,India,0.0,2019
103933,Dreams in her Feet,indianexpress.com,2014-04-20 07:00:00+00:00,India,0.16666666666666666,2014
