theme,abuse,accuse,act,actress,admit,age,allege,allegedly,american,arrest,artist,assault,attack,award,baby,bad,ban,battle,beat,beautiful,beauty,birth,black,body,boss,boy,boyfriend,breast,brother,burn,business,campaign,cancer,care,career,celebrate,change,child,claim,cop,court,cut,dad,dance,date,daughter,dead,death,debut,deny,die,director,doctor,donald,dream,dress,driver,drug,explain,facebook,fall,family,fashion,father,fear,feel,fight,fire,first,force,gang,gender,girlfriend,great,hair,harassment,head,heart,help,history,hit,hollywood,hope,horror,husband,inspire,instagram,interview,jail,jenner,jennifer,job,judge,kardashian,kate,kid,kill,killer,kim,launch,law,lead,leader,learn,little,london,lose,love,male,man,marriage,marry,meghan,michelle,model,mom,money,movie,mum,murder,music,muslim,obama,officer,online,parent,party,pic,police,power,pregnant,president,prince,prison,protest,queen,rape,record,release,rescue,reveal,rise,saudi,save,secret,sentence,sex,sexual,sexually,shoot,single,song,south,sport,stab,stand,star,steal,student,study,style,sue,suffer,suicide,support,surgery,taylor,teacher,teen,teenage,texas,time,transgender,twitter,victim,violence,walk,war,wear,wedding,west,white,wife,win,wonder,work,write,york,young
No theme,,,1073.0,,1215.0,1501.0,,,,,,,,,,1399.0,1204.0,,,,,,,,,2556.0,2404.0,,1572.0,,,,2180.0,,,1529.0,2221.0,,3330.0,,,1146.0,1364.0,947.0,2024.0,,,,980.0,991.0,,,,,,,1459.0,,1148.0,,,,1312.0,2310.0,,,,,,,,,,,,,1689.0,1411.0,4139.0,1435.0,,,988.0,,3989.0,,,1094.0,,,,,,,,,,,,,,,,961.0,2539.0,,3010.0,,1590.0,15007.0,,,,,1165.0,,998.0,1741.0,,,1332.0,,,,1082.0,,1497.0,1046.0,,,,1239.0,909.0,,,,,1142.0,1116.0,1110.0,5618.0,,,2312.0,1413.0,,,,,,,1049.0,,951.0,,982.0,,,1750.0,1911.0,941.0,1540.0,,,,921.0,,,2507.0,1057.0,,5022.0,,,,,1286.0,,2311.0,,,,,,2269.0,,1296.0,,3527.0
crime and violence,2074.0,3762.0,,,,,1109.0,1780.0,,4257.0,,2299.0,3690.0,,,,,1247.0,1761.0,,,,,,,,,,,1107.0,,,,,,,,,,2382.0,2277.0,,,,,,3473.0,5919.0,,,6755.0,,,,,,,1316.0,,,2141.0,,,,,,2819.0,2091.0,,1950.0,1005.0,,,,,1158.0,,,,,2412.0,,,903.0,,,,,2622.0,,,,935.0,,,,7776.0,1225.0,,,1912.0,,,,,,,,,,,,,,,,,,,4549.0,,,,,,,,,5903.0,,,,,1272.0,,,5653.0,,,,,,,,,1043.0,,,,2622.0,,,,,1437.0,,,1291.0,,,,,952.0,1462.0,,,,,,,,,,,,1094.0,,1097.0,,,,,,,,,,,
empowerment,,,,,,,,,,,935.0,,,1601.0,,,,,,,,,,,962.0,,,,,,1096.0,989.0,,,1149.0,,,,,,,,,,,,,,,,,1122.0,1697.0,,1035.0,,,,,,,,,,,,,,10654.0,,,,,1243.0,,,,,,,,,,,,999.0,,,,,,1754.0,,,,,,,,1219.0,,2255.0,1116.0,,,,,,,,,,,,,,,,,,,,,1506.0,,1503.0,,,,1442.0,,,,,959.0,1792.0,,,,,,1272.0,,,,,,,,,,,,,,,5201.0,,,,,,,,,,,930.0,,,,,,,,,,,,,,,,3064.0,,3526.0,,,
female stereotypes,,,,1333.0,,,,,,,,,,,6595.0,,,,,926.0,1014.0,2194.0,,2819.0,,,,904.0,,,,,,911.0,,,,4847.0,,,,,,,,5270.0,,,,,,,,,,1985.0,,,,,,4057.0,,,970.0,1591.0,,,,,,,926.0,,1618.0,,,,,,,,,,,,,,,,,,,,,1807.0,,,,,,,,,,,,4223.0,,,1291.0,1766.0,,,,3614.0,,,1700.0,,,,,,,,,,,,3370.0,,,,,,,,,,,,,,,,4464.0,2198.0,1157.0,,1201.0,,,,,,,,,,,,,,1186.0,,,,,,,,,,1717.0,,,,,1855.0,,,2592.0,,,,,,
people and places,,,,,,,,,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934.0,,,,,,1209.0,,,,,,,,,,,,,,,,,,,,,,1222.0,,,,,997.0,,,962.0,1144.0,,,1557.0,1147.0,,,,1491.0,,,,,,,1283.0,,,,,,,928.0,1095.0,,,,,,,,,1224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1388.0,,,,,,,,,,,,,,1340.0,,,,1280.0,,,1180.0,,,,,,,1057.0,,,,,,,1283.0,
"race, ethnicity and identity",,,,,,,,,,,,,,,,,,,,,,,3384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949.0,,,,,,,,,,,,,,,,,,,,,1162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340.0,,,,,,,,,1794.0,,,,,,,
