"cleanMethod","usage","count","percent"
"CONDOM","Yes",19052,92
"DEPOPROV","Yes",5652,27
"IUD","Yes",798,4
"MORNPILL","Yes",3345,16
"PATCH","Yes",2499,12
"PILL","Yes",16410,79
"RHYTHM","Yes",3338,16
"RING","Yes",1775,9
"SDAYCBDS","Yes",165,1
"STRLOPER","Yes",3034,15
"TEMPSAFE","Yes",709,3
"VASECTMY","Yes",2141,10
"WIDRAWAL","Yes",12539,60
