"m1","m2","uniqueR"
"3","4",2138
"3","7",559
"4","7",506
"4","6",472
"4","8",416
"19","4",229
"26","4",156
"10","4",148
"10","7",143
"20","4",113
"25","4",111
"3","5",106
"20","3",102
"5","6",95
"4","5",94
