"stopMethod","reason","total","percent","type"
"Depo-Provera",6,2622,73.6,"general"
"The Pill",6,5459,60.6,"general"
"IUD",6,415,59.8,"general"
"Condom",12,1558,41.5,"general"
"Condom",5,1558,37.3,"general"
"Depo-Provera",14,2622,26.4,"general"
"IUD",15,415,21.2,"general"
"Condom",6,1558,19.1,"general"
"IUD",14,415,16.4,"general"
"The Pill",14,5459,13.3,"general"
"Condom",15,1558,12.9,"general"
"The Pill",3,5459,12.4,"general"
"Condom",8,1558,12.3,"general"
"The Pill",9,5459,11.4,"general"
"The Pill",15,5459,11.2,"general"
"Depo-Provera",15,2622,7.4,"general"
"IUD",5,415,7,"general"
"IUD",9,415,6.5,"general"
"Depo-Provera",7,2622,5.9,"general"
"Depo-Provera",9,2622,5,"general"
"Depo-Provera",1,1317,57.4,"specific"
"IUD",7,329,34.3,"specific"
"Condom",1,524,33.6,"specific"
"IUD",2,329,28.9,"specific"
"Condom",3,524,28.2,"specific"
"The Pill",3,3668,23,"specific"
"Depo-Provera",2,1317,22.2,"specific"
"The Pill",1,3668,21.8,"specific"
"IUD",12,329,20.1,"specific"
"The Pill",5,3668,19.5,"specific"
"The Pill",8,3668,18,"specific"
"IUD",11,329,15.2,"specific"
"Condom",2,524,12.6,"specific"
"The Pill",6,3668,12.4,"specific"
"Depo-Provera",4,1317,12.1,"specific"
"Condom",9,524,9.9,"specific"
"IUD",6,329,9.7,"specific"
"Depo-Provera",5,1317,8.1,"specific"
"Depo-Provera",15,1317,7,"specific"
"Condom",5,524,5.2,"specific"
