"method","methodR","total","percent","calcAge"
6,117,689,16.9811320754717,33
6,87,724,12.0165745856354,34
6,104,735,14.1496598639456,35
6,83,708,11.7231638418079,36
6,82,667,12.2938530734633,37
6,67,630,10.6349206349206,38
6,74,672,11.0119047619048,39
6,63,621,10.1449275362319,40
6,47,606,7.75577557755776,41
6,46,604,7.6158940397351,42
6,51,684,7.45614035087719,43
6,57,606,9.40594059405941,44
7,4,182,2.1978021978022,15
7,3,305,0.983606557377049,16
7,8,484,1.65289256198347,17
7,5,622,0.803858520900322,18
7,4,704,0.568181818181818,19
7,5,646,0.773993808049536,20
7,5,714,0.700280112044818,21
7,5,735,0.680272108843537,22
7,3,762,0.393700787401575,23
7,8,795,1.0062893081761,24
7,11,840,1.30952380952381,25
7,4,878,0.455580865603645,26
7,4,895,0.446927374301676,27
7,5,826,0.605326876513317,28
7,6,874,0.68649885583524,29
7,7,865,0.809248554913295,30
7,4,862,0.464037122969838,31
7,4,815,0.49079754601227,32
7,4,689,0.58055152394775,33
7,1,724,0.138121546961326,34
7,3,735,0.408163265306122,35
7,1,708,0.141242937853107,36
7,3,667,0.449775112443778,37
7,2,672,0.297619047619048,39
7,1,621,0.161030595813205,40
7,1,606,0.165016501650165,41
7,1,604,0.165562913907285,42
7,1,684,0.146198830409357,43
8,2,305,0.655737704918033,16
8,2,484,0.413223140495868,17
8,13,622,2.09003215434084,18
8,10,704,1.42045454545455,19
8,10,646,1.54798761609907,20
8,10,714,1.40056022408964,21
8,20,735,2.72108843537415,22
8,21,762,2.75590551181102,23
8,22,795,2.76729559748428,24
8,22,840,2.61904761904762,25
8,28,878,3.18906605922551,26
8,23,895,2.56983240223464,27
8,14,826,1.69491525423729,28
8,14,874,1.60183066361556,29
8,14,865,1.61849710982659,30
8,15,862,1.74013921113689,31
8,9,815,1.10429447852761,32
8,8,689,1.1611030478955,33
8,11,724,1.51933701657459,34
8,9,735,1.22448979591837,35
8,6,708,0.847457627118644,36
8,8,667,1.19940029985008,37
8,4,630,0.634920634920635,38
8,2,672,0.297619047619048,39
8,3,621,0.483091787439614,40
8,3,606,0.495049504950495,41
8,3,604,0.496688741721854,42
8,1,684,0.146198830409357,43
8,4,606,0.66006600660066,44
9,2,484,0.413223140495868,17
9,5,622,0.803858520900322,18
9,4,704,0.568181818181818,19
9,2,646,0.309597523219814,20
9,3,714,0.420168067226891,21
9,3,735,0.408163265306122,22
9,3,762,0.393700787401575,23
9,5,795,0.628930817610063,24
9,2,840,0.238095238095238,25
9,1,878,0.113895216400911,26
9,2,895,0.223463687150838,27
9,2,874,0.22883295194508,29
9,1,862,0.116009280742459,31
9,2,724,0.276243093922652,34
9,1,735,0.136054421768707,35
9,1,708,0.141242937853107,36
10,4,484,0.826446280991736,17
10,11,622,1.76848874598071,18
10,18,704,2.55681818181818,19
10,29,646,4.48916408668731,20
10,51,714,7.14285714285714,21
10,38,735,5.17006802721088,22
10,55,762,7.21784776902887,23
10,59,795,7.42138364779874,24
10,59,840,7.02380952380952,25
10,89,878,10.1366742596811,26
10,61,895,6.81564245810056,27
10,63,826,7.6271186440678,28
10,62,874,7.09382151029748,29
10,73,865,8.4393063583815,30
10,75,862,8.70069605568446,31
10,82,815,10.0613496932515,32
10,51,689,7.40203193033382,33
10,56,724,7.73480662983425,34
10,60,735,8.16326530612245,35
10,50,708,7.06214689265537,36
10,34,667,5.09745127436282,37
10,28,630,4.44444444444444,38
10,32,672,4.76190476190476,39
10,27,621,4.34782608695652,40
10,37,606,6.10561056105611,41
10,21,604,3.47682119205298,42
10,26,684,3.80116959064327,43
10,18,606,2.97029702970297,44
11,1,762,0.131233595800525,23
11,1,840,0.119047619047619,25
11,1,874,0.11441647597254,29
11,1,865,0.115606936416185,30
11,1,862,0.116009280742459,31
11,1,815,0.122699386503067,32
11,1,708,0.141242937853107,36
11,3,672,0.446428571428571,39
11,2,621,0.322061191626409,40
11,1,606,0.165016501650165,44
12,24,182,13.1868131868132,15
12,54,305,17.7049180327869,16
12,100,484,20.6611570247934,17
12,156,622,25.08038585209,18
12,167,704,23.7215909090909,19
12,163,646,25.2321981424149,20
12,183,714,25.6302521008403,21
12,170,735,23.1292517006803,22
12,191,762,25.0656167979003,23
12,195,795,24.5283018867925,24
12,188,840,22.3809523809524,25
12,178,878,20.2733485193622,26
12,164,895,18.3240223463687,27
12,155,826,18.7651331719128,28
12,159,874,18.1922196796339,29
12,126,865,14.5664739884393,30
12,143,862,16.5893271461717,31
12,120,815,14.7239263803681,32
12,92,689,13.3526850507983,33
12,94,724,12.9834254143646,34
12,102,735,13.8775510204082,35
12,102,708,14.4067796610169,36
12,79,667,11.8440779610195,37
12,80,630,12.6984126984127,38
12,82,672,12.202380952381,39
12,64,621,10.3059581320451,40
12,54,606,8.91089108910891,41
12,51,604,8.44370860927152,42
12,62,684,9.06432748538012,43
12,52,606,8.58085808580858,44
19,1,622,0.160771704180064,18
19,1,714,0.140056022408964,21
19,1,762,0.131233595800525,23
19,2,795,0.251572327044025,24
19,1,878,0.113895216400911,26
19,1,895,0.111731843575419,27
19,4,826,0.484261501210654,28
19,3,874,0.34324942791762,29
19,3,865,0.346820809248555,30
19,5,862,0.580046403712297,31
19,4,815,0.49079754601227,32
19,3,689,0.435413642960813,33
19,3,724,0.414364640883978,34
19,2,735,0.272108843537415,35
19,4,708,0.564971751412429,36
19,2,667,0.299850074962519,37
19,2,630,0.317460317460317,38
19,4,672,0.595238095238095,39
19,1,606,0.165016501650165,41
19,3,604,0.496688741721854,42
19,3,606,0.495049504950495,44
20,1,182,0.549450549450549,15
20,4,484,0.826446280991736,17
20,8,622,1.28617363344051,18
20,7,704,0.994318181818182,19
20,5,646,0.773993808049536,20
20,12,714,1.68067226890756,21
20,7,735,0.952380952380952,22
20,6,762,0.78740157480315,23
20,8,795,1.0062893081761,24
20,15,840,1.78571428571429,25
20,14,878,1.59453302961276,26
20,15,895,1.67597765363128,27
20,10,826,1.21065375302663,28
20,19,874,2.17391304347826,29
20,12,865,1.38728323699422,30
20,14,862,1.62412993039443,31
20,10,815,1.22699386503067,32
20,11,689,1.59651669085631,33
20,11,724,1.51933701657459,34
20,17,735,2.31292517006803,35
20,14,708,1.9774011299435,36
20,14,667,2.09895052473763,37
20,9,630,1.42857142857143,38
20,12,672,1.78571428571429,39
20,10,621,1.61030595813204,40
20,12,606,1.98019801980198,41
20,16,604,2.64900662251656,42
20,13,684,1.90058479532164,43
20,7,606,1.15511551155116,44
21,7,182,3.84615384615385,15
21,29,305,9.50819672131147,16
21,45,484,9.29752066115702,17
21,53,622,8.52090032154341,18
21,84,704,11.9318181818182,19
21,65,646,10.061919504644,20
21,72,714,10.0840336134454,21
21,80,735,10.8843537414966,22
21,89,762,11.6797900262467,23
21,79,795,9.93710691823899,24
21,89,840,10.5952380952381,25
21,92,878,10.4783599088838,26
21,93,895,10.391061452514,27
21,68,826,8.23244552058111,28
21,84,874,9.61098398169336,29
21,67,865,7.74566473988439,30
21,56,862,6.49651972157773,31
21,61,815,7.48466257668712,32
21,47,689,6.82148040638607,33
21,52,724,7.18232044198895,34
21,50,735,6.80272108843537,35
21,48,708,6.77966101694915,36
21,44,667,6.59670164917541,37
21,43,630,6.82539682539683,38
21,45,672,6.69642857142857,39
21,27,621,4.34782608695652,40
21,22,606,3.63036303630363,41
21,29,604,4.80132450331126,42
21,34,684,4.97076023391813,43
21,17,606,2.80528052805281,44
