"method","methodR","total","percent","calcAge"
1,2,704,0.284090909090909,19
1,4,714,0.560224089635854,21
1,13,735,1.7687074829932,22
1,28,762,3.6745406824147,23
1,23,795,2.89308176100629,24
1,45,840,5.35714285714286,25
1,61,878,6.94760820045558,26
1,106,895,11.8435754189944,27
1,99,826,11.9854721549637,28
1,132,874,15.1029748283753,29
1,141,865,16.3005780346821,30
1,152,862,17.6334106728538,31
1,163,815,20,32
1,149,689,21.6255442670537,33
1,178,724,24.585635359116,34
1,178,735,24.2176870748299,35
1,175,708,24.7175141242938,36
1,200,667,29.9850074962519,37
1,177,630,28.0952380952381,38
1,199,672,29.6130952380952,39
1,201,621,32.3671497584541,40
1,211,606,34.8184818481848,41
1,233,604,38.5761589403974,42
1,251,684,36.6959064327485,43
1,237,606,39.1089108910891,44
2,1,622,0.160771704180064,18
2,1,646,0.154798761609907,20
2,1,714,0.140056022408964,21
2,3,735,0.408163265306122,22
2,7,762,0.918635170603675,23
2,6,795,0.754716981132076,24
2,4,840,0.476190476190476,25
2,15,878,1.70842824601367,26
2,15,895,1.67597765363128,27
2,15,826,1.81598062953995,28
2,20,874,2.2883295194508,29
2,26,865,3.00578034682081,30
2,32,862,3.7122969837587,31
2,34,815,4.17177914110429,32
2,38,689,5.51523947750363,33
2,47,724,6.49171270718232,34
2,58,735,7.89115646258503,35
2,72,708,10.1694915254237,36
2,59,667,8.8455772113943,37
2,61,630,9.68253968253968,38
2,75,672,11.1607142857143,39
2,82,621,13.2045088566828,40
2,70,606,11.5511551155116,41
2,67,604,11.0927152317881,42
2,100,684,14.6198830409357,43
2,74,606,12.2112211221122,44
3,3,182,1.64835164835165,15
3,5,305,1.63934426229508,16
3,9,484,1.8595041322314,17
3,10,622,1.60771704180064,18
3,10,704,1.42045454545455,19
3,21,646,3.25077399380805,20
3,19,714,2.66106442577031,21
3,17,735,2.31292517006803,22
3,15,762,1.96850393700787,23
3,18,795,2.26415094339623,24
3,12,840,1.42857142857143,25
3,16,878,1.82232346241458,26
3,11,895,1.22905027932961,27
3,18,826,2.17917675544794,28
3,6,874,0.68649885583524,29
3,5,865,0.578034682080925,30
3,4,862,0.464037122969838,31
3,2,815,0.245398773006135,32
3,5,689,0.725689404934688,33
3,5,735,0.680272108843537,35
3,2,708,0.282485875706215,36
3,2,667,0.299850074962519,37
3,1,630,0.158730158730159,38
3,2,672,0.297619047619048,39
3,1,621,0.161030595813205,40
3,2,684,0.292397660818713,43
3,1,606,0.165016501650165,44
5,20,182,10.989010989011,15
5,41,305,13.4426229508197,16
5,41,484,8.47107438016529,17
5,49,622,7.87781350482315,18
5,50,704,7.10227272727273,19
5,32,646,4.95356037151703,20
5,43,714,6.02240896358543,21
5,38,735,5.17006802721088,22
5,43,762,5.64304461942257,23
5,34,795,4.27672955974843,24
5,37,840,4.40476190476191,25
5,38,878,4.32801822323462,26
5,31,895,3.46368715083799,27
5,33,826,3.99515738498789,28
5,31,874,3.54691075514874,29
5,36,865,4.16184971098266,30
5,31,862,3.59628770301624,31
5,17,815,2.08588957055215,32
5,19,689,2.75761973875181,33
5,18,724,2.48618784530387,34
5,11,735,1.49659863945578,35
5,17,708,2.40112994350282,36
5,8,667,1.19940029985008,37
5,9,630,1.42857142857143,38
5,9,672,1.33928571428571,39
5,5,621,0.805152979066022,40
5,8,606,1.32013201320132,41
5,9,604,1.49006622516556,42
5,9,684,1.31578947368421,43
5,5,606,0.825082508250825,44
6,52,182,28.5714285714286,15
6,84,305,27.5409836065574,16
6,156,484,32.2314049586777,17
6,184,622,29.5819935691318,18
6,213,704,30.2556818181818,19
6,175,646,27.0897832817337,20
6,189,714,26.4705882352941,21
6,188,735,25.578231292517,22
6,205,762,26.9028871391076,23
6,201,795,25.2830188679245,24
6,172,840,20.4761904761905,25
6,175,878,19.9316628701595,26
6,193,895,21.5642458100559,27
6,145,826,17.5544794188862,28
6,159,874,18.1922196796339,29
6,137,865,15.8381502890173,30
6,121,862,14.0371229698376,31
6,117,815,14.3558282208589,32
