"Title","Author","AuthorMore","Remove","Pages","WorldCatLink","GoodreadsLink","GoodreadsRating","GoodreadsReviews","PubYear","BibNum","Subjects","Parent"
"Blood Brothers","Nelson, Colleen",,TRUE,,,,,,2017,3261813,"gangs juvenile fiction, friendship juvenile fiction, gangs fiction, friendship fiction, young adult fiction","child"
"Show Mode","Rivera, Raquel",,TRUE,,,,,,2017,3236332,"fashion shows fiction, competition psychology fiction",""
"The Bodies of the Ancients","Millet, Lydia",,TRUE,,,,,,2017,3229156,"families massachusetts juvenile fiction, shapeshifting juvenile fiction, cape cod mass juvenile fiction, supernatural fiction, family life massachusetts fiction, shapeshifting fiction, cape cod mass fiction, paranormal fiction","child, states"
"Texan’s Baby","Han, Barb",,TRUE,,,,,,2016,3176850,"single mothers fiction, bodyguards fiction, secrecy fiction, stalkers fiction, man woman relationships fiction, romantic suspense fiction","romance"
"Across the Floor","Deen, Natasha",,TRUE,,,,,,2016,3171375,"football players juvenile fiction, dancers juvenile fiction","child"
"Dust Up with the Detective","Winters, Danica",,TRUE,,,,,,2016,3227070,"man woman relationships fiction, large type books, murder investigation fiction, police fiction, montana fiction, romantic suspense fiction","romance, states"
"Shotgun","Joyner, C. Courtney",,TRUE,,,,,,2016,3226003,"outlaws fiction, brothers fiction, united states history civil war 1861 1865 veterans fiction, large type books, western fiction","frontier"
"Billy Buckhorn Supranormal","Robinson, Gary",,TRUE,,,,,,2015,3140297,"cherokee indians juvenile fiction, indians of north america oklahoma juvenile fiction, animals mythical juvenile fiction, supernatural fiction","child, states"
"Celestial Invasion","McFarlane, Glendon",,TRUE,,,,,,2014,3068523,"maroons jamaica fiction, human alien encounters fiction, jamaica fiction, fantasy fiction, science fiction","countries"
"The Shadow of Things to Come","Efoui, Kossi","(translator) Turner, Chris",TRUE,,,,,,2013,3204072,"soldiers conduct of life fiction, war moral and ethical aspects fiction, war and society fiction, africa politics and government fiction",""
"The Shipwreck","Riel, Jørn","(illustrator) Cann, Helen",TRUE,,,,,,2011,3282232,"vikings greenland juvenile fiction, inuit greenland juvenile fiction, eskimos greenland juvenile fiction, greenland history to 1500 juvenile fiction, vikings greenland fiction, inuit greenland fiction, eskimos greenland fiction, greenland history to 1500 fiction, readers elementary","child, countries"
"Give Me Fever","Bryant, Niobia",,TRUE,,,,,,2010,3275555,"african americans fiction, man woman relationships fiction, romance fiction","romance"
"Stella in Heaven","Buchwald, Art",,,165,"https://www.worldcat.org/title/stella-in-heaven/oclc/45066085","https://www.goodreads.com/book/show/151601.Stella_in_Heaven",3.1,117,2000,3284047,"spouses death psychological aspects fiction, widowers fiction, psychological fiction, spouses, death",""
"Visitors from Oz","Gardner, Martin",,,189,"https://www.worldcat.org/title/visitors-from-oz-the-wild-adventures-of-dorothy-the-scarecrow-and-the-tin-woodman/oclc/52053657","https://www.goodreads.com/book/show/902453.Visitors_from_Oz",3.34,47,1998,3282198,"oz imaginary place fiction, new york n y fiction, kidnapping fiction, magic, gangs","states"
"The World Full of Women","Metzger, Wendell",,TRUE,,,,,,1996,1720851,,""
"A Burden of Earth and Other Stories","Boswroth, Beth",,,165,"https://www.worldcat.org/title/burden-of-earth-and-other-stories/oclc/32132198","https://www.goodreads.com/book/show/592339.A_Burden_of_Earth_and_Other_Stories",5,1,1995,1612847,"short stories","short"
"The Journey That Time","Metzger, Wendell",,TRUE,,,,,,1995,1714302,,""
"Stripping","Pagan, Kennedy",,,160,"https://www.worldcat.org/title/stripping/oclc/810455789","https://www.goodreads.com/book/show/379841.Stripping_and_Other_Stories",3.57,136,1994,1330936,"young women united states social life and customs fiction, women",""
"A Disturbance in One Place","Kirshenbaum, Binnie",,,,"https://www.worldcat.org/title/disturbance-in-one-place/oclc/877889686","https://www.goodreads.com/book/show/1062909.A_Disturbance_in_One_Place",3.36,101,1994,1338713,"humorous fiction, women, adultery, promiscuity",""
"He & She","Metzger, Wendell",,TRUE,,,,,,1994,1392577,,""
"The Quest for Shar-I-Sabs","Bier, Phillip",,,270,"https://www.worldcat.org/title/quest-for-shar-i-sabs/oclc/29594083","https://www.goodreads.com/book/show/301986.The_Quest_for_Shar_I_Sabs",0,0,1993,1318532,"mennonites, russia","countries"
"Doctor Criminale","Bradbury, Malcolm",,,,"https://www.worldcat.org/title/doctor-criminale/oclc/968119751","https://www.goodreads.com/book/show/1043093.Doctor_Criminale",3.58,167,1992,1274010,"black humor, doctors & medicine humor, satire, british & irish humor",""
"The Lost Years","Brancati, Vitaliano","(translator) Creagh, Patrick",,207,"https://www.worldcat.org/title/lost-years/oclc/31901215","https://www.goodreads.com/book/show/2419401.The_Lost_Years",3.52,27,1992,1720593,"biography & autobiography, women",""
"Sea of Lentils","Benítez-Rojo, Antonio","(illustrator) Lea, Sydney | (translator) Maraniss, James",,201,"https://www.worldcat.org/title/sea-of-lentils/oclc/1103750422","https://www.goodreads.com/book/show/3167180-sea-of-lentils",3.54,26,1990,573307,"government",""
"Superspill","Becker, Mary Kay | Coburn, Patricia",,,161,"https://www.worldcat.org/title/superspill-an-account-of-the-1978-grounding-at-bird-rocks/oclc/21487193",,,,1989,1301800,"oil spills washington state puget sound fiction, oil spills","pnw"
"Shaihu Umar","Balewa, Abubakar Tafawa","(translator) Hiskett, Mervin",,79,"https://www.worldcat.org/title/shaihu-umar-a-novel/oclc/652536493","https://www.goodreads.com/book/show/777225.Shaihu_Umar",3.38,34,1989,537153,,""
"Baron Bagge | Count Luna","Lernet-Holenia, Alexandra",,,252,"https://www.worldcat.org/title/count-luna-baron-bagge/oclc/220586776","https://www.goodreads.com/book/show/1175031.Baron_Bagge_Count_Luna",4.15,26,1988,521198,"lernet holenia alexander 1897 1976 translations into english",""
"Megda","Kelley, Emma Dunham",,,394,"https://www.worldcat.org/title/megda/oclc/876229472","https://www.goodreads.com/book/show/1252809.Megda",3,3,1988,491018,"black women writers",""
"The Magic We Do Here","Rudner, Lawrence",,,212,"https://www.worldcat.org/title/magic-we-do-here/oclc/582054605","https://www.goodreads.com/book/show/4810859-the-magic-we-do-here",4,3,1988,488196,"miracles",""
"The Land","Torres, Antônio",,,136,"https://www.worldcat.org/title/land/oclc/14588735","https://www.goodreads.com/book/show/13074119-the-land",3.29,51,1987,424541,"portuguese, brazilian","countries"
"False Colors","Borgenicht, Miriam",,,183,"https://www.worldcat.org/title/false-colors/oclc/1034665615","https://www.goodreads.com/book/show/4188430-false-colors",3,1,1985,473024,"mystery",""
"Return to Región","Benet, Juan","(translator) Rabassa, Gregory",TRUE,315,"https://www.worldcat.org/title/volveras-a-region/oclc/895875225","https://www.goodreads.com/book/show/69429.Volver_s_a_Regi_n",3.59,131,1985,386875,"european literary history & criticism, european literature, spanish & portuese literature","countries"
