GEOID10,Tax_Mjoint,Mjoint_MF,Mjoint_SS,Mjoint_FF,Mjoint_MM,TaxRate_SS,TaxRate_FF,TaxRate_MM,Cns_TotHH,Cns_UPSS,Cns_UPFF,Cns_UPMM,Cns_RateSS,Cns_RateFF,Cns_RateMM,ParadeFlag,CountBars,FF_Tax,FF_Cns,FF_Index,MM_Tax,MM_Cns,MM_Index,SS_Index,SS_Index_Weight,Parade_Weight,Bars_Weight,TOTINDEX
90069,2120,1689,431,61,370,203.3018868,28.77358491,174.5283019,12551,968,87,881,77.12532866,6.931718588,70.19361007,1,15,4.877316186,1.84709913,6.724415316,29.58372113,18.70453257,48.28825369,55.01266901,39.42999484,10,17.64705882,67.07705367
94114,5080,4036,1044,170,874,205.511811,33.46456693,172.0472441,16456,1456,257,1199,88.47836655,15.61740399,72.86096257,0,17,5.672469192,4.161578827,9.834048019,29.16316514,19.41530355,48.5784687,58.41251671,41.86681494,0,20,61.86681494
10011,5790,5166,624,97,527,107.7720207,16.75302245,91.01899827,29762,1392,171,1221,46.77105033,5.745581614,41.02546872,1,5,2.839749994,1.531028512,4.370778506,15.42833244,10.93208078,26.36041322,30.73119173,22.02639416,10,5.882352941,37.9087471
10014,3510,3229,281,74,207,80.05698006,21.08262108,58.97435897,18786,594,175,419,31.61929096,9.315447674,22.30384329,1,10,3.573646084,2.482292821,6.055938905,9.996550533,5.943318241,15.93986877,21.99580768,15.76536094,10,11.76470588,37.53006683
94103,2660,2417,243,34,209,91.35338346,12.78195489,78.57142857,12728,277,40,237,21.76304211,3.142677561,18.62036455,1,9,2.166627331,0.837431138,3.004058469,13.31838565,4.961779495,18.28016514,21.28422361,15.25533741,10,10.58823529,35.8435727
70116,570,528,42,8,34,73.68421053,14.03508772,59.64912281,6235,188,21,167,30.15236568,3.3680834,26.78428228,1,9,2.379041775,0.897495165,3.27653694,10.11092754,7.137223454,17.248151,20.52468794,14.71094484,10,10.58823529,35.29918014
20009,4350,3898,452,60,392,103.908046,13.79310345,90.11494253,26682,927,176,751,34.74252305,6.596207181,28.14631587,1,5,2.338023813,1.757695208,4.095719021,15.27508891,7.500165346,22.77525426,26.87097328,19.25960614,10,5.882352941,35.14195908
98122,3940,3552,388,131,257,98.47715736,33.24873096,65.2284264,16673,520,110,410,31.1881485,6.597492953,24.59065555,0,12,5.635883543,1.758037828,7.393921371,11.05665703,6.55268645,17.60934348,25.00326485,17.92093752,0,14.11764706,32.03858458
30309,2900,2765,135,16,119,46.55172414,5.517241379,41.03448276,12896,466,30,436,36.13523573,2.32630273,33.808933,1,8,0.935209525,0.619891257,1.555100782,6.955620844,9.009086265,15.96470711,17.51980789,12.55721541,10,9.411764706,31.96898011
90046,4680,4204,476,71,405,101.7094017,15.17094017,86.53846154,29069,1002,155,847,34.46971,5.332140769,29.13756923,1,2,2.571576405,1.420858687,3.992435092,14.66885133,7.764305213,22.43315654,26.42559163,18.94038156,10,2.352941176,31.29332274
20005,990,874,116,7,109,117.1717172,7.070707071,110.1010101,8351,153,9,144,18.32115914,1.077715244,17.2434439,1,3,1.198532409,0.287179415,1.485711824,18.6628618,4.594870639,23.25773244,24.74344426,17.7347127,10,3.529411765,31.26412446
19107,1180,1115,65,17,48,55.08474576,14.40677966,40.6779661,6631,98,10,88,14.77906801,1.508068165,13.27099985,1,9,2.442046059,0.401855811,2.84390187,6.895188872,3.536331136,10.43152001,13.27542188,9.515077629,10,10.58823529,30.10331292
60657,8610,8347,263,35,228,30.54587689,4.06504065,26.48083624,36754,798,140,658,21.71192251,3.809109213,17.9028133,1,9,0.689051733,1.015015573,1.704067306,4.488679864,4.770573191,9.259253055,10.96332036,7.857892975,10,10.58823529,28.44612827
10001,2540,2350,190,21,169,74.80314961,8.267716535,66.53543307,11639,356,10,346,30.58682017,0.859180342,29.72763983,1,2,1.401433565,0.228946291,1.630379856,11.27820345,7.921541673,19.19974512,20.83012498,14.92986498,10,2.352941176,27.28280616
33139,3570,3358,212,27,185,59.3837535,7.56302521,51.82072829,20149,423,17,406,20.9935977,0.843714328,20.14988337,1,5,1.281983645,0.224825053,1.506808699,8.783962014,5.369351274,14.15331329,15.66012199,11.22429688,10,5.882352941,27.10664982
20036,470,442,28,6,22,59.57446809,12.76595745,46.80851064,3828,164,23,141,42.84221526,6.008359457,36.8338558,1,1,2.163915657,1.601051079,3.764966736,7.934357408,9.815139222,17.74949663,21.51446337,15.42036034,10,1.176470588,26.59683093
10036,3270,3010,260,21,239,79.51070336,6.422018349,73.08868502,15455,527,33,494,34.09899709,2.135231317,31.96376577,0,8,1.088575307,0.568976345,1.657551652,12.38902374,8.517403467,20.90642721,22.56397886,16.17259417,0,9.411764706,25.58435887
94105,1520,1436,84,12,72,55.26315789,7.894736842,47.36842105,3778,161,0,161,42.61514029,0,42.61514029,1,0,1.338210998,0,1.338210998,8.029265989,11.3556815,19.38494749,20.72315849,14.8531974,10,0,24.8531974
60613,5970,5713,257,39,218,43.04857621,6.532663317,36.5159129,26168,510,79,431,19.48945277,3.018954448,16.47049832,1,5,1.107330374,0.804462568,1.911792941,6.189692859,4.388903375,10.57859623,12.49038918,8.95241023,10,5.882352941,24.83476317
30308,1340,1253,87,16,71,64.92537313,11.94029851,52.98507463,10019,222,0,222,22.15789999,0,22.15789999,1,2,2.023960913,0,2.023960913,8.981326551,5.904428644,14.8857552,16.90971611,12.11993584,10,2.352941176,24.47287702
80203,1290,1222,68,17,51,52.71317829,13.17829457,39.53488372,13860,236,53,183,17.02741703,3.823953824,13.2034632,1,4,2.233809573,1.018971225,3.252780798,6.70142872,3.518334607,10.21976333,13.47254412,9.656363796,10,4.705882353,24.36224615
94102,2670,2440,230,30,200,86.1423221,11.23595506,74.90636704,16463,229,28,201,13.90997996,1.700783575,12.20919638,1,1,1.904569961,0.4532088,2.35777876,12.69713307,3.253391741,15.95052481,18.30830357,13.12236487,10,1.176470588,24.29883546
10003,5550,5242,308,68,240,55.4954955,12.25225225,43.24324324,27487,491,116,375,17.86298978,4.220176811,13.64281297,1,3,2.07683917,1.124552997,3.201392168,7.330020602,3.635408396,10.965429,14.16682117,10.15398263,10,3.529411765,23.68339439
98101,1780,1689,91,5,86,51.12359551,2.808988764,48.31460674,7911,156,32,124,19.71937808,4.045000632,15.67437745,1,2,0.47614249,1.077873698,1.554016188,8.189650828,4.176760579,12.36641141,13.92042759,9.977381541,10,2.352941176,22.33032272
80218,1850,1768,82,11,71,44.32432432,5.945945946,38.37837838,11225,257,24,233,22.89532294,2.138084633,20.75723831,1,2,1.007877833,0.56973667,1.577614503,6.505393285,5.531193502,12.03658679,13.61420129,9.757895706,10,2.352941176,22.11083688
10019,4910,4602,308,26,282,62.72912424,5.295315682,57.43380855,23146,544,74,470,23.50298108,3.197096691,20.30588439,0,8,0.897591627,0.851932236,1.749523863,9.735416874,5.410920957,15.14633783,16.89586169,12.11000578,0,9.411764706,21.52177048
02116,2820,2691,129,9,120,45.74468085,3.191489362,42.55319149,11460,143,34,109,12.47818499,2.966841187,9.511343805,1,3,0.540978914,0.790575916,1.33155483,7.213052189,2.534493379,9.747545568,11.0791004,7.94087761,10,3.529411765,21.47028937
94131,5080,4625,455,119,336,89.56692913,23.42519685,66.14173228,13254,675,196,479,50.92802173,14.78798853,36.1400332,0,0,3.970728434,3.940564003,7.911292437,11.21146852,9.630255905,20.84172442,28.75301686,20.6085494,0,0,20.6085494
02108,870,853,17,3,14,19.54022989,3.448275862,16.09195402,2114,62,0,62,29.32828761,0,29.32828761,1,2,0.584505953,0,0.584505953,2.727694448,7.81512605,10.5428205,11.12732645,7.975443339,10,2.352941176,20.32838452
97209,1830,1776,54,17,37,29.50819672,9.289617486,20.21857923,10744,239,56,183,22.24497394,5.212211467,17.03276247,1,2,1.57465265,1.388901056,2.963553706,3.427185179,4.538730235,7.965915414,10.92946912,7.833630304,10,2.352941176,20.18657148
20001,3320,3030,290,37,253,87.34939759,11.14457831,76.20481928,17917,435,74,361,24.27861807,4.130155718,20.14846235,0,4,1.889080987,1.100565024,2.989646011,12.91722946,5.368972616,18.28620207,21.27584808,15.24933429,0,4.705882353,19.95521665
02118,2780,2488,292,33,259,105.0359712,11.8705036,93.16546763,12500,378,32,346,30.24,2.56,27.68,0,1,2.012130206,0.682164706,2.694294912,15.79217344,7.375905882,23.16807932,25.86237423,18.53669893,0,1.176470588,19.71316951
77006,2840,2717,123,19,104,43.30985915,6.690140845,36.61971831,11894,304,51,253,25.55910543,4.28787624,21.27122919,0,8,1.134023874,1.142592904,2.276616778,6.207288574,5.668156955,11.87544553,14.15206231,10.14340431,0,9.411764706,19.55516901
78701,1030,1014,16,3,13,15.53398058,2.912621359,12.62135922,4366,38,7,31,8.703618873,1.603298213,7.10032066,1,5,0.493708912,0.427231818,0.92094073,2.139405285,1.892026623,4.031431907,4.952372637,3.54958287,10,5.882352941,19.43193581
94108,1850,1770,80,14,66,43.24324324,7.567567568,35.67567568,7867,122,0,122,15.50781747,0,15.50781747,1,1,1.282753606,0,1.282753606,6.047266998,4.132377242,10.17964424,11.46239785,8.215603717,10,1.176470588,19.3920743
30324,3080,2914,166,20,146,53.8961039,6.493506494,47.4025974,14214,293,37,256,20.61347967,2.603067398,18.01041227,0,7,1.100693029,0.693640901,1.79433393,8.03505911,4.799245152,12.83430426,14.62863819,10.48498717,0,8.235294118,18.72028128
60640,7310,6727,583,172,411,79.75376197,23.52941176,56.22435021,34410,1025,274,751,29.78785237,7.962801511,21.82505086,0,2,3.988393563,2.121852403,6.110245965,9.53040555,5.81573414,15.34613969,21.45638566,15.3787335,0,2.352941176,17.73167468
10010,3630,3523,107,16,91,29.47658402,4.407713499,25.06887052,16050,276,32,244,17.19626168,1.99376947,15.20249221,1,0,0.747137086,0.531280924,1.27841801,4.249342177,4.051017042,8.30035922,9.57877723,6.865530133,10,0,16.86553013
10016,5970,5774,196,35,161,32.83082077,5.862646566,26.9681742,28390,411,29,382,14.4769285,1.021486439,13.45544206,1,0,0.993758028,0.272196092,1.26595412,4.571286927,3.58547956,8.156766487,9.422720607,6.753677501,10,0,16.7536775
98121,2100,2018,82,22,60,39.04761905,10.47619048,28.57142857,9245,95,52,43,10.27582477,5.624661979,4.651162791,1,0,1.775784754,1.498806986,3.27459174,4.843049327,1.239398085,6.082447411,9.357039152,6.706600719,10,0,16.70660072
98144,4260,3901,359,151,208,84.27230047,35.44600939,48.82629108,12303,334,198,136,27.14785012,16.0936357,11.05421442,0,1,6.008337017,4.288480571,10.29681759,8.276384765,2.945623019,11.22200778,21.51882537,15.42348679,0,1.176470588,16.59995737
70112,260,251,9,0,0,34.61538462,0,0,1494,23,0,23,15.39491299,0,15.39491299,1,3,0,0,0,0,4.102291519,4.102291519,4.102291519,2.940292416,10,3.529411765,16.46970418
60660,5100,4660,440,123,317,86.2745098,24.11764706,62.15686275,20374,633,164,469,31.06900952,8.049474821,23.0195347,0,0,4.088103403,2.14494829,6.233051693,10.53600633,6.134028953,16.67003528,22.90308698,16.41564784,0,0,16.41564784
19106,1740,1685,55,5,50,31.6091954,2.873563218,28.73563218,6183,83,17,66,13.42390425,2.749474365,10.67442989,1,0,0.487088294,0.732654051,1.219742346,4.870882943,2.844421611,7.715304555,8.9350469,6.404140347,10,0,16.40414035
02130,4640,4242,398,246,152,85.77586207,53.01724138,32.75862069,16070,449,252,197,27.94026136,15.6813939,12.25886745,0,0,8.986779031,4.178630257,13.16540929,5.552806556,3.266627622,8.819434178,21.98484347,15.75750241,0,0,15.75750241
94110,9280,8631,649,289,360,69.93534483,31.14224138,38.79310345,28019,887,438,449,31.65708983,15.63224954,16.02484029,0,1,5.27881939,4.165534732,9.444354122,6.575691974,4.270148618,10.84584059,20.29019471,14.54287326,0,1.176470588,15.71934385
