"category","badword","inSongs","censored","pctCensored"
"sexual","freak",13,9,69.2307692307692
"sexual","grind",4,1,25
"sexual","hip",1,0,0
"sexual","hips",5,1,20
"sexual","kiss",60,26,43.3333333333333
"sexual","leg",2,1,50
"sexual","legs",6,3,50
"sexual","lip",3,1,33.3333333333333
"sexual","lips",23,6,26.0869565217391
"sexual","masturbate",0,0,NA
"sexual","naked",4,3,75
"sexual","neck",7,5,71.4285714285714
"sexual","panties",1,1,100
"sexual","pimp",4,4,100
"sexual","pussies",0,0,NA
"sexual","pussy",0,0,NA
"sexual","scrotum",1,1,100
"sexual","sex",18,14,77.7777777777778
"sexual","skin",22,6,27.2727272727273
"sexual","skirt",5,2,40
"sexual","sleep",52,10,19.2307692307692
"sexual","thigh",1,1,100
"sexual","tit",0,0,NA
"sexual","tits",0,0,NA
"sexual","tongue",12,3,25
"sexual","touch",47,15,31.9148936170213
"sexual","underwear",0,0,NA
"sexual","undress",2,2,100
"sexual","waterbed",0,0,NA
"violence","bleed",9,4,44.4444444444444
"violence","blood",13,2,15.3846153846154
"violence","bloodstain",1,1,100
"violence","bomb",0,0,NA
"violence","bullet",8,7,87.5
"violence","crime",4,3,75
"violence","criminal",0,0,NA
"violence","cut",21,6,28.5714285714286
"violence","cuts",3,2,66.6666666666667
"violence","cutthroat",1,1,100
"violence","cuttin",4,3,75
"violence","dead",18,4,22.2222222222222
"violence","death",8,3,37.5
"violence","die",30,15,50
"violence","dies",1,1,100
"violence","fight",55,1,1.81818181818182
"violence","gang",5,3,60
"violence","gun",6,5,83.3333333333333
"violence","guns",0,0,NA
"violence","illegal",1,1,100
"violence","kill",21,11,52.3809523809524
"violence","knife",4,2,50
"violence","knives",1,1,100
"violence","murder",1,0,0
"violence","poison",2,1,50
"violence","punch",2,2,100
"violence","scalpel",0,0,NA
"violence","slap",0,0,NA
"violence","slay",1,1,100
"violence","stab",0,0,NA
"violence","stabbed",1,0,0
"violence","stabbing",0,0,NA
"violence","stabs",0,0,NA
"violence","thug",5,2,40
"violence","trigger",2,1,50
"violence","victim",1,1,100
"violence","war",10,1,10
"violence","weapon",1,1,100
