ogArtist,songName,badword,count,category,year,isCensored,isPresent,ogLyric,kbLyric
Ariana Grande,7 rings,bitch,2,profanity,2019,1,1,Bought matching diamonds for six of my bitches,Bought matching diamonds so they know what this is
Britney Spears,till the world ends,blow,1,alcohol & drugs,2011,1,1,"Baby, let me blow your mind tonight","Baby, come on wave your hands tonight"
Britney Spears,till the world ends,blow,2,alcohol & drugs,2011,1,1,"Baby, let me blow your mind tonight","Baby, come on wave your hands tonight"
Britney Spears,till the world ends,touch,1,sexual,2011,1,1,"Get you off with the touch, dancing in the dark",Set it off with a track dancing in the dark
Elle King,ex's and oh's,high,1,alcohol & drugs,2016,1,1,"I get high, and I love to get low","I get by, and I love to lay low"
Elle King,ex's and oh's,man,1,identity,2016,1,1,"Well, I had me a boy, turned him into a man","Well, I knew me a boy, and yes he was a friend"
Flo Rida,my house,champagne,2,alcohol & drugs,2016,1,1,"Keep our clothes on the floor, open up champagne","Keep our hands in the air, open up and dance"
Flo Rida,wild ones,body,1,sexual,2012,1,1,"What happens to that body, it's a private show",Round up baby 'til the Kidz Bop show
Flo Rida,wild ones,body,2,sexual,2012,1,1,Tear up that body,cuts verse
Flo Rida,wild ones,bottle,1,alcohol & drugs,2012,1,1,"After bottle, we all get bent then again tomorrow","After a while, we all'll get up again tomorrow"
Flo Rida,wild ones,champagne,1,alcohol & drugs,2012,1,1,"Tolerance, bottoms up when the champagne","Tell them this, both hands, its off the chain"
Flo Rida,wild ones,clothes,1,sexual,2012,1,1,Got the clothes coming off,Got the sounds coming off
Flo Rida,wild ones,freak,1,sexual,2012,1,1,"Wild out baby, 'til the freak, it shows",Oh oh it sounds like everyone knows
Flo Rida,wild ones,high,2,alcohol & drugs,2012,1,1,"I like 'em untamed, don't tell me high pain","I like to explain, don't tell me how lame"
Florida Georgia Line,cruise,hell,3,profanity,2014,1,1,"Hell, I can't get you out of my head",cuts verse
Hilltop Hoods,exit sign,amen,1,other,2019,1,1,"But don't mind it if it cause offence, we make moves not amends",cuts verse
Hilltop Hoods,exit sign,fuck,1,profanity,2019,1,1,But I don't give a fuck about the money,But I don't give a thought about the money
Hilltop Hoods,exit sign,fuck,2,profanity,2019,1,1,And I don't give a fuck about the party,And I don't give a thought about the party
Hilltop Hoods,exit sign,fuck,3,profanity,2019,1,1,I give a fuck about in this phoney world is Ari,I give a thought about in this phoney world is Ari
Hilltop Hoods,exit sign,god,1,other,2019,1,1,"You in it for your fifteen minutes, it's quarter past then, goddamn",cuts verse
Hilltop Hoods,exit sign,jesus,1,other,2019,1,1,"Jesus wept, ha, I don't mean it",cuts verse
Justin Bieber,love yourself,sleep,2,sexual,2016,1,1,"But now I know, I'm better sleeping on my own","And now I know, I'm better living on my own"
Lady Gaga,alejandro,cigarette,2,alcohol & drugs,2010,1,1,Just smoke my cigarette and hush,Just walk away from me and hush
Macklemore & Ryan Lewis,downtown,damn,2,profanity,2016,1,1,"Mow your damn lawn and sit the hell down""",Mow your own lawn and sit right back down
Mark Ronson,nothing breaks like a heart,bar,1,alcohol & drugs,2017,1,1,Spin endless circles in the bar (Spin 'round in the bar),Spin endless circles where you are (Spin 'round where you are)
Mark Ronson,nothing breaks like a heart,bar,2,alcohol & drugs,2017,1,1,Spin endless circles in the bar (Spin 'round in the bar),Spin endless circles where you are (Spin 'round where you are)
Mark Ronson,nothing breaks like a heart,bar,3,alcohol & drugs,2017,1,1,Spin endless circles in the bar (Spin 'round in the bar),Spin endless circles where you are (Spin 'round where you are)
Mark Ronson,nothing breaks like a heart,bullet,1,violence,2017,1,1,These silver bullet cigarettes,These are just nothing but regrets
Mark Ronson,nothing breaks like a heart,cigarette,1,alcohol & drugs,2017,1,1,These silver bullet cigarettes,These are just nothing but regrets
Mark Ronson,nothing breaks like a heart,cuts,1,violence,2017,1,1,It cuts you deep and leaves a scar,It runs real deep and leaves a scar
Mark Ronson,nothing breaks like a heart,cuts,2,violence,2017,1,1,It cuts you deep and leaves a scar,It runs real deep and leaves a scar
Mark Ronson,nothing breaks like a heart,cuts,3,violence,2017,1,1,It cuts you deep and leaves a scar,It runs real deep and leaves a scar
Mark Ronson,nothing breaks like a heart,cuts,4,violence,2017,1,1,It cuts you deep and leaves a scar,It runs real deep and leaves a scar
Mark Ronson,nothing breaks like a heart,die,1,violence,2017,1,1,We live and die by pretty lies,We live a life of pretty lies
Mark Ronson,nothing breaks like a heart,drunk,1,alcohol & drugs,2017,1,1,We were drunk in love in Tennessee,We were dumb and love in Tennessee
Mark Ronson,nothing breaks like a heart,smoking,1,alcohol & drugs,2017,1,1,"It's smoking, we both know it","It's going, oh, we both know it"
Meghan Trainor,like i'm gonna lose you,kiss,1,sexual,2016,1,1,"So I'll kiss you longer, babe (Hey), any chance that I get","So I'll stay here longer baby, any chance that I get"
Shawn Mendes,mercy,skin,2,sexual,2017,1,1,Ripping all the skin from off my bones,Feeling all the hurt inside my bones
Taylor Swift,bad blood,bullet,1,violence,2015,1,1,Band-aids don't fix bullet holes,Band-aids don't fix don't you know
Taylor Swift,bad blood,bullet,2,violence,2015,1,1,Band-aids don't fix bullet holes,Band-aids don't fix don't you know
Taylor Swift,bad blood,cut,1,violence,2015,1,1,You made a really deep cut,So take a look at what you've done
Taylor Swift,bad blood,cut,2,violence,2015,1,1,You made a really deep cut,So take a look at what you've done
Taylor Swift,bad blood,cut,3,violence,2015,1,1,You made a really deep cut,So take a look at what you've done
Taylor Swift,bad blood,cut,4,violence,2015,1,1,You made a really deep cut,So take a look at what you've done
Taylor Swift,bad blood,cut,5,violence,2015,1,1,You made a really deep cut,So take a look at what you've done
Taylor Swift,bad blood,knives,1,violence,2015,1,1,Still got scars in my back from your knives,I don't think I want you back in my life
The Black Eyed Peas,i gotta feeling - 1461400,god,1,other,2009,1,1,"Go out and smash it like, ""Oh, my God!""","Go out and smash it like, oh, my gosh"
The Black Eyed Peas,i gotta feeling - 1461400,god,2,other,2009,1,1,"Go out and smash it (Smash it) like, ""Oh, my God!"" (Like, ""Oh, my God!"")","Go out and smash it (Smash it), like, oh, my gosh (Like, oh, my gosh)"
The Chainsmokers,this feeling,neck,1,sexual,2019,1,1,They got their hands at my neck this time,They got their hands in the air this time
The Chainsmokers,this feeling,neck,2,sexual,2019,1,1,They got their hands at my neck this time,They got their hands in the air this time
The Chainsmokers,this feeling,neck,3,sexual,2019,1,1,They got their hands at my neck this time,They got their hands in the air this time
Usher,dj got us falling in love,body,2,sexual,2011,1,1,Put your hands on my body,Put your hands up in the air
5 Seconds of Summer,easier,damn,1,profanity,2019,1,1,Cause you're so damn beautiful,"Cause you're so, so beautiful"
5 Seconds of Summer,easier,damn,2,profanity,2019,1,1,You're so damn beautiful,"You're so, so beautiful"
5 Seconds of Summer,easier,damn,3,profanity,2019,1,1,Cause you're so damn beautiful (Oh),"Cause you're so, so beautiful"
5 Seconds of Summer,easier,damn,4,profanity,2019,1,1,You're so damn beautiful (Oh),"You're so, so beautiful"
