ogArtist,songName,badword,count,category,year,isCensored,isPresent,ogLyric,kbLyric
5 Seconds of Summer,easier,damn,5,profanity,2019,1,1,Cause you're so damn beautiful,"Cause you're so, so beautiful"
5 Seconds of Summer,youngblood,damn,1,profanity,2018,1,1,You beat me at my own damn game,You beat me at my own big game
5 Seconds of Summer,youngblood,dead,1,violence,2018,1,1,And I'm just a dead man walking tonight,But I'm just a sad man walking tonight
5 Seconds of Summer,youngblood,dead,2,violence,2018,1,1,So I’m just a dead man crawling tonight,So I’m just a sad man crawling tonight
5 Seconds of Summer,youngblood,dead,3,violence,2018,1,1,And I'm just a dead man walking tonight,But I'm just a sad man walking tonight
5 Seconds of Summer,youngblood,dead,4,violence,2018,1,1,So I’m just a dead man crawling tonight,So I’m just a sad man crawling tonight
5 Seconds of Summer,youngblood,dead,5,violence,2018,1,1,And I'm just a dead man walking tonight,But I'm just a sad man walking tonight
5 Seconds of Summer,youngblood,dead,6,violence,2018,1,1,So I’m just a dead man crawling tonight,So I’m just a sad man crawling tonight
5 Seconds of Summer,youngblood,dead,7,violence,2018,1,1,And I'm just a dead man walking tonight,But I'm just a sad man walking tonight
5 Seconds of Summer,youngblood,drunk,1,alcohol & drugs,2018,1,1,Then one of us gets too drunk,Then one of us gets too lost
5 Seconds of Summer,youngblood,god,1,other,2018,1,1,Hope to God you see my face,"Like to think you see my face (Yeah, ooh, ooh)"
Aaliyah,try again,freak,1,sexual,2002,1,1,"Step to, step to, freaky-freaky",cuts verse
Aaliyah,try again,freak,2,sexual,2002,1,1,"Step to, step to, freaky-freaky",cuts verse
Aaliyah,try again,freak,3,sexual,2002,1,1,"Step to, step to, freaky-freaky",cuts verse
Aaliyah,try again,freak,4,sexual,2002,1,1,"Step to, step to, freaky-freaky",cuts verse
Adele,rolling in the deep,shit,1,profanity,2011,1,1,"Go ahead and sell me out, and then I'll lay your shit bare",Go ahead and sell me out and I'll lay it up there
Adele,send my love,body,1,sexual,2017,1,1,"You put your hands on, on my body and told me","You had your arms wraped, wraped around me, you told me, umm"
Adele,set fire to the rain (feat. ethan bortnick),kiss,1,sexual,2012,1,1,Until you kissed my lips and you saved me,Until you hold my hands and you saved me
Adele,set fire to the rain (feat. ethan bortnick),lips,1,sexual,2012,1,1,Until you kissed my lips and you saved me,Until you hold my hands and you saved me
Akon,don't matter,men,1,identity,2007,1,1,Men steady comin' after you,Boys steady comin' after you
Akon,don't matter,women,1,identity,2007,1,1,Women steady comin' after me,The girls steady comin' after me
Alessia Cara,here,marijuana,1,alcohol & drugs,2016,1,1,Under clouds of marijuana,Over here just where I wanna be
Alessia Cara,scars to your beautiful,cut,1,violence,2017,1,1,So she tries to cover up her pain and cut her woes away,So she tries to cover up her pain and hold woes away
Andy Grammer,"honey, i'm good.",ass,1,profanity,2017,1,1,I got her and she got me and you got that ass,I've got her and she got me and you've got that look
Andy Grammer,"honey, i'm good.",damn,1,profanity,2017,1,1,"And these long, long legs are damn near everywhere","And these long, long days, oh they're everywhere"
Andy Grammer,"honey, i'm good.",drink,1,alcohol & drugs,2017,1,1,Drinking from that unholy grail,Searching now for that holy grail
Andy Grammer,"honey, i'm good.",legs,1,sexual,2017,1,1,"And these long, long legs are damn near everywhere","And these long, long days, oh they're everywhere"
Andy Grammer,"honey, i'm good.",men,1,identity,2017,1,1,"Now, better men than me have failed",Now better ones than me have failed
Andy Grammer,"honey, i'm good.",unholy,1,other,2017,1,1,Drinking from that unholy grail,Searching now for that holy grail
Anna Kendrick,cups,bottle,1,alcohol & drugs,2014,1,1,Two bottle'a whiskey for the way,I got my memories for the way
Anna Kendrick,cups,whiskey,1,alcohol & drugs,2014,1,1,Two bottle'a whiskey for the way,I got my memories for the way
Ariana Grande,7 rings,addict,1,alcohol & drugs,2019,1,1,Think retail therapy my new addiction,Think retail therapy my new addition
Ariana Grande,7 rings,ass,1,profanity,2019,1,1,"When you see them racks, they stacked up like my ass, yeah","When you see them racks, they stacked up like real fast, yeah"
Ariana Grande,7 rings,bitch,1,profanity,2019,1,1,"Been through some bad shit, I should be a sad bitch","Been through the baddest, it should be the saddest"
Ariana Grande,7 rings,bottle,1,alcohol & drugs,2019,1,1,"Yeah, breakfast at Tiffany's and bottles of bubbles","Yeah, breakfast at Tiffany's, it won't burst my bubble"
Ariana Grande,7 rings,bubbles,1,alcohol & drugs,2019,1,1,"Yeah, breakfast at Tiffany's and bottles of bubbles","Yeah, breakfast at Tiffany's, it won't burst my bubble"
Ariana Grande,7 rings,juice,1,alcohol & drugs,2019,1,1,"Never mind, I got the juice","Never mind, what is the use?"
Ariana Grande,7 rings,shit,1,profanity,2019,1,1,"Been through some bad shit, I should be a sad bitch","Been through the baddest, it should be the saddest"
Ariana Grande,7 rings,tattoo,1,other,2019,1,1,Girls with tattoos who like getting in trouble,Girls with a dream who like getting in trouble
Ariana Grande,"​break up with your girlfriend, i'm bored",crazy,1,other,2019,1,1,You could call me crazy 'cause I want you,cuts verse
Ariana Grande,"​break up with your girlfriend, i'm bored",fuck,1,profanity,2019,1,1,Took one fuckin' look at your face (Hmm),Took another look at your face (Hmm)
Ariana Grande,"​break up with your girlfriend, i'm bored",fuck,2,profanity,2019,1,1,And I never even ever fuckin' met you,cuts verse
Ariana Grande,"​break up with your girlfriend, i'm bored",shit,1,profanity,2019,1,1,This shit always happen to me (Yeah),These things always happen to me (Yeah)
Ariana Grande,breathin,medicate,1,other,2018,1,1,"I can so over-complicate, people tell me to medicate","I can so over-complicate, people tell me to elevate"
Ariana Grande,breathin,shit,1,profanity,2018,1,1,I know that all this shit's fabricated,How did I know this is fabricated? Oh
Ariana Grande,breathin,shit,2,profanity,2018,1,1,I know that all this shit's fabricated,How did I know this is fabricated? Oh
Ariana Grande,problem,touch,1,sexual,2015,1,1,Every time you touch me and say you love me,Every time you see me and say you love me
Ariana Grande,"thank u, next (us version)",fuck,1,profanity,2019,1,1,I'm so fuckin' grateful for my ex,"I'm so, I'm so grateful for my ex"
Ariana Grande,"thank u, next (us version)",fuck,2,profanity,2019,1,1,I'm so fuckin'—,"I'm so, I’m so—"
Ariana Grande,"thank u, next (us version)",fuck,3,profanity,2019,1,1,I'm so fuckin' grateful for my ex,"I'm so, I'm so grateful for my ex"
Ariana Grande,"thank u, next (us version)",fuck,4,profanity,2019,1,1,I'm so fuckin' grateful for my ex,"I'm so, I'm so grateful for my ex"
Ariana Grande,"thank u, next (us version)",fuck,5,profanity,2019,1,1,I'm so fuckin'—,"I'm so, I’m so—"
Ariana Grande,"thank u, next (us version)",fuck,6,profanity,2019,1,1,I'm so fuckin' grateful for my ex,"I'm so, I'm so grateful for my ex"
Ariana Grande,"thank u, next (us version)",fuck,7,profanity,2019,1,1,I'm so fuckin' grateful for my ex,"I'm so, I'm so grateful for my ex"
Ariana Grande,"thank u, next (us version)",shit,1,profanity,2019,1,1,"That shit's amazing (Yeah, she's amazing)","That's so amazing (Yeah, she's amazing)"
Ariana Grande,"thank u, next (us version)",shit,2,profanity,2019,1,1,Gon' make that shit last,Gon' make that thing last
Ashlee Simpson,l.o.v.e,hell,1,profanity,2006,1,1,I don't even know where the hell he goes,I don't even know where the heck he goes
Ashlee Simpson,l.o.v.e,man,1,identity,2006,1,1,Don't need any man in this room,Don't need any boys in this room
Avril Lavigne,my happy ending,shit,1,profanity,2005,1,1,All the shit that you do (all the shit that you do),All the stuff that you do?
Avril Lavigne,when you're gone,clothes,1,sexual,2008,1,1,"And the clothes you left, they lie on the floor","And the things you left, they lie on the floor, oh no"
B.o.B,airplanes,hell,1,profanity,2011,1,1,And back when I was rappin' for the hell of it,And back when I was rappin' for the thrill of it
B.o.B,airplanes,shit,1,profanity,2011,1,1,And get back to the music that started this shit?,And get back to the music that started this hit
B.o.B,nothin' on you,hell,1,profanity,2010,1,1,Most of it really was for the hell of the fun,Most of it really was for the love of the fun
B.o.B,nothin' on you,skirt,1,sexual,2010,1,1,"Tryna chase skirts, livin' in the summer sun",Tryna' chase dreams livin' in the summer sun
Bad Bunny,mía (ft. drake),high,1,alcohol & drugs,2019,1,1,"Dile que tú eres mía desde la high (Desde la high, yeh)",Tell them that you are mine from high (From high)
Baha Men,move it like this,man,1,identity,2003,1,1,(move it man),Yeah
Baha Men,move it like this,man,3,identity,2003,1,1,(move it man),Yeah
Baha Men,move it like this,man,4,identity,2003,1,1,(Move it man),Yeah
Baha Men,who let the dogs out,woman,1,identity,2002,1,1,I heard a woman shout out,The poor woman shout out
Baha Men,who let the dogs out,woman,2,identity,2002,1,1,"You put a woman in front and her man behind (Yippie, Yi, Yo)","You fetch a women in front and her man behind (Yippie yi, yo)"
Baha Men,who let the dogs out,woman,3,identity,2002,1,1,I heard a woman shout out,The poor woman shout out
Bazzi,beautiful (bazzi),dress,1,sexual,2019,1,1,The way that dress fall off you is amazing,cuts verse
Bazzi,beautiful (bazzi),god,1,other,2019,1,1,Swear to God that I loved her,"Yeah, you know that I loved her"
Bazzi,beautiful (bazzi),god,2,other,2019,1,1,"Swear to God you're beautiful, yeah","You should know you're beautiful, yeah"
Bazzi,beautiful (bazzi),henny,1,alcohol & drugs,2019,1,1,Now a Backwood and some Henny got you faded,This is all I need to hear to know we made it
Bazzi,beautiful (bazzi),naked,1,sexual,2019,1,1,But nothing can compare to when you're naked,But nothing can compare to when you're singing
Bazzi,beautiful (bazzi),naked,2,sexual,2019,1,1,But nothing can compare to when you're naked (Hey!),But nothing can compare to when you're singing
Bazzi,beautiful (bazzi),naked,3,sexual,2019,1,1,"(Perfect when you naked, together with you)","(Nothing can compare, you're better when you, hey, Oh)"
"​benny blanco, Halsey & Khalid",eastside,kiss,1,sexual,2019,1,1,Used to kiss underneath the light on the back of the bus (Yeah),Used to talk underneath the light on the back of the bus
Beyoncé,crazy in love,war,1,violence,2004,1,1,"A star like Ringo, war like a Green Beret","A star like Ringo, roll like a green beret"
Beyoncé,irreplaceable,bed,1,sexual,2007,1,1,Cause you made your bed,cuts verse
Beyoncé,irreplaceable,man,1,identity,2007,1,1,"Talkin' 'bout, how I'll never ever find a man like you",Talkin' 'bout how I'll never ever find a boy like you
Beyoncé,irreplaceable,man,2,identity,2007,1,1,"Talkin' 'bout, how I'll never ever find a man like you",Talkin' 'bout how I'll never ever find a boy like you
Beyoncé,sweet dreams,high,1,alcohol & drugs,2010,1,1,"Boy, you're my temporary high","Boy, you're my certain type of guy"
Beyoncé,sweet dreams,tattoo,1,other,2010,1,1,Tattoo your name across my heart,I've got your name across my heart
Bowling for Soup,1985,ass,1,profanity,2005,1,1,She was gonna shake her ass on the hood of Whitesnake’s car,She was gonna shake it fast on the hood of Whitesnake's car
Boys Like Girls,the great escape,die,1,violence,2008,1,1,Let it die,Let it fly
Boys Like Girls,the great escape,die,2,violence,2008,1,1,Let it die,Let it fly
Boys Like Girls,the great escape,die,3,violence,2008,1,1,Let it die,Let it fly
Boys Like Girls,the great escape,drunk,1,alcohol & drugs,2008,1,1,Lets get drunk and ride around,Let's have fun and ride around
Britney Spears,toxic,intoxicate,1,alcohol & drugs,2004,1,1,Intoxicate me now with your lovin' now,cuts verse
Britney Spears,toxic,intoxicate,2,alcohol & drugs,2004,1,1,Intoxicate me now with your lovin' now,cuts verse
Bruno Mars,24k magic,ass,1,profanity,2016,1,1,Bad bitches and ya ugly ass friends (Haha),cuts verse
Bruno Mars,24k magic,bitch,1,profanity,2016,1,1,Bad bitches and ya ugly ass friends (Haha),cuts verse
Bruno Mars,24k magic,bless,1,other,2016,1,1,Hashtag blessed,cuts verse
Bruno Mars,24k magic,gang,1,violence,2016,1,1,Gangstas (gangstas),cuts verse
Bruno Mars,24k magic,jesus,1,other,2016,1,1,Got to blame it on Jesus,cuts verse
Bruno Mars,24k magic,man,1,identity,2016,1,1,"Ooh shit, I'm a dangerous man with some money in my pocket","Ooh yeah, I'm a dangerous one with some money in my pocket"
Bruno Mars,24k magic,man,2,identity,2016,1,1,I'm a dangerous man with some money in my pocket,I'm a dangerous one with some money in my pocket
Bruno Mars,24k magic,pimp,1,sexual,2016,1,1,I gotta show 'em how a pimp get it in,cuts verse
Bruno Mars,24k magic,shit,1,profanity,2016,1,1,"Ooh shit, I'm a dangerous man with some money in my pocket","Ooh yeah, I'm a dangerous one with some money in my pocket"
Bruno Mars,24k magic,shit,2,profanity,2016,1,1,"Spend your money like money ain't shit (Whoop, whoop)",cuts verse
Bruno Mars,24k magic,sip,1,alcohol & drugs,2016,1,1,"First, take your sip (sip), do your dip (dip)",cuts verse
Bruno Mars,finesse,grind,1,sexual,2018,1,1,Cause I love the way it feels when we grind,Cause I love the way we dance all the time (all the time)
Bruno Mars,finesse,shit,1,profanity,2018,1,1,Shut that shit down on sight,Shut the thing down on sight
Bruno Mars,finesse,shit,2,profanity,2018,1,1,Shut that shit down on sight,Shut the thing down on sight
Bruno Mars,locked out of heaven,sex,1,sexual,2013,1,1,Cause your sex takes me to paradise,Cause your love takes me to paradise
Bruno Mars,locked out of heaven,sex,2,sexual,2013,1,1,"Yeah, your sex takes me to paradise",Your love takes me to paradise
Bruno Mars,locked out of heaven,sex,3,sexual,2013,1,1,Cause your sex takes me to paradise,Cause your love takes me to paradise
Bruno Mars,locked out of heaven,sex,4,sexual,2013,1,1,"Yeah, your sex takes me to paradise",Your love takes me to paradise
Bruno Mars,that's what i like,ass,1,profanity,2017,1,1,You and your ass invited,You and your friends invited
Bruno Mars,that's what i like,champagne,1,alcohol & drugs,2017,1,1,Strawberry champagne on ice,Strawberry milkshakes so nice
Bruno Mars,that's what i like,champagne,2,alcohol & drugs,2017,1,1,Strawberry champagne on ice,Strawberry milkshakes so nice
Bruno Mars,that's what i like,champagne,3,alcohol & drugs,2017,1,1,Strawberry champagne on ice,Strawberry milkshakes so nice
Bruno Mars,that's what i like,freak,1,sexual,2017,1,1,You can be my freaka (Brrrt!),You can come and see though
Bruno Mars,that's what i like,ice,1,alcohol & drugs,2017,1,1,Strawberry champagne on ice,Strawberry milkshakes so nice
Bruno Mars,that's what i like,ice,2,alcohol & drugs,2017,1,1,Strawberry champagne on ice,Strawberry milkshakes so nice
Bruno Mars,that's what i like,ice,3,alcohol & drugs,2017,1,1,Strawberry champagne on ice,Strawberry milkshakes so nice
Bruno Mars,that's what i like,sex,1,sexual,2017,1,1,Sex by the fire at night,Hang by the fire at night
Bruno Mars,that's what i like,sex,2,sexual,2017,1,1,Sex by the fire at night,Hang by the fire at night
Bruno Mars,that's what i like,sex,3,sexual,2017,1,1,Sex by the fire at night,Hang by the fire at night
Bruno Mars,the lazy song,freak,1,sexual,2011,1,1,Cause in my castle I'm the freaking man,Cause in my castle I'm the only man
Bruno Mars,the lazy song,god,1,other,2011,1,1,"(Oh my god, this is great)",(OMG you're so great)
Bruno Mars,the lazy song,sex,1,sexual,2011,1,1,"Meet a really nice girl, have some really nice sex","Meet a really nice girl, send a really nice text"
Bruno Mars,treasure,fuck,1,profanity,2014,1,1,"Baby squirrel, you's a sexy mother-fucker",cuts verse
Bruno Mars,treasure,sex,1,sexual,2014,1,1,"Baby squirrel, you's a sexy mother-fucker",cuts verse
Bruno Mars,treasure,sex,2,sexual,2014,1,1,"You're wonderful, flawless, ooh you're a sexy lady",You're wonderful thoughtless i knew you'd drive me crazy (drive me crazy)
Calvin Harris,feels,bed,1,sexual,2017,1,1,"In the same bed, but it still feel long distance",cuts verse
Calvin Harris,feels,cut,1,violence,2017,1,1,I cut off all my exes for your x and o's,cuts verse
Calvin Harris,feels,god,1,other,2017,1,1,"Goddamn, I know you love to make an entrance",cuts verse
Calvin Harris,feels,pills,1,alcohol & drugs,2017,1,1,I know you ain't afraid to pop pills (Hey),I know you ain't afraid to like this (Hey)
Calvin Harris,feels,pills,2,alcohol & drugs,2017,1,1,I know you ain't afraid to pop pills (Hey),I know you ain't afraid to like this (Hey)
Calvin Harris,feels,pills,3,alcohol & drugs,2017,1,1,I know you ain't afraid to pop pills (I know),I know you ain't afraid to like this (Hey)
Calvin Harris,feels,pills,4,alcohol & drugs,2017,1,1,I know you ain't afraid to pop pills,I know you ain't afraid to like this
Calvin Harris,i need your love,high,1,alcohol & drugs,2014,1,1,"I feel so high, I come alive","I feel so good, I come alive"
Calvin Harris,i need your love,high,2,alcohol & drugs,2014,1,1,"I feel so high, I come alive","I feel so good, I come alive"
Calvin Harris,i need your love,high,3,alcohol & drugs,2014,1,1,"I feel so high, I come alive","I feel so good, I come alive"
Calvin Harris,i need your love,high,4,alcohol & drugs,2014,1,1,"I feel so high, I come alive","I feel so good, I come alive"
Calvin Harris & Dua Lipa,one kiss,skin,1,sexual,2018,1,1,I just wanna feel your skin on mine,See your eyes glued like the morning
Calvin Harris & Rag’n’Bone Man,giant,pills,1,alcohol & drugs,2019,1,1,I saw the pills on the table for your unrequited love,"I saw it on, on the table for your unrequited love"
Camila Cabello,havana,damn,1,profanity,2018,1,1,"Fresh out East Atlanta with no manners, damn (Fresh out East Atlanta)",cuts verse
"Cardi B, Bad Bunny & J Balvin",i like it,bang,1,sexual,2018,1,1,"This is the new religion bang in Latino gang, gang, ¡yeh!",cuts verse
"Cardi B, Bad Bunny & J Balvin",i like it,bitch,1,profanity,2018,1,1,Where's my pen? Bitch I'm signin' (Signin'),"Where's my pen? Yeah, I'm signin' (What?)"
"Cardi B, Bad Bunny & J Balvin",i like it,bitch,2,profanity,2018,1,1,Flexing on bitches as hard as I can,Flexing on songs as hard as I can
"Cardi B, Bad Bunny & J Balvin",i like it,bitch,3,profanity,2018,1,1,Told that bitch I'm sorry though (Sorry though),Told that kid I'm sorry though (Sorry though)
"Cardi B, Bad Bunny & J Balvin",i like it,bitch,4,profanity,2018,1,1,Bad bitch make you nervous (I said I like it),Kidz Bop makes it perfect (I said I like it)
"Cardi B, Bad Bunny & J Balvin",i like it,bitch,5,profanity,2018,1,1,"Bad bitch make you nervous (I said I like it, that)",Kidz Bop makes it perfect (I said I like it)
"Cardi B, Bad Bunny & J Balvin",i like it,blow,1,alcohol & drugs,2018,1,1,"Drop the top and blow the brains, woo (Woo, I said I like it like that)","Drop the top, wind in our hair (I said I like it like that)"
"Cardi B, Bad Bunny & J Balvin",i like it,blow,2,alcohol & drugs,2018,1,1,"Drop the top and blow the brains, woo (Woo, I said I like it like that)","Drop the top, wind in our hair (I said I like it like that)"
"Cardi B, Bad Bunny & J Balvin",i like it,blow,3,alcohol & drugs,2018,1,1,"Drop the top and blow the brains, woo (I said I like it like that)","Drop the top, wind in our hair (I said I like it like that)"
"Cardi B, Bad Bunny & J Balvin",i like it,body,1,sexual,2018,1,1,"They call me Cardi Bardi, banging body","They call us Kidz Bop, banging party"
"Cardi B, Bad Bunny & J Balvin",i like it,club,1,other,2018,1,1,I spend in the club what you have in the bank (¡Wuh; ¡yeh!),cuts verse
"Cardi B, Bad Bunny & J Balvin",i like it,diablo,1,other,2018,1,1,"El Diablo me llama, pero Jesucristo me abraza (Amén)",cuts verse
"Cardi B, Bad Bunny & J Balvin",i like it,gang,1,violence,2018,1,1,"Certified, you know I'm gang, gang, gang, gang (I said I like it like—woo)","Certified, you know I'm that, that, that, that (I said I like it like-, woo)"
"Cardi B, Bad Bunny & J Balvin",i like it,gang,2,violence,2018,1,1,"This is the new religion bang in Latino gang, gang, ¡yeh!",cuts verse
"Cardi B, Bad Bunny & J Balvin",i like it,gang,3,violence,2018,1,1,"Certified, you know I'm gang, gang, gang, gang (I said I like it like—woo)","Certified, you know I'm that, that, that, that (I said I like it like-, woo)"
"Cardi B, Bad Bunny & J Balvin",i like it,gang,4,violence,2018,1,1,"Certified, you know I'm gang, gang (I said I like it like—)","Certified, you know I'm that, that, that, that (I said I like it like-, woo)"
"Cardi B, Bad Bunny & J Balvin",i like it,hookah,1,alcohol & drugs,2018,1,1,"Y arranca pa'l carajo, cabrón, que a ti no te vo'a pasar la hookah (Hookah, hookah)",cuts verse
"Cardi B, Bad Bunny & J Balvin",i like it,nigga,1,profanity,2018,1,1,I like proving niggas wrong,I like proving others wrong
"Cardi B, Bad Bunny & J Balvin",i like it,shit,1,profanity,2018,1,1,I run this shit like cardio,"I run this song like cardio, yeah"
Carly Rae Jepsen,call me maybe,skin,1,sexual,2012,1,1,"Ripped jeans, skin was showin'","Ripped jeans, smile was showin'"
Carly Rae Jepsen,call me maybe,skin,2,sexual,2012,1,1,"Ripped jeans, skin was showing","Ripped jeans, smile was showin'"
Cascada,evacuate the dance floor,club,5,other,2010,1,1,"Come on and evacuate, feel the club is heating up",cuts verse
Cascada,evacuate the dance floor,club,6,other,2010,1,1,"Come on and evacuate, feel the club is heating up",cuts verse
Cascada,evacuate the dance floor,club,7,other,2010,1,1,That got everybody in the club goin' mad?,cuts verse
Cascada,evacuate the dance floor,intoxicate,1,alcohol & drugs,2010,1,1,"Watch me, I'm intoxicated, take in the show (Ah-ah)","Watch me I'm infatuated, taking the show"
