"decade","name","n","rank","person"
2010,"Baby",521,1,TRUE
2000,"Baby",413,1,TRUE
1990,"Baby",273,1,TRUE
1980,"Baby",230,1,TRUE
1970,"Baby",198,1,TRUE
1960,"Baby",170,1,TRUE
2010,"Jesus",55,2,TRUE
2010,"Michael",49,3,TRUE
2010,"Nicki",48,4,TRUE
2000,"Jesus",35,2,TRUE
2010,"Wayne",34,5,TRUE
2010,"Drake",33,6,TRUE
2010,"Mike",33,7,TRUE
2010,"John",30,8,TRUE
2010,"Jay",29,9,TRUE
2000,"Jay",27,3,TRUE
2010,"Tom",27,10,TRUE
1970,"Jesus",26,2,TRUE
1960,"Mary",18,2,TRUE
1990,"Jesus",16,2,TRUE
2000,"Joe",16,4,TRUE
2000,"Mike",16,5,TRUE
2000,"Chris",14,6,TRUE
2000,"Kelly",14,7,TRUE
2000,"Mary",14,8,TRUE
2000,"Wayne",14,9,TRUE
1960,"Joe",13,3,TRUE
1990,"Heaven",13,3,TRUE
1990,"Joe",13,4,TRUE
1990,"John",13,5,TRUE
2000,"John",13,10,TRUE
1960,"Jack",12,4,TRUE
1960,"Jimmy",12,5,TRUE
1970,"John",12,3,TRUE
1980,"Heaven",12,2,TRUE
1980,"Johnny",12,3,TRUE
1970,"Joe",11,4,TRUE
1970,"Mary",11,5,TRUE
1970,"Bobby",10,6,TRUE
1960,"Sam",9,6,TRUE
1990,"Jay",9,6,TRUE
1990,"Johnny",9,7,TRUE
1960,"John",8,7,TRUE
1960,"Johnny",8,8,TRUE
1970,"Heaven",8,7,TRUE
1970,"Jack",8,8,TRUE
1970,"Jane",8,9,TRUE
1970,"Jim",8,10,TRUE
1980,"Bobby",8,4,TRUE
1980,"Tom",8,5,TRUE
1990,"Billy",8,8,TRUE
1990,"Jack",8,9,TRUE
1990,"Mary",8,10,TRUE
1960,"Jim",7,9,TRUE
1960,"Susie",7,10,TRUE
1980,"Romeo",7,6,TRUE
1980,"Jack",6,7,TRUE
1980,"Jesse",6,8,TRUE
1980,"Jesus",6,9,TRUE
1980,"Joe",6,10,TRUE
2010,"Baby",521,1,FALSE
2000,"Baby",413,1,FALSE
1990,"Baby",273,1,FALSE
1980,"Baby",230,1,FALSE
1970,"Baby",198,1,FALSE
1960,"Baby",170,1,FALSE
2010,"Bentley",66,2,FALSE
2010,"Jesus",55,3,FALSE
2010,"Chanel",52,4,FALSE
2010,"Michael",49,5,FALSE
2010,"Nicki",48,6,FALSE
2010,"Louis",40,7,FALSE
2010,"Heaven",37,8,FALSE
2000,"Jesus",35,2,FALSE
2010,"Wayne",34,9,FALSE
2010,"Drake",33,10,FALSE
1990,"Heaven",32,2,FALSE
2000,"Heaven",31,3,FALSE
1970,"Heaven",27,2,FALSE
2000,"Bentley",27,4,FALSE
2000,"Jay",27,5,FALSE
2000,"Louis",27,6,FALSE
1970,"Jesus",26,3,FALSE
1980,"Heaven",26,2,FALSE
2000,"Don",22,7,FALSE
1980,"America",19,3,FALSE
1960,"Mary",18,2,FALSE
2000,"Cali",18,8,FALSE
1990,"Jesus",16,3,FALSE
1990,"John",16,4,FALSE
2000,"Brooklyn",16,9,FALSE
2000,"Joe",16,10,FALSE
1960,"Joe",13,3,FALSE
1990,"Joe",13,5,FALSE
1960,"Heaven",12,4,FALSE
1960,"Jack",12,5,FALSE
1960,"Jimmy",12,6,FALSE
1960,"May",12,7,FALSE
1970,"John",12,4,FALSE
1980,"Johnny",12,4,FALSE
1990,"Georgia",12,6,FALSE
1970,"America",11,5,FALSE
1970,"Georgia",11,6,FALSE
1970,"Joe",11,7,FALSE
1970,"Mary",11,8,FALSE
1990,"Brooklyn",11,7,FALSE
1970,"Bobby",10,9,FALSE
1990,"Jay",10,8,FALSE
1990,"Mac",10,9,FALSE
1960,"John",9,8,FALSE
1960,"Sam",9,9,FALSE
1980,"June",9,5,FALSE
1990,"Jack",9,10,FALSE
1960,"Johnny",8,10,FALSE
1970,"Jack",8,10,FALSE
1980,"Bobby",8,6,FALSE
1980,"London",8,7,FALSE
1980,"Paris",8,8,FALSE
1980,"Tom",8,9,FALSE
1980,"Romeo",7,10,FALSE
