"artist","song","person","name","n"
"Tyga Featuring Cedric Gervais, Wiz Khalifa & Mally Mall","Molly",FALSE,"Molly",113
"Toni Basil","Mickey",TRUE,"Mickey",61
"Justin Bieber","Baby",TRUE,"Baby",56
"Lustra","Scotty Doesn't Know",TRUE,"Scotty",55
"The Beach Boys","Help Me, Rhonda",TRUE,"Rhonda",51
"Bow Wow Featuring Soulja Boy Tell'em","Marco Polo",TRUE,"Marco",49
"Fergie","London Bridge",FALSE,"London",49
"Avril Lavigne","Hello Kitty",TRUE,"Kitty",43
"Run-D.M.C.","Mary, Mary",TRUE,"Mary",39
"The Notorious B.I.G.","Going Back To Cali",FALSE,"Cali",39
"Elton John","Bennie and the Jets",TRUE,"Bennie",38
"Alien Ant Farm","Smooth Criminal",TRUE,"Annie",36
"The Beach Boys","Barbara Ann",TRUE,"Barbara Ann",35
"The Supremes","Floy Joy",TRUE,"Floy",35
"Michael Jackson","Smooth Criminal",TRUE,"Annie",33
"Troop 41","Do The John Wall",TRUE,"John",33
"Jason Aldean","1994",TRUE,"Joe",32
"Mary J. Blige","Deep Inside",TRUE,"Mary",32
"Sisqo","Thong Song",TRUE,"Baby",32
"Dolly Parton","Jolene",TRUE,"Jolene",31
"Fat Joe","Flow Joe",TRUE,"Joe",30
"Starship","Sara",TRUE,"Sara",30
"The Kingston Trio","Jane, Jane, Jane",TRUE,"Jane",30
"Gene Chandler","Duke Of Earl",FALSE,"Duke",29
"Lloyd Banks Featuring Juelz Santana","Beamer, Benz, Or Bentley",FALSE,"Bentley",29
"2Pac","I Wonder If Heaven Got A Ghetto",FALSE,"Heaven",27
"Black Oak Arkansas","Jim Dandy",TRUE,"Jim",27
"The Kinks","Lola",TRUE,"Lola",26
"Shaggy","Oh Carolina",TRUE,"Carolina",25
"Sheena Easton","Jimmy Mack",TRUE,"Jimmy",25
"Stevie Wonder","Heaven Help Us All",TRUE,"Heaven",25
"B.B. King","Paying The Cost To Be The Boss",TRUE,"Lucille",24
"Elton John","Lucy In The Sky With Diamonds",TRUE,"Lucy",24
"Juliet Simms","Roxanne",TRUE,"Roxanne",24
"Pretty Ricky","On The Hotline",TRUE,"Ricky",24
"Shai","Baby I'm Yours",TRUE,"Baby",24
"The Rembrandts","Just The Way It Is, Baby",TRUE,"Baby",24
"Rednex","Cotton Eye Joe",TRUE,"Joe",23
"Sammy Hagar","Plain Jane",TRUE,"Jane",23
"The Beatles","Hey Jude",TRUE,"Jude",23
"Johnny Horton","Johnny Reb",TRUE,"Johnny",22
"One Direction","Stockholm Syndrome",TRUE,"Baby",22
"Redbone","Maggie",TRUE,"Maggie",22
"Santana","Stormy",TRUE,"Stormy",22
"Sister Sledge","Frankie",TRUE,"Frankie",22
"Three Dog Night","Eli's Coming",TRUE,"Eli",22
"Dolly Parton","Romeo",TRUE,"Romeo",21
"Kris Kross","Jump",TRUE,"Mac",21
"Lady Gaga","Alejandro",TRUE,"Alejandro",21
"Michael Jackson","Dirty Diana",TRUE,"Diana",21
"The Pointer Sisters","American Music",FALSE,"America",21
"Tori Amos","Jackie's Strength",TRUE,"Jackie",21
"Tyga Featuring Young Thug","Hookah",TRUE,"Baby",21
"Dexys Midnight Runners","Come On Eileen",TRUE,"Eileen",20
"Electric Light Orchestra","Calling America",FALSE,"America",20
"Jim Reeves","Billy Bayou",TRUE,"Billy",20
"Kiss","Christine Sixteen",TRUE,"Christine",20
"Paula DeAnda Featuring Baby Bash","Doing Too Much",TRUE,"Baby",20
"The Righteous Brothers","Justine",TRUE,"Justine",20
"Corona","Baby Baby",TRUE,"Baby",19
"David Bowie","I'm Afraid Of Americans",TRUE,"Johnny",19
"Grand Funk Railroad","Sally",TRUE,"Sally",19
"Janis Joplin","Me And Bobby McGee",TRUE,"Bobby",19
"Johnny Winter","Johnny B. Goode",TRUE,"Johnny",19
"Rick Springfield","Bruce",TRUE,"Bruce",19
