"artist","person","name","names","songs"
"10,000 Maniacs",FALSE,"May",1,2
"10,000 Maniacs",FALSE,"Morgan",1,2
"10cc",FALSE,"Heaven",1,4
"10cc",FALSE,"Quentin",1,4
"10cc",TRUE,"Mandy",1,2
"10cc",TRUE,"Sam",1,2
"112",FALSE,"Bentley",1,4
"112",TRUE,"Baby",3,3
"112 Featuring Mase",FALSE,"Cherry",1,1
"112 Featuring Mase",TRUE,"Baby",1,1
"112 Featuring Super Cat",TRUE,"Don",1,1
"112 Featuring Super Cat",TRUE,"Vicki",1,1
"112 Featuring The Notorious B.I.G.",FALSE,"Don",1,1
"112 Featuring The Notorious B.I.G.",TRUE,"Baby",1,1
"112 Featuring The Notorious B.I.G.",TRUE,"Bert",1,1
"112 Featuring The Notorious B.I.G.",TRUE,"Jesus",1,1
"112 Featuring The Notorious B.I.G.",TRUE,"Pablo",1,1
"112 Featuring The Notorious B.I.G.",TRUE,"Tony",1,1
"2 Chainz",TRUE,"Luke",1,1
"2 Chainz Featuring Ariana Grande",FALSE,"Dawn",1,1
"2 Chainz Featuring Drake",FALSE,"Louie",1,1
"2 Chainz Featuring Drake & Lil Wayne",TRUE,"Drake",1,1
"2 Chainz Featuring Drake & Lil Wayne",TRUE,"Johnny",1,1
"2 Chainz Featuring Drake & Lil Wayne",TRUE,"Melissa",1,1
"2 Chainz Featuring Drake & Lil Wayne",TRUE,"Patricia",1,1
"2 Chainz Featuring Kanye West",FALSE,"Louis",1,1
"2 Chainz Featuring Kanye West",FALSE,"Weston",1,1
"2 Chainz Featuring Kendrick Lamar",TRUE,"Ace",1,1
"2 Chainz Featuring Lil Wayne",FALSE,"Holland",1,1
"2 Chainz Featuring Lil Wayne",TRUE,"Amber Rose",1,1
"2 Chainz Featuring Lil Wayne",TRUE,"Brad",1,1
"2 Chainz Featuring Pharrell",FALSE,"Armani",1,1
"2 Chainz Featuring Pharrell",TRUE,"Alexander",1,1
"2 Chainz Featuring Pharrell",TRUE,"Billie",1,1
"2 Chainz Featuring Pharrell",TRUE,"George",1,1
"2 Chainz Featuring Pharrell",TRUE,"Heather",1,1
"2 Chainz Featuring Travis Scott",TRUE,"Alexa",1,2
"2 Chainz Featuring Travis Scott",TRUE,"Billie Jean",1,2
"2 Chainz Featuring Travis Scott",TRUE,"Carter",1,2
"2 Chainz Featuring YG & Offset",TRUE,"Mike",1,1
"2 Chainz x Gucci Mane x Quavo",TRUE,"Andre",1,1
"2 Chainz x Gucci Mane x Quavo",TRUE,"Daniel",1,1
"2 Chainz x Gucci Mane x Quavo",TRUE,"Drake",1,1
"2 Chainz x Gucci Mane x Quavo",TRUE,"Kevin",1,1
"2 Chainz x Gucci Mane x Quavo",TRUE,"Mike",1,1
"2 Pistols Featuring T-Pain & Tay Dizm",FALSE,"Louis",1,1
"2 Unlimited",TRUE,"Ray",1,1
"21 Savage",FALSE,"Bentley",3,7
"21 Savage",FALSE,"Chanel",1,7
"21 Savage",FALSE,"Harley",1,7
"21 Savage",FALSE,"Marcus",1,7
"21 Savage",TRUE,"Baby",1,6
"21 Savage",TRUE,"Becky",1,6
"21 Savage",TRUE,"Cole",1,6
"21 Savage",TRUE,"Daisy",1,6
"21 Savage",TRUE,"Dennis",1,6
"21 Savage",TRUE,"Ella",1,6
"21 Savage",TRUE,"Jerry",1,6
"21 Savage",TRUE,"Keisha",1,6
"21 Savage",TRUE,"Max",1,6
"21 Savage",TRUE,"Reggie",1,6
"21 Savage",TRUE,"Richard",1,6
"21 Savage & Metro Boomin",FALSE,"Louis",1,1
"21 Savage & Metro Boomin",TRUE,"John",1,1
"21 Savage & Metro Boomin",TRUE,"Stuart",1,1
"21 Savage & Metro Boomin Featuring Future",FALSE,"Brandy",1,1
"21 Savage & Metro Boomin Featuring Future",TRUE,"Randy",1,1
"21 Savage, Offset & Metro Boomin",TRUE,"Max",1,1
"21 Savage, Offset & Metro Boomin Featuring Quavo",FALSE,"Louis",1,1
"21 Savage, Offset & Metro Boomin Featuring Quavo",TRUE,"Jesus",1,1
"21 Savage, Offset & Metro Boomin Featuring Travis Scott",TRUE,"Kim",1,1
"21 Savage, Offset & Metro Boomin Featuring Travis Scott",TRUE,"Michael",1,1
"21 Savage, Offset & Metro Boomin Featuring Travis Scott",TRUE,"Tom",1,1
"2Gether",TRUE,"Mickey",1,1
"2nd II None",TRUE,"Jay",1,1
"2Pac",FALSE,"Heaven",2,6
"2Pac",TRUE,"Baby",1,5
"2Pac",TRUE,"Billie",1,5
"2Pac",TRUE,"Corinne",1,5
"2Pac",TRUE,"Elijah",1,5
"2Pac",TRUE,"Huey",1,5
"2Pac",TRUE,"Jackie",1,5
"2Pac",TRUE,"Malcolm",1,5
"2Pac",TRUE,"Marvin",2,5
"2Pac",TRUE,"Miles",1,5
"2Pac",TRUE,"Rodney",1,5
"2Pac",TRUE,"Sam",1,5
"2Pac, Notorious B.I.G., Radio, Dramacydal & Stretch",TRUE,"Allen",1,1
"30 Seconds To Mars",FALSE,"Heaven",1,1
"3OH!3",TRUE,"Baby",1,4
"3OH!3",TRUE,"Daisy",1,4
"3OH!3",TRUE,"Helen",2,4
"3OH!3 Featuring Katy Perry",TRUE,"Daisy",1,1
"3OH!3 Featuring Ke$ha",TRUE,"Baby",1,1
"3rd Bass",FALSE,"Cali",1,1
"3rd Bass",TRUE,"Pete",1,1
"3rd Bass",TRUE,"Sam",1,1
"3T",TRUE,"Baby",1,1
"5 Seconds Of Summer",FALSE,"Heaven",1,2
"5 Seconds Of Summer",FALSE,"London",1,2
"50 Cent",FALSE,"Bentley",3,10
"50 Cent",FALSE,"Cali",1,10
"50 Cent",FALSE,"Don",1,10
"50 Cent",FALSE,"Louis",1,10
"50 Cent",FALSE,"Rose",1,10
"50 Cent",TRUE,"Al",1,7
"50 Cent",TRUE,"Buck",1,7
"50 Cent",TRUE,"Don",1,7
"50 Cent",TRUE,"Enzo",1,7
"50 Cent",TRUE,"Jada",2,7
"50 Cent",TRUE,"Jay",1,7
"50 Cent",TRUE,"Joe",1,7
"50 Cent",TRUE,"Kim",1,7
"50 Cent",TRUE,"Mac",1,7
"50 Cent",TRUE,"Michael",1,7
"50 Cent",TRUE,"Mike",1,7
"50 Cent",TRUE,"Niki",1,7
"50 Cent",TRUE,"Peter",1,7
"50 Cent",TRUE,"Prince",1,7
"50 Cent",TRUE,"Rick",1,7
"50 Cent",TRUE,"Rocky",1,7
"50 Cent Featuring Dr. Dre & Alicia Keys",FALSE,"Miller",1,1
"50 Cent Featuring Eminem & Adam Levine",TRUE,"Buck",1,1
"50 Cent Featuring Eminem & Adam Levine",TRUE,"Michael",1,1
"50 Cent Featuring Nate Dogg",FALSE,"Bentley",1,1
"504 Boyz",TRUE,"Jay",1,1
"69 Boyz",FALSE,"Carolina",1,1
"69 Boyz",FALSE,"Dakota",1,1
"69 Boyz",FALSE,"Virginia",1,1
"6ix9ine",TRUE,"Nina",1,1
"6ix9ine Featuring A Boogie Wit da Hoodie",TRUE,"Scott",1,1
"6ix9ine Featuring A Boogie Wit da Hoodie",TRUE,"Timmy",1,1
"6ix9ine Featuring A Boogie Wit da Hoodie",TRUE,"Tommy",1,1
"6ix9ine Featuring A Boogie Wit da Hoodie",TRUE,"Tracy",1,1
"6ix9ine Featuring Anuel AA",FALSE,"Ella",1,1
"6ix9ine Featuring Anuel AA",TRUE,"Baby",1,1
"6ix9ine Featuring Bobby Shmurda",TRUE,"Bobby",1,1
"6ix9ine Featuring Bobby Shmurda",TRUE,"Jay",1,1
"6ix9ine Featuring Bobby Shmurda",TRUE,"Jimmy",1,1
"6ix9ine Featuring Bobby Shmurda",TRUE,"Nick",1,1
"6ix9ine Featuring Nicki Minaj & Kanye West",TRUE,"Chris",1,1
"6ix9ine Featuring Nicki Minaj & Kanye West",TRUE,"Jesus",1,1
"6ix9ine Featuring Nicki Minaj & Kanye West",TRUE,"Kylie",1,1
"6ix9ine Featuring Nicki Minaj & Kanye West",TRUE,"Roger",1,1
"6ix9ine Featuring Nicki Minaj & Murda Beatz",FALSE,"Brooklyn",1,1
"6ix9ine Featuring Nicki Minaj & Murda Beatz",TRUE,"Khloe",1,1
"6ix9ine Featuring Nicki Minaj & Murda Beatz",TRUE,"Nicki",1,1
"6ix9ine Featuring Nicki Minaj & Murda Beatz",TRUE,"Rocky",1,1
"6ix9ine Featuring Tory Lanez",TRUE,"Bobby",1,1
"6ix9ine Featuring Tory Lanez",TRUE,"Jackie",1,1
"6ix9ine Featuring Tory Lanez",TRUE,"John",1,1
"6ix9ine Featuring Tory Lanez",TRUE,"Ray",1,1
"6ix9ine Featuring Tory Lanez & Young Thug",FALSE,"Bentley",1,1
"6ix9ine Featuring Tory Lanez & Young Thug",FALSE,"Mac",1,1
"6ix9ine Featuring Tory Lanez & Young Thug",FALSE,"Royce",1,1
"702",TRUE,"Baby",1,2
"702",TRUE,"Joe",1,2
"702",TRUE,"Michael",1,2
"98 Degrees",TRUE,"Baby",1,1
"A Boogie Wit da Hoodie",FALSE,"Louis",1,3
