"artist","name","song","person","sentence","year","highestRank"
"Metro Boomin Featuring 21 Savage","Harriet","10 Freaky Girls",TRUE,"Harriet Tubman","2018","42"
"Metro Boomin Featuring 21 Savage","Jess","10 Freaky Girls",TRUE,"For Jess","2018","42"
"Metro Boomin Featuring 21 Savage","Keisha","10 Freaky Girls",TRUE,"Keisha eat the molly like it's candy","2018","42"
"Metro Boomin Featuring 21 Savage","Randy","10 Freaky Girls",TRUE,"Bodyslam a nigga like I'm Randy","2018","42"
"Metro Boomin Featuring 21 Savage","Sandy","10 Freaky Girls",TRUE,"In Bikini Bottom, I'm with Sandy","2018","42"
"Metro Boomin Featuring 21 Savage","Tiffany","10 Freaky Girls",TRUE,"I curve Tiffany, yeah","2018","42"
"Trippie Redd Featuring Juice WRLD","Ike","1400 / 999 Freestyle",TRUE,"I'ma beat the shit up like Ike-y Turner","2018","55"
"Trippie Redd Featuring Juice WRLD","Madison","1400 / 999 Freestyle",TRUE,"These niggas square like Madison, oh","2018","55"
"21 Savage","Bentley","1.5",FALSE,"Rari red, Bentley black","2019","86"
"21 Savage","Ella","1.5",TRUE,"You must look up to Ella","2019","86"
"21 Savage","Jerry","1.5",TRUE,"Savage a.k.a. Jerry Heller","2019","86"
"Meek Mill","Bentley","1942 Flows",FALSE,"Bloggers in the frenzy, truck to the Bentley","2017","83"
"Meek Mill","Billy","1942 Flows",TRUE,"Billy with the stamp, I get two with it'","2017","83"
"Meek Mill","Daniel","1942 Flows",TRUE,"Damn Daniel, why you selling Mr. Miyagi though","2017","83"
"Meek Mill","Jazmine","1942 Flows",TRUE,".40 bust your windows out, Jazmine Sullivan","2017","83"
"Meek Mill","Jesus","1942 Flows",TRUE,"Like I'm Jesus the way she cross me","2017","83"
"Meek Mill","Nicki","1942 Flows",TRUE,"So when you see me out don't ask me about no Nicki","2017","83"
"Meek Mill","Ross","1942 Flows",TRUE,"Ever since I met Ross and signed a dotted line","2017","83"
"Meek Mill","Wendy","1942 Flows",TRUE,"I look like tellin' my business on Wendy","2017","83"
"G-Eazy Featuring Yo Gotti & YBN Nahmir","Baby","1942",TRUE,"Baby hit my line because she see them stars in the roof","2018","70"
"G-Eazy Featuring Yo Gotti & YBN Nahmir","Christian","1942",FALSE,"Red Christian Loubs, I rock designer shoes","2018","70"
"Gunna Featuring Young Thug","Ross","3 Headed Snake",TRUE,"I fucked her at Ross place","2019","74"
"Gunna Featuring Young Thug","Royce","3 Headed Snake",FALSE,"I was in a Royce, I was seeing space","2019","74"
"Future","London","31 Days",FALSE,"Took a few Pakistanians into London","2018","65"
"Zedd & Katy Perry","Baby","365",TRUE,"Baby, you got me changing","2019","86"
"2 Chainz Featuring Travis Scott","Carter","03:59:59.99999999999920125",TRUE,"Reminiscin' 'bout the trap, playin' the first Carter","NA","NA"
"Future","Jerry","4 Da Gang",TRUE,"You see my plain Patek, cost Jerry Rice, nigga","2017","92"
"Future","Seth","4 Da Gang",TRUE,"I was kicking it in overdrive, for Seth Firkins","2017","92"
"Logic","David","44 More",TRUE,"Levitated like I'm David Blaine","2018","65"
"Logic","Elijah","44 More",TRUE,"Yeah, I'm supplyin' the wood like Elijah","2018","65"
"Logic","Harry","44 More",TRUE,"Sold more albums my first week than Harry Styles and Katy Perry","2018","65"
"Logic","Katy","44 More",TRUE,"Sold more albums my first week than Harry Styles and Katy Perry","2018","65"
"Logic","Kevin","44 More",TRUE,"That Kevin Durant, I'm a champion","2018","65"
"Logic","Perry","44 More",TRUE,"Sold more albums my first week than Harry Styles and Katy Perry","2018","65"
"JAY-Z","Paris","04:43:59.99999999999941650",FALSE,"I harassed you out in Paris","NA","NA"
"Lil Uzi Vert","Jay","444+222",TRUE,"Million, on me, Jay Z","2017","100"
"Travis Scott","Kevin","5% Tint",TRUE,"All that fall in love shit she got it Kevin Hart","2018","36"
"Lil Yachty Featuring Trippie Redd","Bentley","66",FALSE,"Racks up, racks up, pullin' out a Bentley truck","2018","73"
"Ariana Grande","Tiffany","7 Rings",TRUE,"Yeah, breakfast at Tiffany's and bottles of bubbles","2019","1"
"Drake","Max","8 Out Of 10",TRUE,"Max said they only bless when they attached to you","2018","21"
