"name","count"
"Aaliyah",69917
"Aaron",557843
"Abagail",5368
"Abbey",16773
"Abbie",21197
"Abbigail",10804
"Abby",55582
"Abdul",5344
"Abdullah",5715
"Abe",8932
"Abel",41245
"Abigail",322051
"Abigale",5206
"Abigayle",5635
"Abner",7033
"Abraham",81459
"Abram",13939
"Abril",6672
"Ace",6538
"Ada",91806
"Adalyn",10725
"Adalynn",8643
"Adam",536164
"Adan",23960
"Addie",44005
"Addison",109778
"Addisyn",6651
"Addyson",12731
"Adela",11842
"Adelaide",22451
"Adele",38374
"Adelina",9025
"Adeline",44754
"Adell",7179
"Adella",5229
"Adelyn",9633
"Aden",17279
"Adina",5759
"Adolfo",15028
"Adolph",18724
"Adonis",6923
"Adria",5808
"Adrian",226908
"Adriana",83593
"Adriane",6325
"Adrianna",41501
"Adrianne",12932
"Adriel",8019
"Adrien",8652
"Adrienne",66122
"Afton",5153
"Agatha",8330
"Agnes",157593
"Agustin",13876
"Ahmad",15467
"Ahmed",12067
"Aida",11773
"Aidan",104685
"Aiden",159629
"Aileen",32851
"Aimee",52672
"Ainsley",12661
"Aisha",19461
"Aiyana",7038
"Aja",7617
"Akeem",5409
"Akira",6804
"Al",17162
"Alaina",33581
"Alan",340148
"Alana",50785
"Alani",5081
"Alanna",19643
"Alayna",22039
"Alba",5702
"Albert",488016
"Alberta",70658
"Albertha",5144
"Alberto",58749
"Alden",14322
"Aldo",14542
"Aleah",10965
"Alec",50566
"Alecia",11755
"Aleena",6950
"Alejandra",48104
"Alejandro",125644
"Alena",11509
"Alene",8652
"Alesha",7299
"Alesia",7210
"Alessandra",14871
"Alessandro",6815
"Aleta",6334
"Aletha",6890
"Alex",269541
"Alexa",108259
"Alexander",624747
"Alexandra",223746
"Alexandrea",8242
"Alexandria",93397
"Alexandro",6222
"Alexi",5178
"Alexia",40536
"Alexis",388463
"Alexus",18469
"Alexzander",5460
"Alfonso",38855
"Alfonzo",5508
"Alfred",242145
"Alfreda",11409
"Alfredo",52991
"Ali",31852
"Alia",8512
"Alice",551034
"Alicia",222834
"Alijah",7984
"Alina",24251
"Aline",14235
"Alisa",32498
"Alisha",54496
"Alison",109130
"Alissa",36713
"Alivia",22166
"Aliya",7593
