"artist","song","sentence","highestRank","year","nonPerson","name"
"Metro Boomin Featuring 21 Savage","10 Freaky Girls","Harriet Tubman","42","2018",NA,"Harriet"
"Metro Boomin Featuring 21 Savage","10 Freaky Girls","For Jess","42","2018",NA,"Jess"
"Metro Boomin Featuring 21 Savage","10 Freaky Girls","Keisha eat the molly like it's candy","42","2018",NA,"Keisha"
"Metro Boomin Featuring 21 Savage","10 Freaky Girls","Bodyslam a nigga like I'm Randy","42","2018",NA,"Randy"
"Metro Boomin Featuring 21 Savage","10 Freaky Girls","In Bikini Bottom, I'm with Sandy","42","2018",NA,"Sandy"
"Metro Boomin Featuring 21 Savage","10 Freaky Girls","I curve Tiffany, yeah","42","2018",NA,"Tiffany"
"Trippie Redd Featuring Juice WRLD","1400 / 999 Freestyle","I'ma beat the shit up like Ike-y Turner","55","2018",NA,"Ike"
"Trippie Redd Featuring Juice WRLD","1400 / 999 Freestyle","I'ma beat the shit up like Ike-y Turner","55","2018",NA,"Ike"
"Trippie Redd Featuring Juice WRLD","1400 / 999 Freestyle","These niggas square like Madison, oh","55","2018",NA,"Madison"
"Trippie Redd Featuring Juice WRLD","1400 / 999 Freestyle","I ball out like Madison, oh","55","2018",NA,"Madison"
"Trippie Redd Featuring Juice WRLD","1400 / 999 Freestyle","These niggas square like Madison, oh","55","2018",NA,"Madison"
"Trippie Redd Featuring Juice WRLD","1400 / 999 Freestyle","I ball out like Madison, oh","55","2018",NA,"Madison"
"21 Savage","1.5","Rari red, Bentley black","86","2019","car","Bentley"
"21 Savage","1.5","You must look up to Ella","86","2019",NA,"Ella"
"21 Savage","1.5","Savage a.k.a. Jerry Heller","86","2019",NA,"Jerry"
"Meek Mill","1942 Flows","Bloggers in the frenzy, truck to the Bentley","83","2017","car","Bentley"
"Meek Mill","1942 Flows","Billy with the stamp, I get two with it'","83","2017",NA,"Billy"
"Meek Mill","1942 Flows","Damn Daniel, why you selling Mr. Miyagi though","83","2017",NA,"Daniel"
"Meek Mill","1942 Flows",".40 bust your windows out, Jazmine Sullivan","83","2017",NA,"Jazmine"
"Meek Mill","1942 Flows","Like I'm Jesus the way she cross me","83","2017",NA,"Jesus"
"Meek Mill","1942 Flows","So when you see me out don't ask me about no Nicki","83","2017",NA,"Nicki"
"Meek Mill","1942 Flows","Ever since I met Ross and signed a dotted line","83","2017",NA,"Ross"
