"letter","dif","position","person"
"A",-1.68670685137322,"first",TRUE
"B",2.12662206998936,"first",TRUE
"C",0.664769221138109,"first",TRUE
"D",-0.985896598907143,"first",TRUE
"E",-0.632931486267741,"first",TRUE
"F",-0.00266059722582446,"first",TRUE
"G",0.0904826636379088,"first",TRUE
"H",0.408077483745763,"first",TRUE
"I",-0.264740602949462,"first",TRUE
"J",-0.0509985064882796,"first",TRUE
"K",-2.52068111288981,"first",TRUE
"L",-1.66383465841509,"first",TRUE
"M",0.727662162283016,"first",TRUE
"N",-0.292531547081392,"first",TRUE
"O",-0.33022706744055,"first",TRUE
"P",1.07092392033412,"first",TRUE
"Q",0.209158714685602,"first",TRUE
"R",1.87458078825223,"first",TRUE
"S",1.23693177244963,"first",TRUE
"T",0.246653013405832,"first",TRUE
"U",-0.141145800727975,"first",TRUE
"V",0.324972946868544,"first",TRUE
"W",0.466118747596519,"first",TRUE
"X",-0.0579741899711135,"first",TRUE
"Y",-0.446108373503135,"first",TRUE
"Z",-0.37051611114589,"first",TRUE
"A",-7.98814133807918,"last",TRUE
"B",0.23688258493789,"last",TRUE
"C",0.042815493171879,"last",TRUE
"D",-0.141347022366903,"last",TRUE
"E",2.10540436606241,"last",TRUE
"F",0.0755922623572444,"last",TRUE
"G",0.206632265219063,"last",TRUE
"H",-0.16907089261919,"last",TRUE
"I",-1.07890571201159,"last",TRUE
"J",NA,"last",TRUE
"K",0.854252931128541,"last",TRUE
"L",-0.305297942173373,"last",TRUE
"M",0.327566470214726,"last",TRUE
"N",-2.97258019800209,"last",TRUE
"O",0.0803768657717523,"last",TRUE
"P",0.0781187118237835,"last",TRUE
"Q",NA,"last",TRUE
"R",0.513852991942191,"last",TRUE
"S",0.796077519518499,"last",TRUE
"T",0.493775543969164,"last",TRUE
"U",0.211685164152141,"last",TRUE
"W",0.0755922623572444,"last",TRUE
"X",-0.00757934839961724,"last",TRUE
"Y",6.59960023967733,"last",TRUE
"Z",0.02014452185267,"last",TRUE
"A",-0.477029432018387,"first",FALSE
"B",2.44920271515065,"first",FALSE
"C",1.30993051146069,"first",FALSE
"D",-0.824606276326498,"first",FALSE
"E",-0.229705679816128,"first",FALSE
"F",0.158629725354821,"first",FALSE
"G",0.251772986218554,"first",FALSE
"H",0.972593612778021,"first",FALSE
"I",-0.184095441659139,"first",FALSE
"J",0.110291816092364,"first",FALSE
"K",-2.27874562901884,"first",FALSE
"L",-1.26060885196348,"first",FALSE
"M",1.3728234526056,"first",FALSE
"N",-0.292531547081392,"first",FALSE
"O",-0.168936744859905,"first",FALSE
"P",1.23221424291476,"first",FALSE
"Q",0.209158714685602,"first",FALSE
"R",2.1165162721232,"first",FALSE
"S",1.4788672563206,"first",FALSE
"T",0.327298174696155,"first",FALSE
"U",-0.141145800727975,"first",FALSE
"V",0.324972946868544,"first",FALSE
"W",0.546763908886842,"first",FALSE
"X",-0.0579741899711135,"first",FALSE
"Y",-0.446108373503135,"first",FALSE
"Z",-0.37051611114589,"first",FALSE
"A",-6.77846391872434,"last",FALSE
"B",0.23688258493789,"last",FALSE
"C",0.042815493171879,"last",FALSE
"D",0.423169106665355,"last",FALSE
"E",2.50863017251402,"last",FALSE
"F",0.0755922623572444,"last",FALSE
"G",0.206632265219063,"last",FALSE
"H",-0.0884257313288681,"last",FALSE
"I",-0.7563250668503,"last",FALSE
"J",NA,"last",FALSE
"K",0.934898092418863,"last",FALSE
"L",0.0979278642782404,"last",FALSE
"M",0.327566470214726,"last",FALSE
"N",-1.76290277864725,"last",FALSE
"O",0.483602672223365,"last",FALSE
"P",0.0781187118237835,"last",FALSE
"Q",NA,"last",FALSE
"R",0.917078798393804,"last",FALSE
"S",1.11865816467979,"last",FALSE
"T",0.655065866549809,"last",FALSE
"U",0.211685164152141,"last",FALSE
"W",0.0755922623572444,"last",FALSE
"X",0.0730658128907053,"last",FALSE
"Y",7.08347120741927,"last",FALSE
"Z",0.02014452185267,"last",FALSE
