id,city,state,population,latitude,longitude,gestation_8_duration,gestation_8_duration_closed,gestation_12_duration,gestation_12_duration_closed,gestation_16_duration,gestation_16_duration_closed,gestation_20_duration,gestation_20_duration_closed
new-york-new-york,New York,New York,8550405,40.712784,-74.005941,0,0,0,0,0,0,0,0
los-angeles-california,Los Angeles,California,3971883,34.052234,-118.243685,0,0,0,0,0,0,0,0
chicago-illinois,Chicago,Illinois,2720546,41.878114,-87.629798,0,0,0,0,0,0,0,0
houston-texas,Houston,Texas,2296224,29.760427,-95.369803,0,0,0,0,0,0,0,4
philadelphia-pennsylvania,Philadelphia,Pennsylvania,1567442,39.952584,-75.165222,0,0,0,0,0,0,0,0
phoenix-arizona,Phoenix,Arizona,1563025,33.448377,-112.074037,0,0,0,0,0,0,0,0
san-antonio-texas,San Antonio,Texas,1469845,29.424122,-98.493628,0,0,0,0,0,0,0,2
san-diego-california,San Diego,California,1394928,32.715738,-117.161084,0,0,0,0,0,0,0,0
dallas-texas,Dallas,Texas,1300092,32.776664,-96.796988,0,0,0,0,0,0,0,5
san-jose-california,San Jose,California,1026908,37.338208,-121.886329,0,0,0,0,0,0,0,1
austin-texas,Austin,Texas,931830,30.267153,-97.743061,0,0,0,0,0,0,0,2
indianapolis-indiana,Indianapolis,Indiana,853173,39.768403,-86.158068,0,0,0,0,0,3,0,4
jacksonville-florida,Jacksonville,Florida,868031,30.332184,-81.655651,0,0,0,0,0,0,0,0
san-francisco-california,San Francisco,California,864816,37.774929,-122.419415,0,0,0,0,0,0,0,0
columbus-ohio,Columbus,Ohio,850106,39.961176,-82.998794,0,0,0,0,0,0,2,4
charlotte-north-carolina,Charlotte,North Carolina,827097,35.227087,-80.843127,0,0,0,0,0,0,0,2
fort-worth-texas,Fort Worth,Texas,833319,32.755488,-97.330766,0,0,0,0,0,1,1,5
detroit-michigan,Detroit,Michigan,677116,42.331427,-83.045754,0,0,0,0,0,0,0,0
el-paso-texas,El Paso,Texas,681124,31.761878,-106.485022,0,0,0,0,7,7,7,12
memphis-tennessee,Memphis,Tennessee,655770,35.149534,-90.048980,0,0,0,0,4,5,4,7
seattle-washington,Seattle,Washington,684451,47.606209,-122.332071,0,0,0,0,0,0,0,0
denver-colorado,Denver,Colorado,682545,39.739236,-104.990251,0,0,0,0,0,0,0,0
washington-district-of-columbia,Washington,District of Columbia,672228,38.907192,-77.036871,0,0,0,0,0,0,0,0
boston-massachusetts,Boston,Massachusetts,667137,42.360082,-71.058880,0,0,0,0,0,0,0,0
nashville-davidson-tennessee,Nashville,Tennessee,654610,36.162664,-86.781602,0,0,0,0,0,3,3,7
baltimore-maryland,Baltimore,Maryland,621849,39.290385,-76.612189,0,0,0,0,0,0,0,0
oklahoma-city-oklahoma,Oklahoma City,Oklahoma,631346,35.467560,-97.516428,0,0,0,0,0,4,0,4
louisville-jefferson-county-kentucky,Louisville,Kentucky,615366,38.252665,-85.758456,0,3,0,3,0,3,3,4
portland-oregon,Portland,Oregon,632309,45.523062,-122.676481,0,0,0,0,0,4,0,4
las-vegas-nevada,Las Vegas,Nevada,623747,36.169941,-115.139830,0,0,0,0,0,0,0,0
milwaukee-wisconsin,Milwaukee,Wisconsin,600155,43.038902,-87.906474,0,0,0,0,0,0,0,2
albuquerque-new-mexico,Albuquerque,New Mexico,559121,35.085334,-106.605553,0,0,0,0,0,0,0,12
tucson-arizona,Tucson,Arizona,531641,32.221743,-110.926479,0,3,3,3,3,3,3,3
fresno-california,Fresno,California,520052,36.746842,-119.772587,0,0,0,0,0,0,0,3
sacramento-california,Sacramento,California,490712,38.581572,-121.494400,0,0,0,0,0,0,0,0
long-beach-california,Long Beach,California,474140,33.770050,-118.193740,0,0,0,0,0,0,0,0
kansas-city-missouri,Kansas City,Missouri,475378,39.099727,-94.578567,0,0,0,0,0,0,0,0
mesa-arizona,Mesa,Arizona,471825,33.415184,-111.831472,0,0,0,0,0,0,0,1
virginia-beach-virginia,Virginia Beach,Virginia,452745,36.852926,-75.977985,0,0,0,0,3,6,6,6
atlanta-georgia,Atlanta,Georgia,463878,33.748995,-84.387982,0,0,0,0,0,0,0,0
colorado-springs-colorado,Colorado Springs,Colorado,456568,38.833882,-104.821363,0,1,0,2,0,2,2,2
omaha-nebraska,Omaha,Nebraska,443885,41.252363,-95.997988,0,0,0,0,0,0,0,5
raleigh-north-carolina,Raleigh,North Carolina,451066,35.779590,-78.638179,0,0,0,0,0,0,0,1
miami-florida,Miami,Florida,441003,25.761680,-80.191790,0,0,0,0,0,0,0,0
oakland-california,Oakland,California,419267,37.804364,-122.271114,0,0,0,0,0,0,0,0
minneapolis-minnesota,Minneapolis,Minnesota,410939,44.977753,-93.265011,0,0,0,0,0,0,0,0
tulsa-oklahoma,Tulsa,Oklahoma,403505,36.153982,-95.992775,0,3,0,3,3,5,3,5
cleveland-ohio,Cleveland,Ohio,388072,41.499320,-81.694361,0,0,0,0,0,1,0,5
wichita-kansas,Wichita,Kansas,389965,37.687176,-97.330053,0,4,0,4,0,4,0,4
arlington-texas,Arlington,Texas,388125,32.735687,-97.108066,0,0,0,0,0,1,1,6
new-orleans-louisiana,New Orleans,Louisiana,389617,29.951066,-90.071532,0,2,0,2,0,2,8,10
bakersfield-california,Bakersfield,California,373640,35.373292,-119.018713,0,3,0,3,0,3,0,2
tampa-florida,Tampa,Florida,369075,27.950575,-82.457178,0,0,0,0,0,0,0,0
aurora-colorado,Aurora,Colorado,359407,39.729432,-104.831919,0,0,0,0,0,0,0,0
anaheim-california,Anaheim,California,350742,33.836593,-117.914301,0,0,0,0,0,0,0,0
santa-ana-california,Santa Ana,California,335400,33.745472,-117.867653,0,0,0,0,0,0,0,0
st--louis-missouri,St. Louis,Missouri,315685,38.627003,-90.199404,0,0,0,0,0,0,0,0
riverside-california,Riverside,California,322424,33.953349,-117.396156,0,0,0,0,0,0,0,0
corpus-christi-texas,Corpus Christi,Texas,324074,27.800583,-97.396381,3,4,3,4,3,4,4,6
lexington-fayette-kentucky,Lexington,Kentucky,314488,38.040584,-84.503716,2,2,2,2,2,2,4,5
pittsburgh-pennsylvania,Pittsburgh,Pennsylvania,304391,40.440625,-79.995886,0,0,0,0,0,0,4,7
stockton-california,Stockton,California,305658,37.957702,-121.290780,0,0,0,1,0,1,1,1
cincinnati-ohio,Cincinnati,Ohio,298550,39.103118,-84.512020,0,0,0,0,0,1,1,3
st--paul-minnesota,St. Paul,Minnesota,300851,44.953703,-93.089958,0,0,0,0,0,0,0,0
toledo-ohio,Toledo,Ohio,279789,41.663938,-83.555212,0,1,0,1,1,1,1,2
greensboro-north-carolina,Greensboro,North Carolina,285342,36.072635,-79.791975,0,1,0,1,0,1,0,1
newark-new-jersey,Newark,New Jersey,281944,40.735657,-74.172367,0,0,0,1,1,1,1,1
plano-texas,Plano,Texas,283558,33.019843,-96.698886,0,0,0,0,0,0,0,6
henderson-nevada,Henderson,Nevada,285667,36.039525,-114.981721,0,0,0,0,0,0,0,0
lincoln-nebraska,Lincoln,Nebraska,277348,40.825763,-96.685198,0,1,0,1,0,1,2,6
buffalo-new-york,Buffalo,New York,258071,42.886447,-78.878369,0,0,0,0,0,0,6,7
jersey-city-new-jersey,Jersey City,New Jersey,264290,40.728157,-74.077642,0,0,0,1,1,1,1,1
chula-vista-california,Chula Vista,California,265757,32.640054,-117.084196,0,0,0,0,0,0,0,0
fort-wayne-indiana,Fort Wayne,Indiana,260326,41.079273,-85.139351,3,3,3,3,3,4,3,4
orlando-florida,Orlando,Florida,270934,28.538335,-81.379237,0,0,0,0,0,0,0,0
st--petersburg-florida,St. Petersburg,Florida,257083,27.751828,-82.626734,0,0,0,0,0,0,0,0
chandler-arizona,Chandler,Arizona,260828,33.306160,-111.841250,0,1,0,1,0,1,1,1
laredo-texas,Laredo,Texas,255473,27.530567,-99.480324,4,4,4,4,4,4,4,6
norfolk-virginia,Norfolk,Virginia,246393,36.850769,-76.285873,0,0,0,0,3,6,6,6
durham-north-carolina,Durham,North Carolina,257636,35.994033,-78.898619,0,0,0,0,0,0,0,0
madison-wisconsin,Madison,Wisconsin,248951,43.073052,-89.401230,0,2,0,2,0,2,2,4
lubbock-texas,Lubbock,Texas,249042,33.577863,-101.855166,8,9,8,9,8,9,10,10
irvine-california,Irvine,California,256927,33.684567,-117.826505,0,0,0,0,0,0,0,0
winston-salem-north-carolina,Winston-Salem,North Carolina,241218,36.099860,-80.244216,0,0,0,0,0,2,0,2
glendale-arizona,Glendale,Arizona,240126,33.538652,-112.185987,0,0,0,0,0,0,0,1
garland-texas,Garland,Texas,236897,32.912624,-96.638883,0,0,0,0,0,0,0,6
hialeah-florida,Hialeah,Florida,237069,25.857596,-80.278106,0,0,0,0,0,0,0,0
reno-nevada,Reno,Nevada,241445,39.529633,-119.813803,0,3,0,3,0,3,0,3
chesapeake-virginia,Chesapeake,Virginia,235429,36.768209,-76.287493,0,0,0,0,3,5,5,6
gilbert-arizona,Gilbert,Arizona,247542,33.352826,-111.789027,0,1,0,1,0,1,1,1
baton-rouge-louisiana,Baton Rouge,Louisiana,228590,30.449240,-91.185607,0,2,0,2,0,2,7,10
irving-texas,Irving,Texas,236607,32.814018,-96.948894,0,0,0,0,0,0,0,6
scottsdale-arizona,Scottsdale,Arizona,236839,33.494170,-111.926052,0,0,0,0,0,0,0,0
north-las-vegas-nevada,North Las Vegas,Nevada,234807,36.198859,-115.117501,0,0,0,0,0,0,0,0
fremont-california,Fremont,California,232206,37.548270,-121.988572,0,0,0,0,0,1,1,1
boise-city-idaho,Boise City,Idaho,218281,43.618710,-116.214607,0,0,0,8,8,10,10,11
richmond-virginia,Richmond,Virginia,220289,37.540725,-77.436048,0,0,0,0,0,3,3,3
