"name","college","link","smallMult","rank","draft_year","draft_rd","draft_pk","recruit_year","avgRank","top","highSchool","coll","draft","rookie","valid_seasons","allstar","bad","good","great","highest"
"Al Harrington","","/players/h/harrial01.html",0,1,1998,1,25,1998,96.9,1,1,2,1,1,11,,,1,,"good"
"Rashard Lewis","","/players/l/lewisra02.html",0,2,1998,2,32,1998,20,1,1,2,1,1,12,1,,,,"allstar"
"Korleone Young","","/players/y/youngko01.html",0,3,1998,2,40,1998,,1,1,2,1,0,0,,,,,"rookie"
"Dan Gadzuric","University of California, Los Angeles","/players/g/gadzuda01.html",1,4,2002,2,34,1998,90.5,1,1,1,1,1,1,,,1,,"good"
"Stromile Swift","Louisiana State University","/players/s/swiftst01.html",0,5,2000,1,2,1998,126,1,1,1,1,1,2,,1,,,"bad"
"Ronald Curry","University of North Carolina","https://www.sports-reference.com/cbb/players/ronald-curry-1.html",1,6,,,,1998,,1,1,0,,,,,,,,"college"
"JaRon Rush","University of California, Los Angeles","https://www.sports-reference.com/cbb/players/jaron-rush-1.html",1,7,,,,1998,,1,1,0,,,,,,,,"college"
"Joel Przybilla","University of Minnesota","/players/p/przybjo01.html",0,8,2000,1,9,1998,97.6666666666667,1,1,1,1,1,3,,,1,,"good"
"Quentin Richardson","DePaul University","/players/r/richaqu01.html",0,9,2000,1,18,1998,74.8,1,1,1,1,1,7,,,1,,"good"
"Jason Capel","University of North Carolina","https://www.sports-reference.com/cbb/players/jason-capel-1.html",1,10,,,,1998,,1,1,0,,,,,,,,"college"
"Vincent Yarbrough","University of Tennessee","/players/y/yarbrvi01.html",1,11,2002,2,33,1998,,1,1,1,1,0,0,,,,,"rookie"
"Tayshaun Prince","University of Kentucky","/players/p/princta01.html",1,12,2002,1,23,1998,29.6,1,1,1,1,1,11,1,,,,"allstar"
"Mike Miller","University of Florida","/players/m/millemi01.html",1,13,2000,1,5,1998,63.8,1,1,1,1,1,11,,,1,,"good"
"Dane Fife","Indiana University","https://www.sports-reference.com/cbb/players/dane-fife-1.html",0,14,,,,1998,,1,1,0,,,,,,,,"college"
"Kevin Lyde","Temple University","https://www.sports-reference.com/cbb/players/kevin-lyde-1.html",0,14,,,,1998,,1,1,0,,,,,,,,"college"
"Ray Young","University of California, Los Angeles","https://www.sports-reference.com/cbb/players/ray-young-1.html",1,16,,,,1998,,1,1,0,,,,,,,,"college"
