"schoolName","state","item","type","prohibited"
"RUSK H S","TX","pillows","accessories","none"
"RUSK H S","TX","stuffed animals","accessories","none"
"EAST HIGH","UT","dangling belts","accessories","none"
"TOMAHAWK HIGH","WI","wallet chains","accessories","none"
"TOMAHAWK HIGH","WI","backpacks","accessories","none"
"TOMAHAWK HIGH","WI","shoulder bags","accessories","none"
"TOMAHAWK HIGH","WI","athletic bags","accessories","none"
"TOMAHAWK HIGH","WI","purses","accessories","none"
"OOLOGAH-TALALA HS","OK","wallet chains","accessories","none"
"LA FERIA H S","TX","wallet chains","accessories","none"
"MOHONASEN SENIOR HIGH SCHOOL","NY","pins","accessories","none"
"TEAGUE H S","TX","pillows","accessories","none"
"NORTHGLENN HIGH SCHOOL","CO","arm bands","accessories","none"
"NORTHGLENN HIGH SCHOOL","CO","goggles","accessories","none"
"PARK VISTA COMMUNITY HIGH SCHOOL","FL","damaging to property","accessories","none"
"PARK VISTA COMMUNITY HIGH SCHOOL","FL","wallet chains","accessories","none"
"LATHROP HIGH","CA","belt buckles with initials","accessories","none"
"LATHROP HIGH","CA","belts hanging out of pants","accessories","none"
"LATHROP HIGH","CA","damaging to property","accessories","none"
"DEL MAR HIGH","CA","dangling belts","accessories","none"
"ANAMOSA HIGH SCHOOL","IA","backpacks","accessories","none"
"RIO RANCHO HIGH","NM","wallet chains","accessories","none"
"RIO RANCHO HIGH","NM","extended belts","accessories","none"
"BREMOND H S","TX","wallet chains","accessories","none"
"JULIAN HIGH","CA","wallet chains","accessories","none"
"LATHROP HIGH SCHOOL","AK","belt buckles with gang initials","accessories","none"
"LATHROP HIGH SCHOOL","AK","wallet chains","accessories","none"
"LATHROP HIGH SCHOOL","AK","safety pins","accessories","none"
"LATHROP HIGH SCHOOL","AK","earrings connected to nose ring","accessories","none"
"MILTON HIGH","WI","wallet chains","accessories","none"
"SOUTHERN COLUMBIA HS","PA","leg bands","accessories","none"
"SOUTHERN COLUMBIA HS","PA","outside apparel","accessories","none"
"SOUTHERN COLUMBIA HS","PA","outergarments","accessories","none"
"ELKO HIGH SCHOOL","NV","safety pins","accessories","none"
"IRONTON HIGH SCHOOL","OH","wallet chains","accessories","none"
"IRONTON HIGH SCHOOL","OH","knife sheath","accessories","none"
"IRONTON HIGH SCHOOL","OH","hoop piercings except for ears","accessories","none"
"IRONTON HIGH SCHOOL","OH","athletic bags","accessories","none"
"SOUTH JEFFERSON HIGH SCHOOL","NY","wallet chains","accessories","none"
"SOUTH JEFFERSON HIGH SCHOOL","NY","belt chains","accessories","none"
"SIMSBURY HIGH SCHOOL","CT","damaging to property","accessories","none"
"NORTHBRIDGE HIGH","MA","headphones","accessories","none"
"NORTHBRIDGE HIGH","MA","wallet chains","accessories","none"
"NORTHBRIDGE HIGH","MA","backpacks","accessories","none"
"LOUISIANA HIGH","MO","wallet chains","accessories","none"
"BUTLER HIGH SCHOOL","OH","robe","accessories","none"
"BUTLER HIGH SCHOOL","OH","wallet chains","accessories","none"
"FRUITVALE H S","TX","wallet chains","accessories","none"
"FRUITVALE H S","TX","chain belts","accessories","none"
"FRUITVALE H S","TX","large-link chains","accessories","none"
"MOUNDS HS","OK","wallet chains","accessories","none"
