"schoolName","state","item","type","prohibited"
"OAK GROVE HIGH","MO","pagers","accessories","none"
"OAK GROVE HIGH","MO","laser lights","accessories","none"
"MCLOUTH HIGH","KS","unfastened suspenders","accessories","none"
"TATUM H S","TX","suspenders not on shoulders","accessories","none"
"CEDAR CITY HIGH","UT","wallet chains","accessories","none"
"LAWSON HIGH","MO","wallet chains","accessories","none"
"LAWSON HIGH","MO","belt chains","accessories","none"
"ELGIN HS","OK","unattached sleeves","accessories","none"
"EAST LAURENS HIGH SCHOOL","GA","goggles","accessories","none"
"EAST LAURENS HIGH SCHOOL","GA","pillows","accessories","none"
"HENRIETTA H S","TX","unusual jewelry","accessories","none"
"HENRIETTA H S","TX","non-traditional jewelry","accessories","none"
"HENRIETTA H S","TX","wallet chains","accessories","none"
"GRANBURY H S","TX","belt chains","accessories","none"
"GRANBURY H S","TX","wallet chains","accessories","none"
"GRANBURY H S","TX","safety pins","accessories","none"
"NORTH ANDREW HIGH","MO","wallet chains","accessories","none"
"BANKS COUNTY HIGH SCHOOL","GA","can be used as drug paraphernalia","accessories","none"
"BANKS COUNTY HIGH SCHOOL","GA","poncho","accessories","none"
"WEATHERFORD H S","TX","noisy jewelry","accessories","none"
"WEATHERFORD H S","TX","wallet chains","accessories","none"
"CORNWALL CENTRAL HIGH SCHOOL","NY","dangling straps","accessories","none"
"CENTRAL HIGH SCHOOL","IA","backpacks","accessories","none"
"CENTRAL HIGH SCHOOL","IA","athletic bags","accessories","none"
"CENTRAL HIGH SCHOOL","IA","headphones","accessories","none"
"WEST STOKES HIGH","NC","unfastened belts","accessories","none"
"WEST STOKES HIGH","NC","belts worn somewhere other than waistline","accessories","none"
"NORTH CARROLL HIGH","MD","damaging to property","accessories","none"
"MCGREGOR H S","TX","suspenders not on shoulders","accessories","none"
"MCGREGOR H S","TX","pocket chains","accessories","none"
"MCGREGOR H S","TX","wallet chains","accessories","none"
"ADM SENIOR HIGH SCHOOL","IA","unfastened belts","accessories","none"
"ADM SENIOR HIGH SCHOOL","IA","scarves","accessories","none"
"BASTROP H S","TX","neck band","accessories","none"
"BASTROP H S","TX","leg bands","accessories","none"
"BASTROP H S","TX","arm bands","accessories","none"
"MARINETTE HIGH","WI","vests","accessories","none"
"MARINETTE HIGH","WI","backpacks","accessories","none"
"MARINETTE HIGH","WI","handcuffs","accessories","none"
"WELDON VALLEY HIGH SCHOOL","CO","snuggies","accessories","none"
"SHADOW HILLS HIGH","CA","wallet chains","accessories","none"
"LAINGSBURG HIGH SCHOOL","MI","earmuffs","accessories","none"
"COLUMBIA HIGH SCHOOL","NY","flags","accessories","none"
"COLUMBIA HIGH SCHOOL","NY","wallet chains","accessories","none"
"HALLSVILLE H S","TX","expensive jewelry","accessories","none"
"DOVER HS","OK","earmuffs","accessories","none"
"DOVER HS","OK","wallet chains","accessories","none"
"CREEKVIEW H S","TX","wristbands","accessories","none"
"MORENCI HIGH SCHOOL","AZ","dangling belts","accessories","none"
"WESTON RANCH HIGH","CA","punched out belts","accessories","none"
"WESTON RANCH HIGH","CA","exposed belts","accessories","none"
"LANDER VALLEY HIGH SCHOOL","WY","wallet chains longer than fingertip","accessories","none"
"SKIATOOK HS","OK","wallet chains","accessories","none"
"SKIATOOK HS","OK","belt chains","accessories","none"
"WEST DELAWARE HIGH SCHOOL","IA","backpacks","accessories","none"
"WEST DELAWARE HIGH SCHOOL","IA","oversized purses","accessories","none"
"WEST DELAWARE HIGH SCHOOL","IA","tools","accessories","none"
"NEWPORT MIDDLE HIGH SCHOOL (HIGH)","NH","keys","accessories","none"
"BELLPORT SENIOR HIGH SCHOOL","NY","unfastened belts","accessories","none"
"BELLPORT SENIOR HIGH SCHOOL","NY","ninja stars","accessories","none"
"BOWLEGS HS","OK","headphones","accessories","none"
"PIEDMONT HS","OK","wallet chains","accessories","none"
"RIVERDALE HIGH SCHOOL","FL","wallet chains","accessories","none"
"RIVERDALE HIGH SCHOOL","FL","pillow","accessories","none"
"RIVERDALE HIGH SCHOOL","FL","stuffed animals","accessories","none"
"KENYON-WANAMINGO SENIOR HIGH","MN","gang related shoestrings","accessories","none"
"KENYON-WANAMINGO SENIOR HIGH","MN","gang-related wristbands","accessories","none"
"TARKINGTON H S","TX","noisy jewelry","accessories","none"
"AZLE H S","TX","wallet chains","accessories","none"
"APPOQUINIMINK HIGH SCHOOL","DE","long chains","accessories","none"
"QUANAH H S","TX","cords","accessories","none"
"QUANAH H S","TX","buckles","accessories","none"
"QUANAH H S","TX","excessive material attached to clothing","accessories","none"
"FONTANA HIGH","CA","wallet chains","accessories","none"
"HARLOWTON HIGH SCHOOL","MT","status bearing items","accessories","none"
"OAK CREEK HIGH","WI","pocket chains","accessories","none"
"OAK CREEK HIGH","WI","wallet chains","accessories","none"
"MARATHON HIGH","WI","wallet chains","accessories","none"
"ROGERS H S","TX","unfastened belts","accessories","none"
"ROGERS H S","TX","dangling ends on suspenders","accessories","none"
"ROGERS H S","TX","wallet chains","accessories","none"
"ROGERS H S","TX","pocket chains","accessories","none"
"ROGERS H S","TX","jackets","accessories","none"
"EXCELSIOR SPRINGS HIGH","MO","safety pins","accessories","none"
"BYRON NELSON H S","TX","distracting accessories","accessories","none"
"BYRON NELSON H S","TX","wallet chains","accessories","none"
"BYRON NELSON H S","TX","cords","accessories","none"
"BYRON NELSON H S","TX","ropes","accessories","none"
"QUEEN CITY H S","TX","dangling belts","accessories","none"
"QUEEN CITY H S","TX","hanging belts","accessories","none"
"MACON SR. HIGH","MO","pillows","accessories","none"
"MACON SR. HIGH","MO","blankets","accessories","none"
"MACON SR. HIGH","MO","bedding","accessories","none"
"SEDRO WOOLLEY SENIOR HIGH SCHOOL","WA","hanging belts","accessories","none"
"RANCHO VERDE HIGH","CA","belt chains","accessories","none"
"RANCHO VERDE HIGH","CA","pocket chains","accessories","none"
"RANCHO VERDE HIGH","CA","wallet chains","accessories","none"
"RANCHO VERDE HIGH","CA","electronic equipment","accessories","none"
"SOUTH SENIOR HIGH","MN","eye coverings","accessories","none"
"SINTON H S","TX","watch chains","accessories","none"
"SINTON H S","TX","belt chains","accessories","none"
"SINTON H S","TX","leashes","accessories","none"
"SINTON H S","TX","watches","accessories","none"
"SINTON H S","TX","rings","accessories","none"
"SINTON H S","TX","purses","accessories","none"
"INDEPENDENCE HIGH SCHOOL","MS","wallet chains","accessories","none"
"INDEPENDENCE HIGH SCHOOL","MS","wristbands","accessories","none"
"INDEPENDENCE HIGH SCHOOL","MS","uncovered court ordered monitor","accessories","none"
"BLUE RIDGE H S","TX","pocket knives","accessories","none"
"BLUE RIDGE H S","TX","knife sheath","accessories","none"
"BLUE RIDGE H S","TX","excessive jewelry","accessories","none"
"BLUE RIDGE H S","TX","dog chains","accessories","none"
"BLUE RIDGE H S","TX","wallet chains","accessories","none"
"LA JOLLA HIGH","CA","wallet chains","accessories","none"
"NORTH HS","OK","bike chains","accessories","none"
"THUNDER RIDGE HIGH SCHOOL","KS","pliers","accessories","none"
"CALERA HIGH SCH","AL","backpacks","accessories","none"
"PEKIN COMMUNITY HIGH SCHOOL","IA","wallet chains","accessories","none"
"PEKIN COMMUNITY HIGH SCHOOL","IA","long chains","accessories","none"
"BRINDLEE MT HIGH SCH","AL","wallet chains","accessories","none"
"BRINDLEE MT HIGH SCH","AL","bike chains","accessories","none"
"BRINDLEE MT HIGH SCH","AL","wheeled backpacks","accessories","none"
"BRINDLEE MT HIGH SCH","AL","athletic bags","accessories","none"
"SAN JON HIGH","NM","belt chains","accessories","none"
"SAN JON HIGH","NM","wallet chains","accessories","none"
"LEAVENWORTH SR HIGH","KS","pocket chains","accessories","none"
"GRIFFIN HIGH SCHOOL","GA","wallet chains","accessories","none"
"CENTURY HIGH","MD","damaging to property","accessories","none"
"OLTON H S","TX","large dangling earrings","accessories","none"
"OLTON H S","TX","dangling belts","accessories","none"
"LITTLE MIAMI HIGH SCHOOL","OH","long belts","accessories","none"
"LITTLE MIAMI HIGH SCHOOL","OH","jackets","accessories","none"
"LITTLE MIAMI HIGH SCHOOL","OH","backpacks","accessories","none"
"LITTLE MIAMI HIGH SCHOOL","OH","oversized purses","accessories","none"
"JEFFERSON HIGH","WI","wallet chains","accessories","none"
"JEFFERSON HIGH","WI","hip chains","accessories","none"
"CEDAR GROVE-BELGIUM HIGH","WI","backpacks","accessories","none"
"GLEN ROSE H S","TX","flags","accessories","none"
"MONROE-WOODBURY HIGH SCHOOL","NY","jackets","accessories","none"
"PERRY CENTRAL HIGH SCHOOL","MS","jackets","accessories","none"
"PERRY CENTRAL HIGH SCHOOL","MS","things dangling from waistband","accessories","none"
"PERRY CENTRAL HIGH SCHOOL","MS","things dangling from pockets","accessories","none"
"PERRY CENTRAL HIGH SCHOOL","MS","unfastened belts","accessories","none"
"PERRY CENTRAL HIGH SCHOOL","MS","unfastened suspenders","accessories","none"
"LEOMINSTER HIGH SCHOOL","MA","jackets","accessories","none"
"MADRAS HIGH SCHOOL","OR","hanging belts","accessories","none"
"MADRAS HIGH SCHOOL","OR","buckles with inappropriate symbols","accessories","none"
"MADRAS HIGH SCHOOL","OR","wallet chains","accessories","none"
"MADRAS HIGH SCHOOL","OR","keychains","accessories","none"
"MADRAS HIGH SCHOOL","OR","dog chains","accessories","none"
"LEHIGH SENIOR HIGH SCHOOL","FL","wallet chains","accessories","none"
"PLAINWELL HIGH SCHOOL","MI","headphones","accessories","none"
"CIMARRON HS","OK","wallet chains","accessories","none"
"HAMILTON HIGH SCHOOL","AZ","wallet chains","accessories","none"
"PALACIOS H S","TX","unfastened belts","accessories","none"
"PALACIOS H S","TX","wallet chains","accessories","none"
"GRANTSBURG HIGH","WI","jackets","accessories","none"
"GRANTSBURG HIGH","WI","backpacks","accessories","none"
"UNIONVILLE-SEBEWAING HIGH SCHOOL","MI","wallet chains","accessories","Na"
"OMRO HIGH","WI","wallet chains","accessories","none"
"OMRO HIGH","WI","backpacks","accessories","none"
"OMRO HIGH","WI","purses","accessories","none"
"PIERCE COUNTY HIGH SCHOOL","GA","unfastened belts","accessories","none"
"PIERCE COUNTY HIGH SCHOOL","GA","pillows","accessories","none"
"PIERCE COUNTY HIGH SCHOOL","GA","stuffed animals","accessories","none"
"SOUTH ALBANY HIGH SCHOOL","OR","belt buckles with gang symbols","accessories","none"
"SOUTH ALBANY HIGH SCHOOL","OR","hanging belts","accessories","none"
"SOUTH ALBANY HIGH SCHOOL","OR","wallet chains","accessories","none"
"SOUTH ALBANY HIGH SCHOOL","OR","keychains","accessories","none"
"SOUTH ALBANY HIGH SCHOOL","OR","dog chains","accessories","none"
"SOUTH ALBANY HIGH SCHOOL","OR","security chains","accessories","none"
"SOUTH ALBANY HIGH SCHOOL","OR","headphones","accessories","none"
"CONNALLY HIGH SCHOOL","TX","wallet chains","accessories","none"
"CONNALLY HIGH SCHOOL","TX","gang related jewelry","accessories","none"
"CONNALLY HIGH SCHOOL","TX","oversized necklaces","accessories","none"
"CONNALLY HIGH SCHOOL","TX","dog chains","accessories","none"
"CONNALLY HIGH SCHOOL","TX","long chains","accessories","none"
"CLEAR BROOK H S","TX","leather accessories","accessories","na"
"SLEEPY HOLLOW HIGH SCHOOL","NY","jackets","accessories","na"
"MEMORIAL HS","OK","bike chains","accessories","na"
"MEMORIAL HS","OK","dog chains","accessories","na"
"TEMPLE H S","TX","medallions","accessories","na"
"HAVERLING SENIOR HIGH SCHOOL","NY","backpacks","accessories","na"
"HAVERLING SENIOR HIGH SCHOOL","NY","handbags","accessories","na"
"HAVERLING SENIOR HIGH SCHOOL","NY","purses","accessories","na"
"CARTER COUNTY HIGH SCHOOL","MT ","backpacks","accessories","na"
"LOMIRA HIGH","WI","backpacks","accessories","na"
"LOMIRA HIGH","WI","totebags","accessories","na"
"LOMIRA HIGH","WI","purses","accessories","na"
"ASSETS","TX","oversized jackets","accessories","none"
"CLEAR CREEK HIGH SCHOOL","CO","spike collars","accessories","none"
"CLEAR CREEK HIGH SCHOOL","CO","wristbands","accessories","none"
"CLEAR CREEK HIGH SCHOOL","CO","chain belts","accessories","none"
"CLEAR CREEK HIGH SCHOOL","CO","wallet chains","accessories","none"
"BURKBURNETT H S","TX","spacers","accessories","none"
"EDISON ACADEMY","MA","scarves","accessories","none"
"EDISON ACADEMY","MA","outergarments","accessories","none"
"GRAHAM HS","OK","wallet chains","accessories","none"
"GRAHAM HS","OK","house coats","accessories","none"
"FRANKLIN HIGH","MA","harm inflicting devices","accessories","none"
"GLEN ULLIN HIGH SCHOOL","ND","jackets","accessories","none"
"QUARTZ HILL HIGH","CA","wristbands","accessories","none"
"STRAFFORD HIGH","MO","loose straps","accessories","none"
"QUINCY HIGH SCHOOL","WA","hanging belts","accessories","none"
"QUINCY HIGH SCHOOL","WA","hanging suspenders","accessories","none"
"QUINCY HIGH SCHOOL","WA","full cut ponchos","accessories","none"
"POTOSI HIGH","WI","hanging suspenders","accessories","none"
"POTOSI HIGH","WI","unfastened belts","accessories","none"
"POTOSI HIGH","WI","wallet chains","accessories","none"
"CLINTON HIGH","WI","hanging belts","accessories","none"
"MOUNTAIN RANGE HIGH SCHOOL","CO","hanging chains","accessories","none"
"MOUNT UNION AREA SHS","PA","baggy jackets","accessories","none"
"THORP HIGH","WI","backpacks","accessories","none"
"THORP HIGH","WI","wallet chains","accessories","none"
"LAPINE SENIOR HIGH SCHOOL","OR","wallet chains","accessories","none"
"SAUK RAPIDS-RICE SENIOR HIGH","MN","masks","accessories","none"
"GENEVA HIGH SCH","AL","unfastened belts","accessories","none"
"HOLCOMB HIGH","KS","hanging belts","accessories","none"
"HOLCOMB HIGH","KS","wallet chains","accessories","none"
"MILWAUKIE HIGH SCHOOL","OR","masks","accessories","none"
"MILWAUKIE HIGH SCHOOL","OR","dark glasses","accessories","none"
"WINNECONNE HIGH","WI","wallet chains","accessories","none"
"ALTA LOMA HIGH","CA","belt chains","accessories","none"
"ALTA LOMA HIGH","CA","wallet chains","accessories","none"
"SIUSLAW HIGH SCHOOL","OR","masks","accessories","none"
"UNIVERSITY CITY HIGH","CA","athletic gloves","accessories","none"
"UNIVERSITY CITY HIGH","CA","fighting gloves","accessories","none"
"UNIVERSITY CITY HIGH","CA","wallet chains","accessories","none"
"HENDERSON H S","TX","fingerless gloves","accessories","none"
"HENDERSON H S","TX","headphones or ear buds","accessories","none"
"HUDSON'S BAY HIGH SCHOOL","WA","hanging belts","accessories","none"
"MARLIN H S","TX","wallet chains","accessories","none"
"MARLIN H S","TX","safety pins","accessories","none"
"MARLIN H S","TX","fishhooks worn as jewelry","accessories","none"
"HARDIN-JEFFERSON H S","TX","headphones","accessories","none"
"MENOMONIE HIGH","WI","backpacks","accessories","none"
"BRAVE CENTER ACADEMY","ND","large coats","accessories","none"
"SEQUOYAH HS","OK","wallet chains","accessories","none"
"SEQUOYAH HS","OK","chokers","accessories","none"
"SEQUOYAH HS","OK","animal ears","accessories","none"
"SEQUOYAH HS","OK","animal tails","accessories","none"
"RUSK H S","TX","blankets","accessories","none"
"TEAGUE H S","TX","blankets","accessories","none"
"ANAMOSA HIGH SCHOOL","IA","blankets","accessories","none"
"BEGGS HS","OK","blankets","accessories","none"
"LONGMONT HIGH SCHOOL","CO","blankets","accessories","none"
"FRUITVALE H S","TX","blankets","accessories","none"
"ELGIN HS","OK","blankets","accessories","none"
"CHILLICOTHE HIGH","MO","blankets","accessories","none"
"EAST LAURENS HIGH SCHOOL","GA","blankets","accessories","none"
"RAINIER SENIOR HIGH SCHOOL","WA","blankets","accessories","none"
"BANKS COUNTY HIGH SCHOOL","GA","blankets","accessories","none"
"WELDON VALLEY HIGH SCHOOL","CO","blankets","accessories","none"
"HALLSVILLE H S","TX","blankets","accessories","none"
"DOVER HS","OK","blankets","accessories","none"
"POWDER RIVER CO DIST HIGH","MT","blankets","accessories","none"
"SKIATOOK HS","OK","blankets","accessories","none"
"EAST COWETA HIGH SCHOOL","GA","blankets","accessories","none"
"ROSEMONT HIGH","CA","blankets","accessories","none"
"RIVERDALE HIGH SCHOOL","FL","blankets","accessories","none"
"LEBANON SR. HIGH","MO","blankets","accessories","none"
"QUANAH H S","TX","blankets","accessories","none"
"BONNEY LAKE HIGH SCHOOL","WA","blankets","accessories","none"
"CELINA H S","TX","blankets","accessories","none"
"ONTARIO HIGH SCHOOL","OR","blankets","accessories","none"
"INDEPENDENCE HIGH SCHOOL","MS","blankets","accessories","none"
"SOMERSET HIGH","WI","blankets","accessories","none"
"LITTLE MIAMI HIGH SCHOOL","OH","blankets","accessories","none"
"LOVELL HIGH SCHOOL","WY","blankets","accessories","none"
"PERRY CENTRAL HIGH SCHOOL","MS","blankets","accessories","none"
"PALACIOS H S","TX","blankets","accessories","none"
"UNIONVILLE-SEBEWAING HIGH SCHOOL","MI","blankets","accessories","none"
"PIERCE COUNTY HIGH SCHOOL","GA","blankets","accessories","none"
"SOUTH ALBANY HIGH SCHOOL","OR","blankets","accessories","none"
"DOUGLAS HIGH SCHOOL","MA","blankets","accessories","none"
"WARRENTON HIGH SCHOOL","OR","blankets","accessories","none"
"SENIOR HS","OK","blankets","accessories","none"
"LAKER HIGH SCHOOL","MI","blankets","accessories","none"
"CLEAR CREEK HIGH SCHOOL","CO","blankets","accessories","none"
"ANDREWS H S","TX","blankets","accessories","none"
"GRAHAM HS","OK","blankets","accessories","none"
"CAMERON HIGH","MO","blankets","accessories","none"
"TALIHINA HS","OK","blankets","accessories","none"
"ATLANTA H S","TX","blankets","accessories","none"
"QUINCY HIGH SCHOOL","WA","blankets","accessories","none"
"NORTH FAYETTE HIGH SCHOOL","IA","blankets","accessories","none"
"LAPINE SENIOR HIGH SCHOOL","OR","blankets","accessories","none"
"HOLCOMB HIGH","KS","blankets","accessories","none"
"HENDERSON H S","TX","blankets","accessories","none"
"VAN HORN HIGH","MO","blankets","accessories","none"
"SEQUOYAH HS","OK","blankets","accessories","none"
"MAY-PORT CG HIGH SCHOOL","ND","chains","accessories","none"
"TOMAHAWK HIGH","WI","chains","accessories","none"
"JUDITH GAP HIGH SCHOOL","MT","chains","accessories","none"
"LA FERIA H S","TX","chains","accessories","none"
"GLASGOW HIGH SCHOOL","MT","chains","accessories","none"
"MOHONASEN SENIOR HIGH SCHOOL","NY","chains","accessories","none"
"TEAGUE H S","TX","chains","accessories","none"
"ARCADIA HIGH SCHOOL","NY","chains","accessories","none"
"PARK VISTA COMMUNITY HIGH SCHOOL","FL","chains","accessories","none"
"LATHROP HIGH","CA","chains","accessories","none"
"RIO RANCHO HIGH","NM","chains","accessories","none"
"BROOKFIELD HIGH","MO","chains","accessories","none"
"BREMOND H S","TX","chains","accessories","none"
"JULIAN HIGH","CA","chains","accessories","none"
"RED RIVER HIGH SCHOOL","ND","chains","accessories","none"
"LATHROP HIGH SCHOOL","AK","chains","accessories","none"
"BEGGS HS","OK","chains","accessories","none"
"SOUTHERN COLUMBIA HS","PA","chains","accessories","none"
"ELSBERRY HIGH","MO","chains","accessories","none"
"PORT JERVIS SENIOR HIGH SCHOOL","NY","chains","accessories","none"
"LONGMONT HIGH SCHOOL","CO","chains","accessories","none"
"ELKO HIGH SCHOOL","NV","chains","accessories","none"
"SOUTH JEFFERSON HIGH SCHOOL","NY","chains","accessories","none"
"SIMSBURY HIGH SCHOOL","CT","chains","accessories","none"
"NORTHBRIDGE HIGH","MA","chains","accessories","none"
"AMSTERDAM HIGH SCHOOL","NY","chains","accessories","none"
"BARBERS HILL H S","TX","chains","accessories","none"
"BUTLER HIGH SCHOOL","OH","chains","accessories","none"
"COE-BROWN NORTHWOOD ACADEMY","NH","chains","accessories","none"
"GIRARD HS","PA","chains","accessories","none"
"FRUITVALE H S","TX","chains","accessories","none"
"MOUNDS HS","OK","chains","accessories","none"
"OAK GROVE HIGH","MO","chains","accessories","none"
"MCLOUTH HIGH","KS","chains","accessories","none"
"CEDAR CITY HIGH","UT","chains","accessories","none"
"HANOVER HIGH","KS","chains","accessories","none"
"LAWSON HIGH","MO","chains","accessories","none"
"ELGIN HS","OK","chains","accessories","none"
"CHILLICOTHE HIGH","MO","chains","accessories","none"
"BERRYVILLE HIGH SCHOOL","AR","chains","accessories","none"
"HENRIETTA H S","TX","chains","accessories","none"
"GRANBURY H S","TX","chains","accessories","none"
"RAINIER SENIOR HIGH SCHOOL","WA","chains","accessories","none"
"CARROLLTON HIGH SCHOOL","GA","chains","accessories","none"
"BANKS COUNTY HIGH SCHOOL","GA","chains","accessories","none"
"WEATHERFORD H S","TX","chains","accessories","none"
"CORNWALL CENTRAL HIGH SCHOOL","NY","chains","accessories","none"
"CENTRAL HIGH SCHOOL","IA","chains","accessories","none"
"FREEPORT AREA SHS","PA","chains","accessories","none"
"PELLA HIGH SCHOOL","IA","chains","accessories","none"
"MCGREGOR H S","TX","chains","accessories","none"
"QUINCY HIGH","MA","chains","accessories","none"
"CURRITUCK COUNTY HIGH","NC","chains","accessories","none"
"ADM SENIOR HIGH SCHOOL","IA","chains","accessories","none"
"PLEASANT GROVE H S","TX","chains","accessories","none"
"MARINETTE HIGH","WI","chains","accessories","none"
"CABOOL HIGH","MO","chains","accessories","none"
"COLUMBIA HIGH SCHOOL","NY","chains","accessories","none"
"SHAWANO HIGH","WI","chains","accessories","none"
"LAUREL HIGH SCHOOL","MT","chains","accessories","none"
"DOVER HS","OK","chains","accessories","none"
"CREEKVIEW H S","TX","chains","accessories","none"
"MORENCI HIGH SCHOOL","AZ","chains","accessories","none"
"WESTON RANCH HIGH","CA","chains","accessories","none"
"SKIATOOK HS","OK","chains","accessories","none"
"WEST DELAWARE HIGH SCHOOL","IA","chains","accessories","none"
"EAST COWETA HIGH SCHOOL","GA","chains","accessories","none"
"NEWPORT MIDDLE HIGH SCHOOL (HIGH)","NH","chains","accessories","none"
"BELLPORT SENIOR HIGH SCHOOL","NY","chains","accessories","none"
"PLATTE CANYON HIGH SCHOOL","CO","chains","accessories","none"
"ROSEMONT HIGH","CA","chains","accessories","none"
"PIEDMONT HS","OK","chains","accessories","none"
"RIVERDALE HIGH SCHOOL","FL","chains","accessories","none"
"AZLE H S","TX","chains","accessories","none"
"LEBANON SR. HIGH","MO","chains","accessories","none"
"QUANAH H S","TX","chains","accessories","none"
"RHAM HIGH SCHOOL","CT","chains","accessories","none"
"GRANDVIEW SR. HIGH","MO","chains","accessories","none"
"FONTANA HIGH","CA","chains","accessories","none"
"HARLOWTON HIGH SCHOOL","MT","chains","accessories","none"
"MARATHON HIGH","WI","chains","accessories","none"
"EXCELSIOR SPRINGS HIGH","MO","chains","accessories","none"
"BYRON NELSON H S","TX","chains","accessories","none"
"QUEEN CITY H S","TX","chains","accessories","none"
"SEDRO WOOLLEY SENIOR HIGH SCHOOL","WA","chains","accessories","none"
"CUBA HIGH","MO","chains","accessories","none"
"RANCHO VERDE HIGH","CA","chains","accessories","none"
"SINTON H S","TX","chains","accessories","none"
"LOMPOC HIGH","CA","chains","accessories","none"
"SHELBY CO HIGH SCH","AL","chains","accessories","none"
"SOMERSET HIGH","WI","chains","accessories","none"
"LA JOLLA HIGH","CA","chains","accessories","none"
"PARK HILL HIGH","MO","chains","accessories","none"
"NORTH HS","OK","chains","accessories","none"
"THUNDER RIDGE HIGH SCHOOL","KS","chains","accessories","none"
"BRINDLEE MT HIGH SCH","AL","chains","accessories","none"
"WACONIA SENIOR HIGH","MN","chains","accessories","none"
"SAN JON HIGH","NM","chains","accessories","none"
"JOSEPH CASE HIGH","MA","chains","accessories","none"
"ILLINOIS VALLEY HIGH SCHOOL","OR","chains","accessories","none"
"GRIFFIN HIGH SCHOOL","GA","chains","accessories","none"
"MONTE VISTA HIGH","CA","chains","accessories","none"
"OLTON H S","TX","chains","accessories","none"
"LITTLE MIAMI HIGH SCHOOL","OH","chains","accessories","none"
"GLEN ROSE H S","TX","chains","accessories","none"
"SAUK PRAIRIE HIGH","WI","chains","accessories","none"
"KETCHUM HS","OK","chains","accessories","none"
"LEOMINSTER HIGH SCHOOL","MA","chains","accessories","none"
"MADRAS HIGH SCHOOL","OR","chains","accessories","none"
"LEHIGH SENIOR HIGH SCHOOL","FL","chains","accessories","none"
"SAYRE HS","OK","chains","accessories","none"
"CIMARRON HS","OK","chains","accessories","none"
"PENTUCKET REGIONAL SR HIGH","MA","chains","accessories","none"
"GRANTSBURG HIGH","WI","chains","accessories","none"
"DANVERS HIGH","MA","chains","accessories","none"
"GEORGE MASON HIGH","VA","chains","accessories","none"
"OMRO HIGH","WI","chains","accessories","none"
"PIERCE COUNTY HIGH SCHOOL","GA","chains","accessories","none"
