"item","n","percent","display"
"disruption/distraction",367,76,"Distract or Disrupt"
"appropriate/inappropriate",330,68,"Appropriate"
"safe/safety",315,65,"Safe"
"health",184,38,"Health"
"interfere with learning",151,31,"Interfere with Learning"
"clean",146,30,"Clean"
"neat",97,20,"Neat"
"modest/modesty",90,19,"Modest"
"respect/disrespect",61,13,"Respect"
"good taste",48,10,"good taste"
