School.Name,School.State.Abbreviation,limits,length,inches
BREMOND H S,TX,dresses,shorter than x inches from knee,3
BREMOND H S,TX,skirts,shorter than x inches from knee,3
JULIAN HIGH,CA,dresses,shorter than fingertips,
JULIAN HIGH,CA,skirts,shorter than fingertips,
JULIAN HIGH,CA,shorts,shorter than fingertips,
ROBERTSDALE HIGH SCH,AL,dresses,shorter than mid-thigh,
ROBERTSDALE HIGH SCH,AL,skirts,shorter than mid-thigh,
ROBERTSDALE HIGH SCH,AL,shorts,shorter than mid-thigh,
LATHROP HIGH SCHOOL,AK,dresses,shorter than x inches from knee,6
LATHROP HIGH SCHOOL,AK,skirts,shorter than x inches from knee,6
SAVAGE HIGH SCHOOL,MT,dresses,shorter than mid-thigh,
SAVAGE HIGH SCHOOL,MT,skirts,shorter than mid-thigh,
SAVAGE HIGH SCHOOL,MT,shorts,shorter than mid-thigh,
BEGGS HS,OK,dresses,shorter than fingertips,
BEGGS HS,OK,shorts,shorter than fingertips,
BELTON H S,TX,dresses,shorter than mid-thigh,
BELTON H S,TX,skirts,shorter than mid-thigh,
BELTON H S,TX,shorts,shorter than mid-thigh,
MILTON HIGH,WI,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
MILTON HIGH,WI,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
SOUTHERN COLUMBIA HS,PA,dresses,shorter than x inches from knee,5
SOUTHERN COLUMBIA HS,PA,skirts,shorter than x inches from knee,5
SOUTHERN COLUMBIA HS,PA,shorts,shorter than x inches from knee,5
ELSBERRY HIGH,MO,skirts,shorter than fingertips,
ELSBERRY HIGH,MO,shorts,shorter than fingertips,
PORT JERVIS SENIOR HIGH SCHOOL,NY,skirts,shorter than fingertips,
PORT JERVIS SENIOR HIGH SCHOOL,NY,shorts,shorter than fingertips,
ELKO HIGH SCHOOL,NV,dresses,shorter than fingertips,
ELKO HIGH SCHOOL,NV,skirts,shorter than fingertips,
ELKO HIGH SCHOOL,NV,shorts,shorter than fingertips,
IRONTON HIGH SCHOOL,OH,shorts,shorter than fingertips,
SOUTH JEFFERSON HIGH SCHOOL,NY,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
SOUTH JEFFERSON HIGH SCHOOL,NY,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
SOUTH JEFFERSON HIGH SCHOOL,NY,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
SIMSBURY HIGH SCHOOL,CT,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
SIMSBURY HIGH SCHOOL,CT,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
SIMSBURY HIGH SCHOOL,CT,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
WINDTHORST H S,TX,skirts,shorter than x inches from knee,3
WINDTHORST H S,TX,shorts,shorter than x inches from knee,4
NORTHBRIDGE HIGH,MA,dresses,shorter than the knee,
NORTHBRIDGE HIGH,MA,skirts,shorter than the knee,
NORTHBRIDGE HIGH,MA,shorts,shorter than x inches from knee,4
NORTHBRIDGE HIGH,MA,skorts,shorter than x inches from knee,4
AMSTERDAM HIGH SCHOOL,NY,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
BARBERS HILL H S,TX,dresses,shorter than fingertips,
BARBERS HILL H S,TX,skirts,shorter than fingertips,
BARBERS HILL H S,TX,shorts,shorter than fingertips,
LOUISIANA HIGH,MO,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
BUTLER HIGH SCHOOL,OH,dresses,shorter than fingertips,
BUTLER HIGH SCHOOL,OH,skirts,shorter than fingertips,
BUTLER HIGH SCHOOL,OH,shorts,shorter than fingertips,
GATEWAY HIGH SCHOOL,CO,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
GATEWAY HIGH SCHOOL,CO,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
GATEWAY HIGH SCHOOL,CO,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
COE-BROWN NORTHWOOD ACADEMY,NH,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
COE-BROWN NORTHWOOD ACADEMY,NH,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
COE-BROWN NORTHWOOD ACADEMY,NH,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
DAWSON HIGH SCHOOL,MT,shorts,shorter than thumb,
HINTON HS,OK,skirts,shorter than fingertips,
HINTON HS,OK,shorts,shorter than fingertips,
GIRARD HS,PA,dresses,shorter than fingertips,
GIRARD HS,PA,skirts,shorter than fingertips,
GIRARD HS,PA,shorts,shorter than fingertips,
HUNTLEY PROJECT HIGH SCHL,MT,dresses,shorter than fingertips,
HUNTLEY PROJECT HIGH SCHL,MT,skirts,shorter than fingertips,
HUNTLEY PROJECT HIGH SCHL,MT,shorts,shorter than fingertips,
FRUITVALE H S,TX,dresses,shorter than x inches from knee,2
FRUITVALE H S,TX,skirts,shorter than x inches from knee,2
DARLINGTON HIGH,WI,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
MOUNDS HS,OK,dresses,shorter than fingertips,
MOUNDS HS,OK,skirts,shorter than fingertips,
MOUNDS HS,OK,shorts,shorter than fingertips,
HOWE HS,OK,dresses,shorter than x inches from knee,6
HOWE HS,OK,skirts,shorter than x inches from knee,6
HOWE HS,OK,shorts,shorter than x inches from knee,6
OAK GROVE HIGH,MO,dresses,shorter than x inches from knee,width of agenda
OAK GROVE HIGH,MO,skirts,shorter than x inches from knee,
OAK GROVE HIGH,MO,shorts,shorter than x inches from knee,
MCLOUTH HIGH,KS,skirts,shorter than fingertips,
MCLOUTH HIGH,KS,shorts,shorter than fingertips,
TATUM H S,TX,dresses,shorter than x inches from knee,3
TATUM H S,TX,skirts,shorter than x inches from knee,3
TATUM H S,TX,shorts,shorter than x inches from knee,3
CEDAR CITY HIGH,UT,skirts,shorter than x inches from knee,6
CEDAR CITY HIGH,UT,shorts,shorter than x inch inseam,5
HANOVER HIGH,KS,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
HANOVER HIGH,KS,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
HANOVER HIGH,KS,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
DAPHNE HIGH SCH,AL,dresses,"shorter than fingertips, shorter than mid-thigh, whichever is longer",
DAPHNE HIGH SCH,AL,skirts,"shorter than fingertips, shorter than mid-thigh, whichever is longer",
DAPHNE HIGH SCH,AL,shorts,"shorter than fingertips, shorter than mid-thigh, whichever is longer",
LAWSON HIGH,MO,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
ELGIN HS,OK,shorts,shorter than fingertips,
AKRON WESTFIELD SENIOR HIGH SCHOOL,IA,skirts,shorter than fingertips,
AKRON WESTFIELD SENIOR HIGH SCHOOL,IA,shorts,shorter than fingertips,
MARTINSVILLE HIGH,VA,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
MARTINSVILLE HIGH,VA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
CHILLICOTHE HIGH,MO,dresses,shorter than the width of the palm of the hand measuring down from the top of the inseam,
CHILLICOTHE HIGH,MO,skirts,shorter than the width of the palm of the hand measuring down from the top of the inseam,
CHILLICOTHE HIGH,MO,shorts,shorter than the width of the palm of the hand measuring down from the top of the inseam,
FLOYD HIGH,NM,dresses,shorter than x inches from knee,2
FLOYD HIGH,NM,skirts,shorter than x inches from knee,2
FLOYD HIGH,NM,shorts,shorter than x inches from knee,2
FLOYD HIGH,NM,skorts,shorter than x inches from knee,2
BERRYVILLE HIGH SCHOOL,AR,dresses,shorter than x inches from knee,width of a dollar bill
BERRYVILLE HIGH SCHOOL,AR,skirts,shorter than x inches from knee,width of a dollar bill
BERRYVILLE HIGH SCHOOL,AR,shorts,shorter than fingertips,
EAST LAURENS HIGH SCHOOL,GA,skirts,shorter than the knee,
EAST LAURENS HIGH SCHOOL,GA,shorts,shorter than the knee,
HENRIETTA H S,TX,dresses,shorter than x inches from knee,3
HENRIETTA H S,TX,skirts,shorter than x inches from knee,3
HENRIETTA H S,TX,shorts,shorter than x inches from knee,3
GRANBURY H S,TX,dresses,shorter than x inches from knee,3
GRANBURY H S,TX,skirts,shorter than x inches from knee,3
GRANBURY H S,TX,shorts,shorter than x inches from knee,3
RAINIER SENIOR HIGH SCHOOL,WA,skirts,shorter than x inches from knee,3
RAINIER SENIOR HIGH SCHOOL,WA,shorts,shorter than x inches from knee,5
NORTH ANDREW HIGH,MO,shorts,"shorter than fingertips, shorter than mid-thigh, whichever is longer",
CARROLLTON HIGH SCHOOL,GA,skirts,shorter than x inches from knee,6
CARROLLTON HIGH SCHOOL,GA,shorts,shorter than x inches from knee,6
HORN H S,TX,skirts,shorter than mid-thigh,
HORN H S,TX,shorts,shorter than mid-thigh,
HORN H S,TX,jumpers,shorter than mid-thigh,
BANKS COUNTY HIGH SCHOOL,GA,skirts,shorter than mid-thigh,
BANKS COUNTY HIGH SCHOOL,GA,shorts,shorter than mid-thigh,
WEATHERFORD H S,TX,skirts,shorter than fingertips,
WEATHERFORD H S,TX,shorts,shorter than fingertips,
CORNWALL CENTRAL HIGH SCHOOL,NY,dresses,shorter than mid-thigh,
CORNWALL CENTRAL HIGH SCHOOL,NY,skirts,shorter than mid-thigh,
CORNWALL CENTRAL HIGH SCHOOL,NY,shorts,shorter than mid-thigh,
CORNWALL CENTRAL HIGH SCHOOL,NY,skorts,shorter than mid-thigh,
CENTRAL HIGH SCHOOL,IA,skirts,shorter than fingertips,
CENTRAL HIGH SCHOOL,IA,shorts,shorter than fingertips,
RANCHO BUENA VISTA HIGH,CA,shorts,does not conceal entire bottom,
LEVERETTS CHAPEL H S,TX,dresses,shorter than x inches from knee,4
LEVERETTS CHAPEL H S,TX,skirts,shorter than x inches from knee,4
LEVERETTS CHAPEL H S,TX,shorts,shorter than x inches from knee,4
WEST STOKES HIGH,NC,dresses,shorter than x inches from knee,3
WEST STOKES HIGH,NC,skirts,shorter than x inches from knee,3
WEST STOKES HIGH,NC,shorts,shorter than x inches from knee,3
NANTUCKET HIGH,MA,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
NANTUCKET HIGH,MA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
NORTH CARROLL HIGH,MD,dresses,not cover entire buttocks and private areas,
NORTH CARROLL HIGH,MD,pants,not cover entire buttocks and private areas,
NORTH CARROLL HIGH,MD,skirts,not cover entire buttocks and private areas,
NORTH CARROLL HIGH,MD,shorts,not cover entire buttocks and private areas,
NORTH CARROLL HIGH,MD,skorts,not cover entire buttocks and private areas,
SPENCER HIGH SCHOOL,IA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
PELLA HIGH SCHOOL,IA,skirts,shorter than fingertips,
MCGREGOR H S,TX,dresses,shorter than the knee,
MCGREGOR H S,TX,skirts,shorter than the knee,
MCGREGOR H S,TX,shorts,shorter than the knee,
WESTHILL HIGH SCHOOL,CT,pants,shorter than mid-thigh,
WESTHILL HIGH SCHOOL,CT,skirts,shorter than mid-thigh,
WESTHILL HIGH SCHOOL,CT,shorts,shorter than mid-thigh,
QUINCY HIGH,MA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
CURRITUCK COUNTY HIGH,NC,dresses,shorter than fingertips,
CURRITUCK COUNTY HIGH,NC,skirts,shorter than fingertips,
CURRITUCK COUNTY HIGH,NC,shorts,shorter than fingertips,
NEVADA HIGH SCHOOL,IA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
ADM SENIOR HIGH SCHOOL,IA,skirts,"shorter than fingertips, shorter than x inches from knee, whichever is longest",6
ADM SENIOR HIGH SCHOOL,IA,shorts,"shorter than fingertips, shorter than x inches from knee, whichever is longest",6
PLEASANT GROVE H S,TX,dresses,shorter than the knee,
PLEASANT GROVE H S,TX,skirts,shorter than the knee,
PLEASANT GROVE H S,TX,shorts,shorter than the knee,
BASTROP H S,TX,dresses,shorter than fingertips,
BASTROP H S,TX,skirts,shorter than fingertips,
BASTROP H S,TX,shorts,shorter than fingertips,
TGU-GRANVILLE HIGH SCHOOL,ND,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
TGU-GRANVILLE HIGH SCHOOL,ND,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
PORTSMOUTH HIGH SCHOOL,NH,skirts,shorter than fingertips,
PORTSMOUTH HIGH SCHOOL,NH,shorts,shorter than fingertips,
BORGER H S,TX,dresses,shorter than 2 inches below longest fingertip,
BORGER H S,TX,skirts,shorter than 2 inches below longest fingertip,
BORGER H S,TX,shorts,shorter than 2 inches below longest fingertip,
CABOOL HIGH,MO,dresses,shorter than fingertips,
CABOOL HIGH,MO,shorts,shorter than fingertips,
SYMMES VALLEY HIGH SCHOOL,OH,dresses,shorter than x inches from knee,length of a standard Ohio driver's license
SYMMES VALLEY HIGH SCHOOL,OH,skirts,shorter than x inches from knee,length of a standard Ohio driver's license
SYMMES VALLEY HIGH SCHOOL,OH,shorts,shorter than x inches from knee,length of a dollar bill
WELDON VALLEY HIGH SCHOOL,CO,dresses,shorter than mid-thigh,
WELDON VALLEY HIGH SCHOOL,CO,skirts,shorter than mid-thigh,
WELDON VALLEY HIGH SCHOOL,CO,shorts,shorter than x inch inseam,5
SHADOW HILLS HIGH,CA,dresses,shorter than x inch inseam,2
SHADOW HILLS HIGH,CA,skirts,shorter than x inch inseam,2
SHADOW HILLS HIGH,CA,shorts,shorter than x inch inseam,2
LAINGSBURG HIGH SCHOOL,MI,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
LAINGSBURG HIGH SCHOOL,MI,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
LAINGSBURG HIGH SCHOOL,MI,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
COLUMBIA HIGH SCHOOL,NY,dresses,shorter than mid-thigh,
COLUMBIA HIGH SCHOOL,NY,skirts,shorter than mid-thigh,
COLUMBIA HIGH SCHOOL,NY,shorts,shorter than mid-thigh,
TWIN VALLEY HIGH SCHOOL,VT,skirts,shorter than mid-thigh,
TWIN VALLEY HIGH SCHOOL,VT,shorts,shorter than mid-thigh,
SHAWANO HIGH,WI,skirts,shorter than x inches from knee,2
SHAWANO HIGH,WI,shorts,shorter than mid-thigh,
HALLSVILLE H S,TX,dresses,shorter than x inches from knee,3
HALLSVILLE H S,TX,skirts,shorter than x inches from knee,3
HALLSVILLE H S,TX,shorts,shorter than x inches from knee,3
LAUREL HIGH SCHOOL,MT,skirts,shorter than fingertips,
LAUREL HIGH SCHOOL,MT,shorts,shorter than fingertips,
G.F.W. HIGH SCHOOL,MN,skirts,shorter than fingertips,
G.F.W. HIGH SCHOOL,MN,shorts,shorter than fingertips,
HART HIGH SCHOOL,MI,skirts,shorter than mid-thigh,
HART HIGH SCHOOL,MI,shorts,shorter than mid-thigh,
DOVER HS,OK,dresses,shorter than fingertips,
DOVER HS,OK,skirts,shorter than fingertips,
DOVER HS,OK,shorts,shorter than fingertips,
POWDER RIVER CO DIST HIGH,MT,skirts,shorter than mid-thigh,
POWDER RIVER CO DIST HIGH,MT,shorts,shorter than x inch inseam,5
PLYMOUTH-WHITEMARSH SHS,PA,skirts,shorter than mid-thigh,
PLYMOUTH-WHITEMARSH SHS,PA,shorts,shorter than mid-thigh,
CENTRAL HIGH SCHOOL,GA,dresses,shorter than x inches from knee,3
CENTRAL HIGH SCHOOL,GA,skirts,shorter than x inches from knee,3
CENTRAL HIGH SCHOOL,GA,shorts,shorter than x inches from knee,3
SALIDA HIGH SCHOOL,CO,dresses,shorter than mid-thigh,
SALIDA HIGH SCHOOL,CO,skirts,shorter than mid-thigh,
SALIDA HIGH SCHOOL,CO,shorts,shorter than x inch inseam,3
THOMAS JEFFERSON HIGH SCHOOL,CO,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
THOMAS JEFFERSON HIGH SCHOOL,CO,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
THOMAS JEFFERSON HIGH SCHOOL,CO,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
SHERIDAN HIGH SCHOOL,WY,skirts,shorter than mid-thigh,
SHERIDAN HIGH SCHOOL,WY,shorts,shorter than mid-thigh,
CREEKVIEW H S,TX,dresses,shorter than x inches from knee,4
CREEKVIEW H S,TX,skirts,shorter than x inches from knee,4
CREEKVIEW H S,TX,shorts,shorter than x inches from knee,4
CREEKVIEW H S,TX,jumpers,shorter than x inches from knee,4
MORENCI HIGH SCHOOL,AZ,dresses,shorter than mid-thigh,
MORENCI HIGH SCHOOL,AZ,skirts,shorter than mid-thigh,
MORENCI HIGH SCHOOL,AZ,shorts,shorter than mid-thigh,
WESTON RANCH HIGH,CA,skirts,shorter than mid-thigh,
WESTON RANCH HIGH,CA,shorts,shorter than mid-thigh,
LANDER VALLEY HIGH SCHOOL,WY,dresses,shorter than fingertips,
LANDER VALLEY HIGH SCHOOL,WY,skirts,shorter than fingertips,
LANDER VALLEY HIGH SCHOOL,WY,shorts,shorter than fingertips,
SKIATOOK HS,OK,dresses,shorter than x inches from knee,7
SKIATOOK HS,OK,skirts,shorter than x inches from knee,7
SKIATOOK HS,OK,shorts,shorter than x inches from knee,7
HORLICK HIGH,WI,dresses,shorter than fingertips,
HORLICK HIGH,WI,skirts,shorter than fingertips,
HORLICK HIGH,WI,shorts,shorter than fingertips,
WEST DELAWARE HIGH SCHOOL,IA,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
WEST DELAWARE HIGH SCHOOL,IA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
EAST COWETA HIGH SCHOOL,GA,dresses,shorter than fingertips,
EAST COWETA HIGH SCHOOL,GA,skirts,shorter than fingertips,
EAST COWETA HIGH SCHOOL,GA,shorts,shorter than fingertips,
NEWPORT MIDDLE HIGH SCHOOL (HIGH),NH,skirts,shorter than mid-thigh,
NEWPORT MIDDLE HIGH SCHOOL (HIGH),NH,shorts,shorter than mid-thigh,
JACKSON HOLE HIGH SCHOOL,WY,shorts,shorter than mid-thigh,
IRAAN H S,TX,dresses,shorter than x inches from knee,3
IRAAN H S,TX,skirts,shorter than x inches from knee,3
IRAAN H S,TX,shorts,shorter than x inches from knee,3
LINCOLN SENIOR HIGH SCHOOL,MI,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
LINCOLN SENIOR HIGH SCHOOL,MI,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
TURPIN HS,OK,dresses,shorter than fingertips,
TURPIN HS,OK,pants,shorter than fingertips,
TURPIN HS,OK,skirts,shorter than fingertips,
TURPIN HS,OK,shorts,shorter than fingertips,
BELLPORT SENIOR HIGH SCHOOL,NY,skirts,shorter than mid-thigh,
BELLPORT SENIOR HIGH SCHOOL,NY,skorts,shorter than mid-thigh,
PLATTE CANYON HIGH SCHOOL,CO,dresses,shorter than mid-thigh,
PLATTE CANYON HIGH SCHOOL,CO,skirts,shorter than mid-thigh,
PLATTE CANYON HIGH SCHOOL,CO,shorts,shorter than mid-thigh,
BOWLEGS HS,OK,dresses,shorter than x inches from knee,length of a dollar bill
BOWLEGS HS,OK,skirts,shorter than x inches from knee,length of a dollar bill
BOWLEGS HS,OK,shorts,shorter than x inches from knee,length of a dollar bill
PIEDMONT HS,OK,skirts,shorter than mid-thigh,
PIEDMONT HS,OK,shorts,shorter than mid-thigh,
RIVERDALE HIGH SCHOOL,FL,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
PITTSFIELD HIGH SCHOOL,NH,dresses,shorter than mid-thigh,
PITTSFIELD HIGH SCHOOL,NH,skirts,shorter than mid-thigh,
PITTSFIELD HIGH SCHOOL,NH,shorts,shorter than mid-thigh,
KENYON-WANAMINGO SENIOR HIGH,MN,dresses,shorter than mid-hand,
KENYON-WANAMINGO SENIOR HIGH,MN,shorts,shorter than mid-hand,
GRAND LEDGE HIGH SCHOOL,MI,skirts,shorter than fingertips,
GRAND LEDGE HIGH SCHOOL,MI,shorts,shorter than fingertips,
DAVID PROUTY HIGH,MA,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
DAVID PROUTY HIGH,MA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
TARKINGTON H S,TX,dresses,shorter than x inches from knee,2
TARKINGTON H S,TX,skirts,shorter than x inches from knee,2
TARKINGTON H S,TX,shorts,shorter than x inches from knee,2
SOUTH GLENS FALLS SENIOR HIGH SCHOOL,NY,skirts,shorter than fingertips,
SOUTH GLENS FALLS SENIOR HIGH SCHOOL,NY,shorts,shorter than fingertips,
AZLE H S,TX,dresses,shorter than fingertips,
AZLE H S,TX,skirts,shorter than fingertips,
AZLE H S,TX,shorts,shorter than fingertips,
AZLE H S,TX,skorts,shorter than fingertips,
LEBANON SR. HIGH,MO,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
LEBANON SR. HIGH,MO,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
LEBANON SR. HIGH,MO,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
APPOQUINIMINK HIGH SCHOOL,DE,skirts,shorter than mid-thigh,
APPOQUINIMINK HIGH SCHOOL,DE,shorts,shorter than mid-thigh,
APPOQUINIMINK HIGH SCHOOL,DE,skorts,shorter than mid-thigh,
QUANAH H S,TX,dresses,shorter than fingertips,
QUANAH H S,TX,skirts,shorter than fingertips,
RHAM HIGH SCHOOL,CT,skirts,shorter than fingertips,
RHAM HIGH SCHOOL,CT,shorts,shorter than fingertips,
LYNNVILLE-SULLY HIGH SCHOOL,IA,skirts,shorter than fingertips,
LYNNVILLE-SULLY HIGH SCHOOL,IA,shorts,shorter than fingertips,
LYNNVILLE-SULLY HIGH SCHOOL,IA,skorts,shorter than fingertips,
FONTANA HIGH,CA,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
FONTANA HIGH,CA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
HARLOWTON HIGH SCHOOL,MT,skirts,shorter than fingertips,
HARLOWTON HIGH SCHOOL,MT,shorts,shorter than fingertips,
MARATHON HIGH,WI,shorts,shorter than mid-thigh,
BONNEY LAKE HIGH SCHOOL,WA,dresses,shorter than fingertips,
BONNEY LAKE HIGH SCHOOL,WA,skirts,shorter than fingertips,
BONNEY LAKE HIGH SCHOOL,WA,shorts,shorter than fingertips,
ROGERS H S,TX,dresses,shorter than x inches from knee,2
ROGERS H S,TX,skirts,shorter than x inches from knee,2
ROGERS H S,TX,shorts,shorter than x inches from knee,2
ATHENS HIGH,WI,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
ATHENS HIGH,WI,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
BYRON NELSON H S,TX,dresses,shorter than mid-thigh,
BYRON NELSON H S,TX,skirts,shorter than mid-thigh,
BYRON NELSON H S,TX,jumpers,shorter than mid-thigh,
CELINA H S,TX,dresses,shorter than mid-thigh,
CELINA H S,TX,shorts,shorter than mid-thigh,
QUEEN CITY H S,TX,dresses,shorter than fingertips,
QUEEN CITY H S,TX,skirts,shorter than fingertips,
QUEEN CITY H S,TX,shorts,shorter than fingertips,
QUEEN CITY H S,TX,skorts,shorter than fingertips,
MACON SR. HIGH,MO,dresses,shorter than the width of the palm of the hand from the top of the inseam,
MACON SR. HIGH,MO,skirts,shorter than the width of the palm of the hand from the top of the inseam,
MACON SR. HIGH,MO,shorts,shorter than the width of the palm of the hand from the top of the inseam,
SEDRO WOOLLEY SENIOR HIGH SCHOOL,WA,shorts,shorter than mid-thigh,
AGWSR HIGH SCHOOL,IA,skirts,shorter than fingertips,
AGWSR HIGH SCHOOL,IA,shorts,shorter than fingertips,
KEYSTONE HIGH SCHOOL,OH,skirts,shorter than fingertips,
KEYSTONE HIGH SCHOOL,OH,shorts,shorter than fingertips,
CUBA HIGH,MO,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
CUBA HIGH,MO,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
ONTARIO HIGH SCHOOL,OR,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
ONTARIO HIGH SCHOOL,OR,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
ONTARIO HIGH SCHOOL,OR,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
ONTARIO HIGH SCHOOL,OR,tunics,"""short""/""inappropriate length"" (no exact measurement given)",
RANCHO VERDE HIGH,CA,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
