School.Name,School.State.Abbreviation,limits,length,inches
RUSK H S,TX,dresses,top of the kneecap,
RUSK H S,TX,skirts,top of the kneecap,
RUSK H S,TX,shorts,top of the kneecap,
MAY-PORT CG HIGH SCHOOL,ND,dresses,shorter than x inches from knee,3
MAY-PORT CG HIGH SCHOOL,ND,skirts,shorter than x inches from knee,3
MAY-PORT CG HIGH SCHOOL,ND,shorts,shorter than x inch inseam,5
EAST HIGH,UT,skirts,shorter than fingertips,
EAST HIGH,UT,shorts,shorter than fingertips,
NORTH FORT MYERS HIGH SCHOOL,FL,dresses,shorter than the knee,
NORTH FORT MYERS HIGH SCHOOL,FL,skirts,shorter than the knee,
NORTH FORT MYERS HIGH SCHOOL,FL,shorts,shorter than the knee,
TOMAHAWK HIGH,WI,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
PRIOR LAKE HIGH SCHOOL,MN,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
PRIOR LAKE HIGH SCHOOL,MN,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
OOLOGAH-TALALA HS,OK,dresses,shorter than x inches from knee,6
OOLOGAH-TALALA HS,OK,skirts,shorter than x inches from knee,6
OOLOGAH-TALALA HS,OK,shorts,shorter than x inches from knee,6
JUDITH GAP HIGH SCHOOL,MT,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
JUDITH GAP HIGH SCHOOL,MT,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
LA FERIA H S,TX,shorts,shorter than x inches from knee,3
GLASGOW HIGH SCHOOL,MT,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
GLASGOW HIGH SCHOOL,MT,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
OAKDALE HIGH,MD,pants,shorter than mid-thigh,
OAKDALE HIGH,MD,skirts,shorter than mid-thigh,
OAKDALE HIGH,MD,shorts,shorter than mid-thigh,
FONDA-FULTONVILLE SENIOR HIGH SCHOOL,NY,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
FONDA-FULTONVILLE SENIOR HIGH SCHOOL,NY,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
TEAGUE H S,TX,dresses,shorter than x inches from knee,4
TEAGUE H S,TX,skirts,shorter than x inches from knee,4
TEAGUE H S,TX,shorts,shorter than x inches from knee,4
ARCADIA HIGH SCHOOL,NY,dresses,shorter than fingertips,
ARCADIA HIGH SCHOOL,NY,skirts,shorter than fingertips,
ARCADIA HIGH SCHOOL,NY,shorts,shorter than fingertips,
NORTHGLENN HIGH SCHOOL,CO,skirts,shorter than fingertips,
NORTHGLENN HIGH SCHOOL,CO,shorts,shorter than fingertips,
LATHROP HIGH,CA,shorts,shorter than mid-thigh,
DEL MAR HIGH,CA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
ANAMOSA HIGH SCHOOL,IA,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
ANAMOSA HIGH SCHOOL,IA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
RIO RANCHO HIGH,NM,dresses,shorter than mid-thigh,
RIO RANCHO HIGH,NM,skirts,shorter than mid-thigh,
RIO RANCHO HIGH,NM,shorts,shorter than mid-thigh,
TACONIC HIGH,MA,skirts,shorter than fingertips,
TACONIC HIGH,MA,shorts,shorter than fingertips,
LATTA HS,OK,dresses,shorter than x inches from knee,4
LATTA HS,OK,skirts,shorter than x inches from knee,4
LATTA HS,OK,shorts,shorter than x inch inseam,5
BROOKFIELD HIGH,MO,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
