gameid,quarter,clock,season,season.type,description
21600001,1,4:25,2016-17,Regular Season,[NYK] O'Quinn Foul: Defense 3 Second (1 PF) (B Kennedy)
21600002,3,9:02,2016-17,Regular Season,[POR] Leonard Foul: Defense 3 Second (0 PF) (T Brown)
21600002,2,2:39,2016-17,Regular Season,[POR] Leonard Foul: Defense 3 Second (0 PF) (M Callahan)
21600004,1,8:55,2016-17,Regular Season,[MIA] Whiteside Foul: Defense 3 Second (0 PF) (T Washington)
21600008,1,10:12,2016-17,Regular Season,[MIL] Parker Foul: Defense 3 Second (0 PF) (L Richardson)
21600009,1,2:12,2016-17,Regular Season,[MEM] Baldwin IV Foul: Defense 3 Second (0 PF) (K Fitzgerald)
21600010,3,11:46,2016-17,Regular Season,[DEN] Nurkic Foul: Defense 3 Second (2 PF) (S Wright)
21600012,1,5:05,2016-17,Regular Season,[PHX] Len Foul: Defense 3 Second (0 PF) (B Spooner)
21600014,2,5:56,2016-17,Regular Season,[ATL] Howard Foul: Defense 3 Second (0 PF) (M McCutchen)
21600018,1,4:29,2016-17,Regular Season,[TOR] Valanciunas Foul: Defense 3 Second (1 PF) (J Tiven)
21600019,1,00:35.5,2016-17,Regular Season,[BKN] Kilpatrick Foul: Defense 3 Second (0 PF) (L Wood)
21600020,2,1:00,2016-17,Regular Season,[DET] Johnson Foul: Defense 3 Second (1 PF) (J Williams)
21600022,3,10:19,2016-17,Regular Season,[CHA] Batum Foul: Defense 3 Second (0 PF) (D Richardson)
21600022,1,9:30,2016-17,Regular Season,[CHA] Hibbert Foul: Defense 3 Second (1 PF) (R Mott)
21600024,3,8:21,2016-17,Regular Season,[UTA] Gobert Foul: Defense 3 Second (1 PF) (P Fraher)
21600026,1,00:34.5,2016-17,Regular Season,[ATL] Humphries Foul: Defense 3 Second (0 PF) (C Kirkland)
21600027,2,5:35,2016-17,Regular Season,[BOS] Johnson Foul: Defense 3 Second (2 PF) (M McCutchen)
21600028,2,00:26.9,2016-17,Regular Season,[MEM] Gasol Foul: Defense 3 Second (1 PF) (J Capers)
21600029,3,4:58,2016-17,Regular Season,[ORL] Vucevic Foul: Defense 3 Second (2 PF) (C Washington)
21600030,4,11:26,2016-17,Regular Season,[CHI] McDermott Foul: Defense 3 Second (2 PF) (M Lindsay)
21600031,2,10:31,2016-17,Regular Season,[MIL] Brogdon Foul: Defense 3 Second (1 PF) (M Callahan)
21600033,3,9:25,2016-17,Regular Season,[POR] Plumlee Foul: Defense 3 Second (1 PF) (P Fraher)
21600034,2,2:15,2016-17,Regular Season,[MIN] Rubio Foul: Defense 3 Second (2 PF) (R Garretson)
21600038,3,4:33,2016-17,Regular Season,[MIL] Dellavedova Foul: Defense 3 Second (0 PF) (S Corbin)
21600039,2,11:00,2016-17,Regular Season,[MEM] Harrison Foul: Defense 3 Second (0 PF) (R Mott)
21600040,4,8:17,2016-17,Regular Season,[LAL] Russell Foul: Defense 3 Second (1 PF) (M Smith)
21600040,1,3:39,2016-17,Regular Season,[LAL] Ingram Foul: Defense 3 Second (0 PF) (M Kogut)
21600041,2,7:49,2016-17,Regular Season,[HOU] Dekker Foul: Defense 3 Second (0 PF) (M Boland)
21600042,4,10:41,2016-17,Regular Season,[TOR] Poeltl Foul: Defense 3 Second (2 PF) (G Zielinski)
21600042,1,9:17,2016-17,Regular Season,[DEN] Jokic Foul: Defense 3 Second (0 PF) (G Zielinski)
21600042,1,9:10,2016-17,Regular Season,[DEN] Nurkic Foul: Defense 3 Second (0 PF) (G Zielinski)
21600044,2,6:08,2016-17,Regular Season,[ATL] Howard Foul: Defense 3 Second (1 PF) (M Ayotte)
21600046,2,2:40,2016-17,Regular Season,[PHI] Holmes Foul: Defense 3 Second (1 PF) (S Corbin)
21600049,3,2:27,2016-17,Regular Season,[SAC] Tolliver Foul: Defense 3 Second (1 PF) (J Tiven)
21600049,1,9:16,2016-17,Regular Season,[MIA] Babbitt Foul: Defense 3 Second (0 PF) (J Williams)
21600051,2,10:47,2016-17,Regular Season,[MIL] Henson Foul: Defense 3 Second (0 PF) (T Ford)
21600051,1,7:10,2016-17,Regular Season,[MIL] Snell Foul: Defense 3 Second (1 PF) (B Forte)
21600052,3,3:22,2016-17,Regular Season,[MEM] Davis Foul: Defense 3 Second (0 PF) (L Richardson)
21600053,2,8:53,2016-17,Regular Season,[UTA] Lyles Foul: Defense 3 Second (1 PF) (M Smith)
21600053,1,1:59,2016-17,Regular Season,[SAS] Dedmon Foul: Defense 3 Second (0 PF) (M Smith)
21600055,1,8:50,2016-17,Regular Season,[WAS] Mark Morris Foul: Defense 3 Second (0 PF) (M Boland)
21600056,3,11:18,2016-17,Regular Season,[PHI] Okafor Foul: Defense 3 Second (3 PF) (E Lewis)
21600058,3,3:50,2016-17,Regular Season,[HOU] Harrell Foul: Defense 3 Second (1 PF) (T Brothers)
21600058,2,2:19,2016-17,Regular Season,[NYK] Noah Foul: Defense 3 Second (1 PF) (T Brothers)
21600060,1,10:35,2016-17,Regular Season,[MEM] Ennis III Foul: Defense 3 Second (0 PF) (K Lane)
21600062,3,00:44.0,2016-17,Regular Season,[UTA] Favors Foul: Defense 3 Second (2 PF) (B Adams)
21600065,3,6:55,2016-17,Regular Season,[ORL] Vucevic Foul: Defense 3 Second (2 PF) (J Capers)
21600066,2,3:31,2016-17,Regular Season,[IND] Teague Foul: Defense 3 Second (1 PF) (B Spooner)
21600068,3,5:05,2016-17,Regular Season,[BOS] Brown Foul: Defense 3 Second (0 PF) (E Malloy)
21600068,1,4:59,2016-17,Regular Season,[CLE] Frye Foul: Defense 3 Second (0 PF) (M Boland)
21600073,3,4:26,2016-17,Regular Season,[CHI] Gibson Foul: Defense 3 Second (2 PF) (D Crawford)
21600073,1,6:09,2016-17,Regular Season,[NYK] Noah Foul: Defense 3 Second (0 PF) (D Crawford)
21600074,2,2:42,2016-17,Regular Season,[LAC] Jordan Foul: Defense 3 Second (1 PF) (C Washington)
21600078,1,00:45.0,2016-17,Regular Season,[GSW] West Foul: Defense 3 Second (1 PF) (L Wood)
21600078,1,7:20,2016-17,Regular Season,[LAL] Mozgov Foul: Defense 3 Second (0 PF) (B Adams)
21600080,3,9:21,2016-17,Regular Season,[PHI] Embiid Foul: Defense 3 Second (1 PF) (G Zielinski)
21600080,1,2:07,2016-17,Regular Season,[PHI] Ilyasova Foul: Defense 3 Second (0 PF) (G Zielinski)
21600082,4,5:11,2016-17,Regular Season,[DET] Harris Foul: Defense 3 Second (1 PF) (J Capers)
21600085,4,9:37,2016-17,Regular Season,[SAC] Labissiere Foul: Defense 3 Second (0 PF) (M Smith)
21600087,2,9:41,2016-17,Regular Season,[NYK] O'Quinn Foul: Defense 3 Second (0 PF) (M Boland)
21600089,3,2:46,2016-17,Regular Season,[TOR] DeRozan Foul: Defense 3 Second (2 PF) (K Scott)
21600091,2,11:02,2016-17,Regular Season,[BOS] Mickey Foul: Defense 3 Second (0 PF) (B Kennedy)
21600095,1,2:08,2016-17,Regular Season,[CHA] Sessions Foul: Defense 3 Second (0 PF) (M Callahan)
21600097,1,5:11,2016-17,Regular Season,[OKC] Kanter Foul: Defense 3 Second (0 PF) (D Stafford)
21600099,3,2:37,2016-17,Regular Season,[GSW] Durant Foul: Defense 3 Second (0 PF) (L Richardson)
21600099,2,5:49,2016-17,Regular Season,[GSW] West Foul: Defense 3 Second (1 PF) (L Richardson)
21600100,2,4:46,2016-17,Regular Season,[ATL] Howard Foul: Defense 3 Second (1 PF) (T Brown)
21600101,1,3:40,2016-17,Regular Season,[BKN] Kilpatrick Foul: Defense 3 Second (1 PF) (B Spooner)
21600102,4,7:55,2016-17,Regular Season,[DEN] Murray Foul: Defense 3 Second (2 PF) (T Washington)
21600103,2,9:29,2016-17,Regular Season,[PHX] Bender Foul: Defense 3 Second (0 PF) (S Anderson)
21600105,2,5:39,2016-17,Regular Season,[NOP] Frazier Foul: Defense 3 Second (1 PF) (S Corbin)
21600107,3,1:07,2016-17,Regular Season,[BOS] Zeller Foul: Defense 3 Second (0 PF) (B Forte)
21600107,2,3:15,2016-17,Regular Season,[WAS] Gortat Foul: Defense 3 Second (2 PF) (B Forte)
21600107,1,3:21,2016-17,Regular Season,[WAS] Satoransky Foul: Defense 3 Second (0 PF) (J VanDuyne)
21600109,1,8:27,2016-17,Regular Season,[MIN] Dieng Foul: Defense 3 Second (0 PF) (B Kennedy)
21600112,2,10:33,2016-17,Regular Season,[TOR] Nogueira Foul: Defense 3 Second (1 PF) (J Williams)
21600113,4,6:32,2016-17,Regular Season,[PHX] Len Foul: Defense 3 Second (2 PF) (L Richardson)
21600113,3,00:49.8,2016-17,Regular Season,[PHX] Len Foul: Defense 3 Second (1 PF) (J Orr)
21600116,2,00:21.6,2016-17,Regular Season,[GSW] Green Foul: Defense 3 Second (1 PF) (P Fraher)
21600116,2,8:52,2016-17,Regular Season,[DAL] Mejri Foul: Defense 3 Second (0 PF) (P Fraher)
21600119,2,7:11,2016-17,Regular Season,[DEN] Hernangomez Foul: Defense 3 Second (1 PF) (S Corbin)
21600123,1,5:08,2016-17,Regular Season,[CHA] Hibbert Foul: Defense 3 Second (0 PF) (D Richardson)
21600125,2,2:58,2016-17,Regular Season,[BOS] Jerebko Foul: Defense 3 Second (1 PF) (T Brothers)
21600127,2,3:08,2016-17,Regular Season,[DET] Drummond Foul: Defense 3 Second (0 PF) (E Lewis)
21600127,1,00:57.7,2016-17,Regular Season,[SAS] Lee Foul: Defense 3 Second (0 PF) (H Workman)
21600130,3,2:37,2016-17,Regular Season,[BOS] Young Foul: Defense 3 Second (0 PF) (S Corbin)
21600131,2,1:17,2016-17,Regular Season,[TOR] Joseph Foul: Defense 3 Second (2 PF) (M Boland)
