gameid,quarter,clock,season,season.type,description
21600135,2,2:24,2016-17,Regular Season,[LAC] Paul Foul: Defense 3 Second (0 PF) (Z Zarba)
21600142,3,8:52,2016-17,Regular Season,[LAL] Zubac Foul: Defense 3 Second (0 PF) (T Brothers)
21600153,4,7:26,2016-17,Regular Season,[TOR] Ross Foul: Defense 3 Second (0 PF) (T Washington)
21600159,2,5:12,2016-17,Regular Season,[ORL] Vucevic Foul: Defense 3 Second (0 PF) (D Taylor)
21600160,2,10:45,2016-17,Regular Season,[IND] Jefferson Foul: Defense 3 Second (0 PF) (S Foster)
21600161,3,4:01,2016-17,Regular Season,[BOS] Johnson Foul: Defense 3 Second (2 PF) (J Capers)
21600161,1,10:30,2016-17,Regular Season,[BOS] Johnson Foul: Defense 3 Second (0 PF) (J Capers)
21600162,4,7:27,2016-17,Regular Season,[NYK] Ndour Foul: Defense 3 Second (1 PF) (C Kirkland)
21600164,4,10:30,2016-17,Regular Season,[HOU] Dekker Foul: Defense 3 Second (1 PF) (L Richardson)
21600164,3,1:45,2016-17,Regular Season,[OKC] Abrines Foul: Defense 3 Second (0 PF) (J Phillips)
21600167,1,1:30,2016-17,Regular Season,[LAC] Speights Foul: Defense 3 Second (1 PF) (J Orr)
21600167,1,2:51,2016-17,Regular Season,[MEM] Davis Foul: Defense 3 Second (0 PF) (J Orr)
21600170,3,1:58,2016-17,Regular Season,[MIL] Antetokounmpo Foul: Defense 3 Second (2 PF) (B Spooner)
21600174,3,6:34,2016-17,Regular Season,[ATL] Howard Foul: Defense 3 Second (1 PF) (S Anderson)
21600175,2,7:37,2016-17,Regular Season,[CLE] Frye Foul: Defense 3 Second (1 PF) (R Garretson)
21600178,3,2:06,2016-17,Regular Season,[BKN] Booker Foul: Defense 3 Second (0 PF) (P Fraher)
21600178,1,6:13,2016-17,Regular Season,[BKN] Hollis-Jefferson Foul: Defense 3 Second (0 PF) (P Fraher)
21600180,1,7:24,2016-17,Regular Season,[DAL] Barnes Foul: Defense 3 Second (0 PF) (B Kennedy)
21600181,4,10:41,2016-17,Regular Season,[DEN] Chandler Foul: Defense 3 Second (0 PF) (S Twardoski)
21600181,2,6:37,2016-17,Regular Season,[TOR] Patterson Foul: Defense 3 Second (1 PF) (K Lane)
21600183,3,4:20,2016-17,Regular Season,[SAC] Cousins Foul: Defense 3 Second (2 PF) (S Foster)
21600184,3,9:08,2016-17,Regular Season,[UTA] Gobert Foul: Defense 3 Second (1 PF) (J Tiven)
21600187,1,5:32,2016-17,Regular Season,[ORL] Vucevic Foul: Defense 3 Second (0 PF) (B Spooner)
21600188,3,11:45,2016-17,Regular Season,[DET] Drummond Foul: Defense 3 Second (2 PF) (B Barnaky)
21600190,1,9:38,2016-17,Regular Season,[MIN] Dieng Foul: Defense 3 Second (0 PF) (G Zielinski)
21600191,1,6:36,2016-17,Regular Season,[MIL] Henson Foul: Defense 3 Second (1 PF) (M Smith)
21600191,1,8:04,2016-17,Regular Season,[GSW] Durant Foul: Defense 3 Second (0 PF) (M Smith)
21600192,1,8:37,2016-17,Regular Season,[CHI] Lopez Foul: Defense 3 Second (0 PF) (M Ayotte)
21600193,2,11:43,2016-17,Regular Season,[ATL] Humphries Foul: Defense 3 Second (0 PF) (B Kennedy)
21600193,1,00:44.9,2016-17,Regular Season,[NYK] Porzingis Foul: Defense 3 Second (0 PF) (B Kennedy)
21600196,1,7:32,2016-17,Regular Season,[TOR] Valanciunas Foul: Defense 3 Second (0 PF) (K Cutler)
21600197,4,5:38,2016-17,Regular Season,[UTA] Hayward Foul: Defense 3 Second (3 PF) (B Adams)
21600197,4,7:34,2016-17,Regular Season,[DEN] Nurkic Foul: Defense 3 Second (2 PF) (P Fraher)
21600198,2,8:26,2016-17,Regular Season,[CHI] Gibson Foul: Defense 3 Second (0 PF) (K Fitzgerald)
21600199,1,00:47.4,2016-17,Regular Season,[MIA] Johnson Foul: Defense 3 Second (0 PF) (J Orr)
21600200,1,4:24,2016-17,Regular Season,[PHX] Len Foul: Defense 3 Second (1 PF) (D Richardson)
21600201,1,3:20,2016-17,Regular Season,[CHA] Belinelli Foul: Defense 3 Second (0 PF) (J Tiven)
21600203,2,5:13,2016-17,Regular Season,[DET] Drummond Foul: Defense 3 Second (0 PF) (B Taylor)
21600204,3,6:54,2016-17,Regular Season,[ORL] Vucevic Foul: Defense 3 Second (2 PF) (J VanDuyne)
21600214,1,9:05,2016-17,Regular Season,[ORL] Vucevic Foul: Defense 3 Second (0 PF) (T Brothers)
21600215,3,11:01,2016-17,Regular Season,[CLE] Thompson Foul: Defense 3 Second (1 PF) (J Williams)
21600216,3,8:36,2016-17,Regular Season,[IND] Turner Foul: Defense 3 Second (2 PF) (M Smith)
21600217,3,4:56,2016-17,Regular Season,[BKN] Lopez Foul: Defense 3 Second (1 PF) (J Phillips)
21600218,4,10:42,2016-17,Regular Season,[DET] Harris Foul: Defense 3 Second (1 PF) (J VanDuyne)
21600218,1,6:37,2016-17,Regular Season,[DET] Drummond Foul: Defense 3 Second (1 PF) (J VanDuyne)
21600220,2,10:58,2016-17,Regular Season,[LAC] Speights Foul: Defense 3 Second (0 PF) (B Forte)
21600221,2,11:36,2016-17,Regular Season,[DEN] Arthur Foul: Defense 3 Second (0 PF) (M Lindsay)
21600228,3,11:04,2016-17,Regular Season,[NYK] Noah Foul: Defense 3 Second (2 PF) (N Buchert)
21600231,2,00:50.5,2016-17,Regular Season,[UTA] Withey Foul: Defense 3 Second (2 PF) (J Capers)
21600231,1,3:34,2016-17,Regular Season,[ATL] Howard Foul: Defense 3 Second (1 PF) (G Zielinski)
21600232,1,1:29,2016-17,Regular Season,[MIL] Beasley Foul: Defense 3 Second (0 PF) (P Fraher)
21600233,2,4:53,2016-17,Regular Season,[MEM] Davis Foul: Defense 3 Second (1 PF) (M McCutchen)
21600234,3,4:42,2016-17,Regular Season,[IND] Ellis Foul: Defense 3 Second (3 PF) (L Richardson)
21600234,1,5:48,2016-17,Regular Season,[BKN] Lopez Foul: Defense 3 Second (1 PF) (L Richardson)
21600237,1,6:19,2016-17,Regular Season,[NOP] Asik Foul: Defense 3 Second (0 PF) (S Foster)
21600238,1,10:15,2016-17,Regular Season,[LAL] Deng Foul: Defense 3 Second (0 PF) (M Ervin)
21600243,3,1:39,2016-17,Regular Season,[MEM] Martin Foul: Defense 3 Second (2 PF) (K Lane)
21600244,3,10:46,2016-17,Regular Season,[GSW] Pachulia Foul: Defense 3 Second (0 PF) (B Forte)
21600244,1,5:47,2016-17,Regular Season,[GSW] Pachulia Foul: Defense 3 Second (0 PF) (H Workman)
21600245,4,8:54,2016-17,Regular Season,[PHI] Embiid Foul: Defense 3 Second (1 PF) (M Smith)
21600245,3,2:43,2016-17,Regular Season,[PHI] Okafor Foul: Defense 3 Second (2 PF) (B Taylor)
21600247,1,6:33,2016-17,Regular Season,[SAC] Cousins Foul: Defense 3 Second (1 PF) (K Fitzgerald)
21600247,1,7:58,2016-17,Regular Season,[BKN] Bogdanovic Foul: Defense 3 Second (0 PF) (J Williams)
21600249,3,3:43,2016-17,Regular Season,[IND] Stuckey Foul: Defense 3 Second (0 PF) (S Corbin)
21600250,1,5:52,2016-17,Regular Season,[NOP] Asik Foul: Defense 3 Second (0 PF) (N Buchert)
21600258,2,5:27,2016-17,Regular Season,[UTA] Withey Foul: Defense 3 Second (0 PF) (E Dalen)
21600258,1,6:08,2016-17,Regular Season,[MIN] Dieng Foul: Defense 3 Second (0 PF) (B Kennedy)
21600260,1,2:12,2016-17,Regular Season,[CHA] Hibbert Foul: Defense 3 Second (0 PF) (B Taylor)
21600262,1,00:06.1,2016-17,Regular Season,[CLE] Jefferson Foul: Defense 3 Second (0 PF) (M Kogut)
21600267,1,1:06,2016-17,Regular Season,[DET] Marc Morris Foul: Defense 3 Second (1 PF) (N Buchert)
21600272,3,4:33,2016-17,Regular Season,[DAL] Finney-Smith Foul: Defense 3 Second (1 PF) (J Phillips)
21600272,2,7:34,2016-17,Regular Season,[SAS] Dedmon Foul: Defense 3 Second (0 PF) (L Richardson)
21600272,2,7:04,2016-17,Regular Season,[SAS] Green Foul: Defense 3 Second (0 PF) (M Boland)
21600273,3,2:12,2016-17,Regular Season,[DEN] Jokic Foul: Defense 3 Second (1 PF) (M Lindsay)
21600273,3,5:53,2016-17,Regular Season,[MIA] Whiteside Foul: Defense 3 Second (2 PF) (M Lindsay)
21600273,2,6:54,2016-17,Regular Season,[MIA] Johnson Foul: Defense 3 Second (0 PF) (M Lindsay)
21600278,4,7:23,2016-17,Regular Season,[MEM] Baldwin Foul: Defense 3 Second (1 PF) (C Blair)
21600283,2,8:37,2016-17,Regular Season,[SAC] Cauley-Stein Foul: Defense 3 Second (0 PF) (J Phillips)
21600284,1,00:55.4,2016-17,Regular Season,[TOR] Nogueira Foul: Defense 3 Second (1 PF) (M Ayotte)
21600285,2,6:47,2016-17,Regular Season,[MIN] Aldrich Foul: Defense 3 Second (1 PF) (K Cutler)
21600285,1,5:13,2016-17,Regular Season,[NYK] O'Quinn Foul: Defense 3 Second (0 PF) (M McCutchen)
21600286,2,3:17,2016-17,Regular Season,[CHI] Lopez Foul: Defense 3 Second (1 PF) (B Spooner)
21600288,3,9:27,2016-17,Regular Season,[DET] Caldwell-Pope Foul: Defense 3 Second (1 PF) (P Fraher)
21600289,2,7:03,2016-17,Regular Season,[WAS] Mark Morris Foul: Defense 3 Second (1 PF) (M Callahan)
21600291,1,4:16,2016-17,Regular Season,[MIL] Henson Foul: Defense 3 Second (0 PF) (M Boland)
21600292,2,2:46,2016-17,Regular Season,[MIN] Dieng Foul: Defense 3 Second (0 PF) (G Zielinski)
21600294,4,8:26,2016-17,Regular Season,[BOS] Brown Foul: Defense 3 Second (0 PF) (S Foster)
21600296,4,10:18,2016-17,Regular Season,[DAL] Powell Foul: Defense 3 Second (3 PF) (E Lewis)
21600296,2,9:18,2016-17,Regular Season,[CHI] Lopez Foul: Defense 3 Second (1 PF) (E Lewis)
21600297,2,11:21,2016-17,Regular Season,[DEN] Faried Foul: Defense 3 Second (0 PF) (J Tiven)
21600302,2,2:13,2016-17,Regular Season,[NYK] Porzingis Foul: Defense 3 Second (1 PF) (J Capers)
21600303,1,11:13,2016-17,Regular Season,[IND] Turner Foul: Defense 3 Second (0 PF) (B Taylor)
21600304,2,1:19,2016-17,Regular Season,[PHI] Thompson Foul: Defense 3 Second (0 PF) (M McCutchen)
21600305,2,2:13,2016-17,Regular Season,[TOR] Valanciunas Foul: Defense 3 Second (1 PF) (J Capers)
21600306,2,4:57,2016-17,Regular Season,[BKN] Bennett Foul: Defense 3 Second (0 PF) (H Workman)
21600310,2,6:21,2016-17,Regular Season,[MEM] Green Foul: Defense 3 Second (2 PF) (J VanDuyne)
21600310,2,12:00,2016-17,Regular Season,[NOP] Jones Foul: Defense 3 Second (1 PF) (J Williams)
21600310,1,1:43,2016-17,Regular Season,[NOP] Jones Foul: Defense 3 Second (1 PF) (J Williams)
21600312,2,2:42,2016-17,Regular Season,[CHA] Zeller Foul: Defense 3 Second (2 PF) (S Corbin)
21600312,1,6:20,2016-17,Regular Season,[DAL] Finney-Smith Foul: Defense 3 Second (0 PF) (S Corbin)
21600313,2,6:35,2016-17,Regular Season,[LAL] Deng Foul: Defense 3 Second (0 PF) (K Mauer)
21600320,2,3:05,2016-17,Regular Season,[UTA] Gobert Foul: Defense 3 Second (2 PF) (B Taylor)
21600322,3,1:40,2016-17,Regular Season,[BOS] Olynyk Foul: Defense 3 Second (1 PF) (C Blair)
21600325,2,5:25,2016-17,Regular Season,[MIL] Antetokounmpo Foul: Defense 3 Second (0 PF) (G Zielinski)
21600327,2,6:15,2016-17,Regular Season,[NYK] Porzingis Foul: Defense 3 Second (1 PF) (J Tiven)
21600331,1,4:25,2016-17,Regular Season,[TOR] Lowry Foul: Defense 3 Second (0 PF) (S Foster)
21600332,3,10:02,2016-17,Regular Season,[WAS] Gortat Foul: Defense 3 Second (1 PF) (J VanDuyne)
21600340,1,7:03,2016-17,Regular Season,[MIL] Parker Foul: Defense 3 Second (0 PF) (S Wright)
21600342,1,3:21,2016-17,Regular Season,[DET] Drummond Foul: Defense 3 Second (1 PF) (S Corbin)
21600343,1,10:01,2016-17,Regular Season,[IND] Turner Foul: Defense 3 Second (0 PF) (K Fitzgerald)
21600350,1,1:31,2016-17,Regular Season,[CHI] Mirotic Foul: Defense 3 Second (0 PF) (J Tiven)
21600355,2,3:09,2016-17,Regular Season,[LAC] Jordan Foul: Defense 3 Second (2 PF) (M McCutchen)
21600357,3,8:08,2016-17,Regular Season,[BOS] Johnson Foul: Defense 3 Second (1 PF) (B Kennedy)
21600362,2,2:00,2016-17,Regular Season,[MIL] Beasley Foul: Defense 3 Second (0 PF) (K Scott)
21600367,1,6:59,2016-17,Regular Season,[LAL] Mozgov Foul: Defense 3 Second (1 PF) (M Boland)
21600369,4,9:32,2016-17,Regular Season,[ATL] Howard Foul: Defense 3 Second (0 PF) (K Mauer)
21600376,1,11:13,2016-17,Regular Season,[ORL] Ibaka Foul: Defense 3 Second (0 PF) (C Kirkland)
21600377,1,3:15,2016-17,Regular Season,[MIA] Richardson Foul: Defense 3 Second (0 PF) (D Crawford)
21600380,3,1:23,2016-17,Regular Season,[HOU] Harden Foul: Defense 3 Second (0 PF) (K Lane)
21600381,3,8:36,2016-17,Regular Season,[DET] Drummond Foul: Defense 3 Second (2 PF) (B Barnaky)
21600381,1,5:51,2016-17,Regular Season,[DET] Drummond Foul: Defense 3 Second (1 PF) (B Barnaky)
21600382,3,11:40,2016-17,Regular Season,[UTA] Gobert Foul: Defense 3 Second (2 PF) (T Ford)
21600387,2,9:14,2016-17,Regular Season,[PHX] Bender Foul: Defense 3 Second (0 PF) (R Mott)
21600389,3,10:29,2016-17,Regular Season,[DET] Harris Foul: Defense 3 Second (1 PF) (M McCutchen)
21600391,1,7:09,2016-17,Regular Season,[BOS] Johnson Foul: Defense 3 Second (0 PF) (L Holtkamp)
21600392,2,3:25,2016-17,Regular Season,[ATL] Howard Foul: Defense 3 Second (2 PF) (J Williams)
21600394,3,11:15,2016-17,Regular Season,[SAC] Temple Foul: Defense 3 Second (0 PF) (L Richardson)
21600394,1,00:23.1,2016-17,Regular Season,[SAC] Cousins Foul: Defense 3 Second (1 PF) (L Richardson)
21600397,3,9:19,2016-17,Regular Season,[LAC] Griffin Foul: Defense 3 Second (2 PF) (T Maddox)
21600398,1,4:46,2016-17,Regular Season,[UTA] Gobert Foul: Defense 3 Second (0 PF) (G Zielinski)
21600398,1,8:23,2016-17,Regular Season,[UTA] Gobert Foul: Defense 3 Second (0 PF) (G Zielinski)
21600402,1,00:28.8,2016-17,Regular Season,[LAL] Clarkson Foul: Defense 3 Second (0 PF) (S Anderson)
21600405,1,11:06,2016-17,Regular Season,[POR] Plumlee Foul: Defense 3 Second (0 PF) (D Richardson)
21600406,3,4:03,2016-17,Regular Season,[WAS] Nicholson Foul: Defense 3 Second (3 PF) (M Kogut)
21600409,3,7:32,2016-17,Regular Season,[TOR] Lowry Foul: Defense 3 Second (0 PF) (B Adams)
21600411,3,8:05,2016-17,Regular Season,[DAL] Williams Foul: Defense 3 Second (2 PF) (R Mott)
21600411,2,6:25,2016-17,Regular Season,[DAL] Mejri Foul: Defense 3 Second (0 PF) (G Petraitis)
21600412,2,3:55,2016-17,Regular Season,[SAS] Aldridge Foul: Defense 3 Second (2 PF) (J VanDuyne)
21600413,1,2:56,2016-17,Regular Season,[IND] Jefferson Foul: Defense 3 Second (0 PF) (S Foster)
21600414,2,8:23,2016-17,Regular Season,[CHI] Felicio Foul: Defense 3 Second (0 PF) (L Wood)
21600416,3,4:08,2016-17,Regular Season,[PHX] Dudley Foul: Defense 3 Second (4 PF) (K Fitzgerald)
21600417,2,11:20,2016-17,Regular Season,[DEN] Jokic Foul: Defense 3 Second (0 PF) (J Tiven)
21600418,1,7:42,2016-17,Regular Season,[NOP] Hield Foul: Defense 3 Second (0 PF) (B Adams)
21600418,1,9:11,2016-17,Regular Season,[PHI] Covington Foul: Defense 3 Second (0 PF) (A Smith)
21600423,1,4:06,2016-17,Regular Season,[MIL] Monroe Foul: Defense 3 Second (0 PF) (J VanDuyne)
21600425,3,10:40,2016-17,Regular Season,[HOU] Beverley Foul: Defense 3 Second (1 PF) (G Zielinski)
21600425,1,7:02,2016-17,Regular Season,[HOU] Beverley Foul: Defense 3 Second (0 PF) (T Brothers)
21600426,4,11:24,2016-17,Regular Season,[LAC] Speights Foul: Defense 3 Second (2 PF) (D Richardson)
21600429,1,10:31,2016-17,Regular Season,[MIL] Henson Foul: Defense 3 Second (0 PF) (C Blair)
21600432,3,3:59,2016-17,Regular Season,[CHI] Lopez Foul: Defense 3 Second (0 PF) (J VanDuyne)
21600432,3,6:14,2016-17,Regular Season,[WAS] Mark Morris Foul: Defense 3 Second (3 PF) (J VanDuyne)
21600433,4,11:47,2016-17,Regular Season,[NOP] Evans Foul: Defense 3 Second (1 PF) (D Collins)
21600433,3,8:15,2016-17,Regular Season,[OKC] Morrow Foul: Defense 3 Second (0 PF) (D Crawford)
21600435,3,9:09,2016-17,Regular Season,[PHX] Chandler Foul: Defense 3 Second (0 PF) (B Barnaky)
21600436,1,11:23,2016-17,Regular Season,[POR] Plumlee Foul: Defense 3 Second (0 PF) (K Cutler)
21600440,2,4:06,2016-17,Regular Season,[IND] Young Foul: Defense 3 Second (0 PF) (B Adams)
21600447,3,6:55,2016-17,Regular Season,[MIL] Henson Foul: Defense 3 Second (1 PF) (S Corbin)
21600448,2,8:25,2016-17,Regular Season,[HOU] Dekker Foul: Defense 3 Second (1 PF) (R Garretson)
21600451,3,2:55,2016-17,Regular Season,[ATL] Muscala Foul: Defense 3 Second (3 PF) (E Lewis)
21600453,2,9:23,2016-17,Regular Season,[PHX] Len Foul: Defense 3 Second (2 PF) (B Kennedy)
21600453,1,9:49,2016-17,Regular Season,[PHI] Okafor Foul: Defense 3 Second (0 PF) (B Kennedy)
