id,city,station,average,latitude,longitude,state,total19
USC00155097,Park City,MAMMOTH CAVE,56.6,37.1317,-86.1481,KY,64.9
US1KYTD0002,Guthrie,GUTHRIE 0.8 WNW,56.5,36.6534,-87.184,KY,61.2
US1GACW0002,Sharpsburg,SHARPSBURG 6.0 N,56.5,33.4273,-84.6607,GA,55
USW00013893,Memphis,MEMPHIS INTL AP,56.4,35.0564,-89.9864,TN,73.7
USC00154958,Louisville,LOUISVILLE WFO,56.2,38.115,-85.6444,KY,59.2
USW00013882,Chattanooga,CHATTANOOGA LOVELL AP,56.2,35.0311,-85.2014,TN,63.2
USW00003811,Jackson,JACKSON MCKELLAR AP,56.1,35.5931,-88.9167,TN,66.2
USC00414325,Sugar Land,HOUSTON-WESTBURY,56.1,29.66,-95.6275,TX,55.2
US1GACW0009,Newnan,NEWNAN 2.6 W,55.8,33.384,-84.8338,GA,56.9
USW00013876,Birmingham,BIRMINGHAM AP,55.7,33.5656,-86.745,AL,52.6
USC00178792,Topsfield,TOPSFIELD 2,55.7,45.4353,-67.7214,ME,61
USW00013942,Monroe,MONROE RGNL AP,55.7,32.5156,-92.0406,LA,61.7
USW00003952,North Little Rock,LITTLE ROCK,55.6,34.8364,-92.2619,AR,66.2
USW00003889,Jackson,JACKSON,55.6,37.5908,-83.3131,KY,57.6
USW00003856,Madison,HUNTSVILLE INTL AP,55.4,34.6439,-86.7861,AL,61.6
US1GAFT0019,Atlanta,EAST POINT 6.3 WNW,54.8,33.7014,-84.5722,GA,55.2
US1PABR0002,Reading,READING 3.5 SW,54.7,40.3162,-75.9887,PA,66.6
USC00301625,Colden,COLDEN 1W,54.6,42.6472,-78.7111,NY,54.9
USC00085359,Marco Island,MARCO IS,54.5,25.9492,-81.7139,FL,57.1
USW00013880,Charleston Afb,CHARLESTON INTL AP,54.4,32.8986,-80.0403,SC,49.5
USW00012842,Tampa,TAMPA INTL AP,54.3,27.9619,-82.5403,FL,60.8
USW00093820,Lexington,LEXINGTON BLUEGRASS AP,54.3,38.0408,-84.6058,KY,56.1
USW00013891,Alcoa,KNOXVILLE MCGHEE TYSON AP,54.2,35.8181,-83.9858,TN,64.3
US1INOW0009,Spencer,SPENCER 7.0 S,54.1,39.1858,-86.7782,IN,65.1
USC00166584,Natchitoches,NATCHITOCHES #2,54,31.8142,-93.0856,LA,60.8
USC00450482,Battle Ground,BATTLE GROUND,53.9,45.7717,-122.5286,WA,40.6
USW00003816,West Paducah,PADUCAH,53.8,37.0683,-88.7719,KY,70.3
US1INWK0005,Boonville,BOONVILLE 2.4 N,53.8,38.0805,-87.2758,IN,66.5
USC00382735,Edisto Island,EDISTO IS MIDDLETON PLANTATION,53.8,32.6072,-80.3258,SC,58.1
USW00013963,Little Rock,LITTLE ROCK AP ADAMS FLD,53.7,34.7272,-92.2389,AR,60.5
USW00003812,Fletcher,ASHEVILLE RGNL AP,53.6,35.4319,-82.5375,NC,57.2
USC00065445,Norfolk,NORFOLK 2 SW,53.5,41.9725,-73.2208,CT,53.3
USC00190736,Milton,BLUE HILL,53.4,42.2122,-71.1136,MA,57.2
USW00013897,Nashville,NASHVILLE INTL AP,53.2,36.1189,-86.6892,TN,64.3
USW00093808,Bowling Green,BOWLING GREEN WARREN CO AP,53.1,36.9647,-86.4239,KY,62.1
USW00012918,Houston,HOUSTON HOBBY AP,52.9,29.6381,-95.2819,TX,55.1
USC00195984,Norton,NORTON W,52.8,41.9928,-71.1667,MA,58.8
USW00093821,Louisville,LOUISVILLE INTL AP,52.2,38.1811,-85.7392,KY,53.3
USC00171131,Cape Neddick,CAPE NEDDICK,52.2,43.2242,-70.6389,ME,57.8
USC00443375,Buena Vista,GLASGOW 1 SE,52.1,37.6183,-79.4358,VA,48.7
USW00024227,Olympia,OLYMPIA AP,52.1,46.9733,-122.9033,WA,37.1
US1NCWK0013,Raleigh,RALEIGH 5.9 ENE,52.1,35.8624,-78.5665,NC,50.2
USC00185934,Manchester,MILLERS 4 NE,52,39.7194,-76.8028,MD,48.2
USC00193624,Hingham,HINGHAM,52,42.2269,-70.9125,MA,62.3
US1NCNS0002,Nashville,NASHVILLE 3.2 W,51.6,35.9713,-78.0134,NC,48
USC00448192,Suffolk,SUFFOLK LAKE KILBY,51.5,36.7297,-76.6014,VA,49.8
USW00003870,Greer,GREER,51.5,34.8831,-82.2203,SC,51.9
USC00173862,Hollis Center,HOLLIS,51.3,43.6475,-70.675,ME,53.5
USW00013874,Atlanta,ATLANTA HARTSFIELD INTL AP,51.2,33.63,-84.4417,GA,43.8
US1DENC0002,Newark,NEWARK 3.9 SSW,51.1,39.6249,-75.7861,DE,51.6
USW00012960,Houston,HOUSTON INTERCONT AP,51.1,29.98,-95.36,TX,52
USC00360868,Bradford,BRADFORD 4SW RSCH 5,51,41.8981,-78.7144,PA,54.4
USW00014737,Catasauqua,ALLENTOWN INTL AP,50.9,40.6508,-75.4492,PA,60.7
USW00094728,New York,NEW YORK CNTRL PK TWR,50.8,40.7789,-73.9692,NY,53.1
USW00013895,Montgomery,MONTGOMERY AP,50.6,32.2997,-86.4075,AL,47.7
USC00368361,Springboro,SPRINGBORO 3 WNW,50.6,41.8161,-80.425,PA,51
USW00094746,Worcester,WORCESTER RGNL AP,50.6,42.2706,-71.8731,MA,54.8
USW00012834,Daytona Beach,DAYTONA BEACH INTL AP,50.4,29.1828,-81.0483,FL,59
USS0022F18S,Chemult,Diamond Lake,50.3,43.19,-122.14,OR,44.9
USC00091500,Camilla,CAMILLA 3SE,50.2,31.1903,-84.2036,GA,43
USW00013873,Athens,ATHENS BEN EPPS AP,50.1,33.9481,-83.3275,GA,46.3
USC00175736,New Sharon,NEW SHARON,50,44.6353,-70.0003,ME,51.5
US1DENC0010,Wilmington,NEWPORT 2.4 WNW,49.9,39.7256,-75.6488,DE,48.4
USS0015B02S,Mullan,Lookout,49.9,47.46,-115.71,ID,37.8
USW00093718,North Myrtle Beach,N MYRTLE BCH AP,49.9,33.8117,-78.7239,SC,56
USW00012816,Gainesville,GAINESVILLE RGNL AP,49.9,29.6919,-82.2756,FL,49.7
USC00178817,Turner,TURNER,49.8,44.2822,-70.2561,ME,51.4
USC00361810,Coudersport,COUDERSPORT 7SE,49.8,41.7392,-77.9711,PA,55.4
USC00387687,Pendleton,SANDY SPRINGS 2 NE,49.7,34.6111,-82.7269,SC,41.8
USW00012815,Orlando,ORLANDO INTL AP,49.7,28.4339,-81.325,FL,48
US1FLLK0003,Groveland,GROVELAND 1.7 E,49.7,28.565,-81.824,FL,48.6
US1NHMR0006,Danbury,DANBURY 2.2 ESE,49.7,43.52,-71.819,NH,49.9
US1INDV0001,Washington,WASHINGTON 1.5 NW,49.6,38.6754,-87.19,IN,62
USC00170409,Bath,BATH,49.6,43.9317,-69.8564,ME,54.4
USW00013889,Jacksonville,JACKSONVILLE,49.5,30.4844,-81.7019,FL,46.4
USC00172048,Durham,DURHAM,49.4,43.9997,-70.0964,ME,52.7
USC00300321,Auburn,AUBURN,49.4,42.9328,-76.5447,NY,50.5
USW00014764,Portland,PORTLAND INTL JETPORT,49.3,43.6497,-70.3003,ME,52.2
USW00093814,Hebron,CINCINNATI NORTHERN KY AP,49.3,39.0431,-84.6717,KY,52.8
USC00317845,Shelby,SHELBY 2 NW,49.2,35.3111,-81.5708,NC,52.6
USW00093842,Columbus,COLUMBUS METRO AP,49.2,32.5161,-84.9422,GA,49
USW00012838,Melbourne,MELBOURNE INTL AP,49.1,28.1011,-80.6439,FL,55.7
USW00003860,Huntington,HUNTINGTON TRI STATE AP,49.1,38.365,-82.555,WV,49.4
USW00014765,Warwick,PROVIDENCE T F GREEN AP,48.9,41.7219,-71.4325,RI,52
USC00353971,Sweet Home,HOLLEY,48.9,44.3525,-122.7842,OR,43.1
USW00014711,Middletown,MIDDLETOWN HARRISBURG INTL AP,48.7,40.1936,-76.7633,PA,47.9
USC00367732,Brogue,SAFE HARBOR DAM,48.7,39.8958,-76.3947,PA,49.1
USC00317202,Reidsville,REIDSVILLE 2 NW,48.6,36.3797,-79.6944,NC,49.7
USW00014734,Elizabeth,NEWARK INTL AP,48.5,40.6825,-74.1694,NJ,58.6
USW00013722,Morrisville,RALEIGH DURHAM INTL AP,48.5,35.8922,-78.7819,NC,43
USW00053860,Jacksonville,JACKSONVILLE CRAIG MUNI AP,48.3,30.3361,-81.5147,FL,47.6
USW00014740,Windsor Locks,HARTFORD BRADLEY INTL AP,48.3,41.9381,-72.6825,CT,52.5
USC00319675,Yadkinville,YADKINVILLE 6 E,48.2,36.1306,-80.5481,NC,47
USC00235027,Lockwood,LOCKWOOD,48.2,37.3908,-93.9492,MO,60.5
USW00013866,Charleston,CHARLESTON YEAGER AP,48.2,38.3794,-81.59,WV,46.9
US1INHN0011,Fortville,MCCORDSVILLE 2.6 NE,48.2,39.937,-85.9,IN,50.5
USC00314996,Lincolnton,LINCOLNTON 4 W,48.2,35.4606,-81.3297,NC,53.9
USC00406534,Newport,NEWPORT 1 NW,48.2,35.9833,-83.2008,TN,57.6
USW00013957,Shreveport,SHREVEPORT,48,32.4506,-93.8411,LA,42.9
USW00013964,Fort Smith,FT SMITH RGNL AP,48,35.3331,-94.3625,AR,67.5
USC00446475,Painter,PAINTER 2 W,48,37.5844,-75.8217,VA,46.4
USW00003962,Bismarck,HOT SPRINGS ASOS,47.9,34.29,-93.06,AR,52.4
USS0021C28S,Naches,White Pass E.S.,47.7,46.64,-121.38,WA,33.8
USW00093987,Diboll,LUFKIN ANGELINA CO AP,47.7,31.2361,-94.7544,TX,41.7
US1NCGL0008,Greensboro,GREENSBORO 5.3 NNE,47.6,36.1515,-79.7968,NC,51.8
USW00013786,Elizabeth City,ELIZABETH CITY CGAS,47.6,36.2606,-76.175,NC,55
USW00013781,New Castle,WILMINGTON NEW CASTLE CO AP,47.5,39.6728,-75.6008,DE,48
USW00012923,Galveston,GALVESTON SCHOLES FLD,47.4,29.2733,-94.8592,TX,59.3
USW00093721,Hanover,BALTIMORE WASH INTL AP,47.3,39.1667,-76.6833,MD,38.2
US1ILSC0003,Belleville,BELLEVILLE 2.2 SE,47.3,38.5096,-89.9711,IL,54.8
USC00193276,Groveland,GROVELAND,47.3,42.7467,-71.0425,MA,50.2
USS0013A27S,Cut Bank,Many Glacier,47.1,48.8,-113.67,MT,40.9
USW00093720,Salisbury,SALISBURY WICOMICO RGNL AP,46.9,38.3406,-75.5103,MD,36.9
USC00272302,Milford,E MILFORD,46.9,42.8267,-71.6261,NH,45.7
USW00003822,Savannah,SAVANNAH INTL AP,46.7,32.13,-81.21,GA,51.4
USW00004781,Ronkonkoma,ISLIP LI MACARTHUR AP,46.7,40.7939,-73.1017,NY,48.8
USC00190120,Amherst,AMHERST,46.6,42.3861,-72.5375,MA,45
USC00351897,Cottage Grove,COTTAGE GROVE 2E,46.5,43.7917,-123.0275,OR,42.2
US1MOFSA065,Salem,SALEM 1.8 NW,46.5,37.6605,-91.5535,MO,53.9
USC00237263,Rolla,ROLLA MISSOURI S&T,46.3,37.9567,-91.7761,MO,50.5
USC00313555,Graham,GRAHAM 2 ENE,46.3,36.0503,-79.3728,NC,52.4
US1ILWL0051,Plainfield,PLAINFIELD 2.4 SSE,46.2,41.5819,-88.1937,IL,63.7
USW00013877,Blountville,BRISTOL TRI CITY AP,46.1,36.4731,-82.4044,TN,56
USW00014732,East Elmhurst,NEW YORK LAGUARDIA AP,46.1,40.7794,-73.8803,NY,50.9
USW00014778,Montoursville,WILLIAMSPORT,46,41.2433,-76.9217,PA,48.7
USW00013741,Roanoke,ROANOKE RGNL AP,45.8,37.3169,-79.9742,VA,42.6
USW00013971,Harrison,HARRISON BOONE CO AP,45.8,36.2667,-93.1567,AR,57
USC00274234,Hudson,HUDSON 1 SSE,45.7,42.7831,-71.4147,NH,52.6
USW00003813,Macon,MACON MIDDLE GA RGNL AP,45.7,32.6847,-83.6528,GA,44.6
USW00013723,Greensboro,PIEDMONT TRIAD INTL AP,45.7,36.0969,-79.9433,NC,52
USC00368469,Austin,STEVENSON DAM,45.6,41.4039,-78.0183,PA,54.7
USW00004725,Johnson City,BINGHAMTON,45.6,42.1997,-75.985,NY,44
USC00307705,Sherburne,SHERBURNE,45.6,42.6772,-75.5067,NY,44
USW00013740,Richmond,RICHMOND INTL AP,45.6,37.505,-77.3203,VA,42.9
USW00014860,Erie,ERIE INTL AP,45.6,42.08,-80.1825,PA,40.4
USC00128784,Tipton,TIPTON 5 SW,45.5,40.2233,-86.1086,IN,40.4
USS0005J37S,Bellvue,Joe Wright,45.5,40.53,-105.89,CO,44.7
USW00013883,West Columbia,COLUMBIA,45.5,33.9486,-81.1186,SC,42.3
USW00094702,Stratford,BRIDGEPORT SIKORSKY MEM AP,45.5,41.1583,-73.1289,CT,51.1
USC00441955,Concord,CONCORD 4 SSW,45.5,37.2819,-78.9592,VA,45.9
USS0015C05S,Pierce,Pierce R.S.,45.4,46.49,-115.8,ID,41.4
US1OHMD0002,Brunswick,BRUNSWICK 0.5 NE,45.4,41.2498,-81.8133,OH,43.6
USW00013736,Morgantown,MORGANTOWN HART FLD,45.2,39.6428,-79.9164,WV,45.1
USC00444148,Huddleston,HUDDLESTON 4 SW,45.2,37.1258,-79.525,VA,47.9
USW00094789,Springfield Gardens,NEW YORK JFK INTL AP,45.1,40.6386,-73.7622,NY,52
USW00013995,Springfield,SPRINGFIELD,45.1,37.2353,-93.4003,MO,54.5
USW00013881,Charlotte,CHARLOTTE DOUGLAS AP,45.1,35.2236,-80.9553,NC,54.1
USW00003872,Beaver,BECKLEY RALEIGH CO AP,45.1,37.7836,-81.1231,WV,44.1
USW00093739,Horntown,WALLOPS ISLAND FLIGHT FAC,45.1,37.9406,-75.4631,VA,46.7
USW00014852,Vienna,YOUNGSTOWN RGNL AP,45,41.2544,-80.6739,OH,49.8
USW00093846,Anderson,ANDERSON CO AP,44.9,34.4978,-82.7097,SC,39.4
USC00125407,Martinsville,MARTINSVILLE 2 SW,44.8,39.4039,-86.453,IN,52.5
US1OHFR0003,Columbus,GRANDVIEW HEIGHTS 0.1 N,44.6,39.981,-83.0401,OH,42.2
USC00369408,Wellsboro,WELLSBORO 4 SW,44.5,41.7003,-77.3872,PA,47.8
USC00330279,Athens,ATHENS OU,44.5,39.3225,-82.0994,OH,52.1
USC00367409,Renovo,RENOVO,44.5,41.33,-77.7381,PA,47.4
USW00003901,Longview,LONGVIEW E TX RGNL AP,44.5,32.3847,-94.7117,TX,48.3
USW00014895,Canton,AKRON CANTON RGNL AP,44.4,40.9167,-81.4333,OH,44.3
USW00014820,Cleveland,CLEVELAND,44.3,41.4131,-81.86,OH,40
USW00093819,Indianapolis,INDIANAPOLIS,44.2,39.7075,-86.2803,IN,47.2
USC00117457,Romeoville,ROMEOVILLE WFO,44.2,41.6042,-88.085,IL,56.8
USW00013994,Bridgeton,ST LOUIS LAMBERT INTL AP,44.1,38.7525,-90.3736,MO,54
USW00014607,Caribou,CARIBOU MUNI AP,44,46.8706,-68.0172,ME,41.6
USC00360132,Duncansville,ALTOONA 7 SW,44,40.4189,-78.4197,PA,44.8
US1OHPT0012,Mogadore,MOGADORE 4.7 SE,43.9,41.0085,-81.329,OH,51.9
USC00440766,Blacksburg,BLACKSBURG NWSO,43.9,37.2039,-80.4144,VA,42.7
USC00368449,State College,STATE COLLEGE,43.8,40.7933,-77.8672,PA,41.5
USC00441159,Buena Vista,BUENA VISTA,43.7,37.7267,-79.3628,VA,43.2
USW00014821,Columbus,COLUMBUS PORT COLUMBUS INTL AP,43.7,39.9914,-82.8808,OH,44
USC00231801,Columbia,COLUMBIA U OF M,43.6,38.9425,-92.3206,MO,46.5
USW00014891,Mansfield,MANSFIELD LAHM MUNI AP,43.5,40.8203,-82.5178,OH,47.9
USW00004751,Lewis Run,BRADFORD RGNL AP,43.5,41.8031,-78.6403,PA,44.8
US1MDAL0002,Cumberland,CRESAPTOWN-BEL AIR 0.9 SSE,43.5,39.5768,-78.8498,MD,43
USW00014745,Concord,CONCORD MUNI AP,43.4,43.1953,-71.5011,NH,45.2
US1ILGY0001,Morris,CARBON HILL 3.1 N,43.4,41.3414,-88.2981,IL,60.3
USW00013878,Saint Simons Island,BRUNSWICK MALCOLM MCKINNON AP,43.1,31.1522,-81.3908,GA,44.4
USW00013733,Lynchburg,LYNCHBURG RGNL AP,43.1,37.3208,-79.2067,VA,39.1
USC00211198,Caledonia,CALEDONIA,42.8,43.6308,-91.5028,MN,47.9
USC00315356,Marshall,MARSHALL,42.7,35.8033,-82.6658,NC,47.3
US1ILWD0005,Morrison,MORRISON 3.2 E,42.6,41.816,-89.904,IL,56.1
USW00014606,Bangor,BANGOR INTL AP,42.6,44.7978,-68.8186,ME,52
USW00003820,Augusta,AUGUSTA BUSH FLD AP,42.5,33.3644,-81.9633,GA,50.9
USW00094823,Coraopolis,PITTSBURGH INTL AP,42.5,40.4847,-80.2144,PA,52.5
USW00013743,Arlington,WASHINGTON REAGAN AP,42.4,38.8483,-77.0342,VA,42.4
USC00437054,Saint Johnsbury,SAINT JOHNSBURY,42.4,44.42,-72.0194,VT,47.5
USC00369823,Bedford,WOLFSBURG,42.4,40.0394,-78.5239,PA,47
US1ILCN0003,Assumption,PANA 6.2 NNE,42.2,39.4736,-89.0462,IL,51.5
USC00442044,Covington,COVINGTON FLTR PLT,42.1,37.8111,-79.9883,VA,38.2
USC00474790,Lodi,LODI,42.1,43.3217,-89.5311,WI,52.8
USW00024233,Seattle,SEATTLE TACOMA INTL AP,42.1,47.4444,-122.3139,WA,33.9
USC00464840,Keyser,KEYSER 2 SSW,42,39.4214,-79.005,WV,39.5
USS0020L02S,Tahoma,Rubicon #2,41.9,39,-120.13,CA,52.6
USW00014733,Buffalo,BUFFALO,41.6,42.9486,-78.7369,NY,47.8
USW00094860,Grand Rapids,GRAND RAPIDS,41.6,42.8939,-85.5447,MI,51.4
USW00093815,Vandalia,DAYTON INTL AP,41.5,39.9061,-84.2186,OH,43
USW00094908,Dubuque,DUBUQUE RGNL AP,41.5,42.3978,-90.7036,IA,54.9
USC00304996,Malone,MALONE,41.4,44.8419,-74.3081,NY,41.4
USW00094846,Elk Grove Village,CHICAGO OHARE INTL AP,41.4,41.995,-87.9336,IL,49.6
USC00115961,Mundelein,MUNDELEIN 4 WSW,41.2,42.2553,-88.0775,IL,54.2
USW00003904,College Station,COLLEGE STN,41.2,30.5892,-96.3647,TX,36.3
US1OHSN0003,Tiffin,TIFFIN 5.2 SE,41.1,41.0589,-83.1127,OH,45.8
USW00024213,Eureka,EUREKA WFO WOODLEY ISLAND,41.1,40.8097,-124.1603,CA,44
USW00003947,Kansas City,KANSAS CITY INTL AP,41.1,39.2972,-94.7306,MO,53.2
USW00014827,Fort Wayne,FT WAYNE INTL AP,41.1,40.9706,-85.2064,IN,39.1
USW00014842,Peoria,PEORIA GTR PEORIA AP,41.1,40.6675,-89.6839,IL,50.8
US1IASR0002,Ames,AMES 1.5 NNE,41.1,42.0448,-93.6174,IA,40.1
US1MIIN0001,Saranac,SARANAC 2.6 NE,41,42.9576,-85.1738,MI,49.9
USC00476827,Prairie Du Chien,PRAIRIE DU CHIEN,40.9,43.0514,-91.135,WI,52.3
