s_brand,s_product,u_brand,u_product
bareMinerals,BAREPRO Longwear Powder Foundation,bareMinerals,BAREPRO Performance Wear Powder Foundation
bareMinerals,BarePRO™ 24 hour Longwear Liquid Foundation with Mineral SPF 20,bareMinerals,BAREPRO Performance Wear Liquid Foundation Broad Spectrum SPF 20
bareMinerals,COMPLEXION RESCUE™ Hydrating Foundation Stick with Mineral SPF 25,bareMinerals,Complexion Rescue Hydrating Foundation Stick Broad Spectrum SPF 25
bareMinerals,Matte Loose Powder Mineral Foundation SPF 15 	,bareMinerals,Matte Foundation Broad Spectrum SPF 15
bareMinerals,Original Loose Powder Mineral Foundation SPF 15,bareMinerals,ORIGINAL Foundation Broad Spectrum SPF 15
bareMinerals,Original Liquid Mineral Foundation Broad Spectrum SPF 20,bareMinerals,ORIGINAL Liquid Mineral Foundation Broad Spectrum SPF 20
Clinique,Acne Solutions Liquid Makeup Foundation,Clinique,Acne Solutions Liquid Makeup
Clinique,Acne Solutions™ BB Cream SPF 40,Clinique,Acne Solutions™ BB Cream SPF 40
Clinique,Age Defense BB Cream Broad Spectrum SPF 30,Clinique,Age Defense BB Cream Broad Spectrum SPF 30
Clinique,Beyond Perfecting Foundation + Concealer,Clinique,Beyond Perfecting Foundation + Concealer
Clinique,Beyond Perfecting Powder Foundation + Concealer,Clinique,Beyond Perfecting Powder Foundation + Concealer
Clinique,Chubby in the Nude Foundation Stick,Clinique,Chubby in the Nude Foundation Stick
Clinique,Even Better Foundation Makeup Broad Spectrum SPF 15,Clinique,Even Better Makeup Broad Spectrum SPF 15
Clinique,Even Better Refresh™ Hydrating and Repairing Foundation	,Clinique,Even Better Refresh™ Hydrating and Repairing Foundation
Clinique,Even Better™ Glow Light Reflecting Makeup Broad Spectrum SPF 15 Foundation,Clinique,Even Better Glow Light Reflecting Makeup Broad Spectrum SPF 15
Clinique,Stay-Matte Oil-Free Makeup Foundation,Clinique,Stay Matte Oil-Free Makeup
Clinique,Moisture Surge CC Cream Hydrating Colour Corrector Broad Spectrum SPF 30,Clinique,Moisture Surge CC Cream Hydrating Colour Corrector Broad Spectrum SPF 30
Clinique,Stay-Matte Sheer Pressed Powder,Clinique,Stay-Matte Sheer Pressed Powder
Clinique,Superbalanced Makeup Foundation,Clinique,Superbalanced Makeup
Clinique,Superbalanced Silk Makeup Broad Spectrum 15,Clinique,Superbalanced Silk Makeup Broad Spectrum 15
Clinique,Superpowder Double Face Makeup Foundation,Clinique,Superpowder Double Face Makeup
Estée Lauder,Double Wear Stay-in-Place Foundation,Estée Lauder,Double Wear Stay-in-Place Makeup	
Estée Lauder,Double Wear Stay-in-Place Matte Powder Foundation	,Estée Lauder,Double Wear Stay In Place Matte Powder Foundation
Estée Lauder,Futurist Hydra Rescue Moisturizing Foundation SPF 45,Estée Lauder,Futurist Hydra Rescue Moisturizing Makeup SPF 45
HOURGLASS,Vanish™ Seamless Finish Foundation Stick,HOURGLASS,Vanish Seamless Finish Foundation Stick
HOURGLASS,Vanish™ Seamless Finish Liquid Foundation,HOURGLASS,Vanish Seamless Finish Liquid Foundation
HOURGLASS,Veil Fluid Makeup Oil Free Broad Spectrum SPF 15	,HOURGLASS,Veil Fluid Makeup
HOURGLASS,Immaculate® Liquid Powder Foundation Mattifying Oil Free,HOURGLASS,Immaculate Liquid Powder Foundation
HOURGLASS,Illusion® Hyaluronic Skin Tint,HOURGLASS,Illusion® Hyaluronic Skin Tint
It Cosmetics,Bye Bye Redness Neutralizing Color-Correcting Cream,It Cosmetics,Bye Bye Redness Neutralizing Color-Correcting Cream
It Cosmetics,CC+ Airbrush Perfecting Powder,It Cosmetics,Your Skin But Better CC+ Airbrush Perfecting Color Correcting Setting Powder
It Cosmetics,CC+ Cream Illumination with SPF 50+,It Cosmetics,CC+ Cream Illumination SPF 50+
Lancôme,DUAL FINISH – Multi-tasking Longwear Powder Foundation,Lancôme,Dual Finish Multi-Tasking Lightweight Pressed Powder Foundation
Lancôme,Teint Idole Ultra Long Wear Foundation,Lancôme,Teint Idole Ultra Wear 24H Long Wear Foundation
Tarte,babassu foundcealer™ skincare foundation SPF 20,Tarte,Babassu Foundcealer Skincare Foundation Broad Spectrum SPF 20
Tarte,Mini babassu foundcealer™ skincare foundation SPF 20,Tarte,Travel Size Babassu Foundcealer Skincare Foundation Broad Spectrum SPF 20
Urban Decay Cosmetics,All Nighter Liquid Foundation,Urban Decay Cosmetics,All Nighter Liquid Full Coverage Foundation
Urban Decay Cosmetics,Stay Naked Weightless Foundation,Urban Decay Cosmetics,Stay Naked Weightless Liquid Foundation
